        Frequency / MHz                Port 1 [1] (4)/arg,degrees
----------------------------------------------------------------------
                      40                      -111.29818
                   40.26                      -111.59753
                   40.52                      -111.93506
                   40.78                      -112.31478
                   41.04                      -112.74131
                    41.3                      -113.21977
                   41.56                      -113.75561
                   41.82                      -114.35463
                   42.08                      -115.02293
                   42.34                      -115.76703
                    42.6                      -116.59408
                   42.86                      -117.51213
                   43.12                      -118.53057
                   43.38                      -119.66055
                   43.64                      -120.91553
                    43.9                       -122.3118
                   44.16                      -123.86892
                   44.42                       -125.6101
                   44.68                      -127.56237
                   44.94                      -129.75645
                    45.2                      -132.22614
                   45.46                       -135.0071
                   45.72                      -138.13464
                   45.98                      -141.64028
                   46.24                      -145.54687
                    46.5                      -149.86217
                   46.76                      -154.57151
                   47.02                      -159.63107
                   47.28                      -164.96392
                   47.54                      -170.46163
                    47.8                       -175.9928
                   48.06                       178.58252
                   48.32                       173.39636
                   48.58                       168.55908
                   48.84                       164.15169
                    49.1                       160.22484
                   49.36                       156.80276
                   49.62                       153.88946
                   49.88                       151.47516
                   50.14                       149.54174
                    50.4                       148.06665
                   50.66                       147.02551
                   50.92                       146.39341
                   51.18                       146.14542
                   51.44                       146.25634
                    51.7                           146.7
                   51.96                        147.4482
                   52.22                       148.46953
                   52.48                        149.7283
                   52.74                       151.18368
                      53                       152.78949
                   53.26                        154.4947
                   53.52                       156.24482
                   53.78                        157.9841
                   54.04                       159.65826
                    54.3                       161.21745
                   54.56                       162.61883
                   54.82                       163.82854
                   55.08                        164.8228
                   55.34                       165.58806
                    55.6                       166.12032
                   55.86                       166.42388
                   56.12                       166.50959
                   56.38                       166.39312
                   56.64                        166.0931
                    56.9                       165.62955
                   57.16                       165.02263
                   57.42                       164.29172
                   57.68                       163.45488
                   57.94                       162.52872
                    58.2                       161.52849
                   58.46                        160.4683
                   58.72                       159.36146
                   58.98                       158.22071
                   59.24                       157.05845
                    59.5                       155.88667
                   59.76                       154.71689
                   60.02                       153.55997
                   60.28                       152.42581
                   60.54                       151.32317
                    60.8                       150.25949
                   61.06                       149.24086
                   61.32                       148.27202
                   61.58                       147.35654
                   61.84                       146.49708
