        Frequency / MHz                Port 1 [1] (Mesh Pass=5)/abs,linear
                  108.12                       205.03181
                  108.38                       217.70596
                  108.64                       230.90999
                   108.9                       244.60043
                  109.16                       258.71381
                  109.42                       273.16058
                  109.68                       287.81904
                  109.94                       302.52974
                   110.2                       317.09118
                  110.46                       331.25807
                  110.72                       344.74415
                  110.98                       357.23169
                  111.24                       368.38919
                   111.5                       377.89736
                  111.76                        385.4807
                  112.02                       390.93941
                  112.28                        394.1752
                  112.54                       395.20517
                   112.8                       394.16089
                  113.06                       391.27351
                  113.32                       386.84875
                  113.58                       381.23726
                  113.84                       374.80559
                   114.1                       367.91156
                  114.36                       360.88641
                  114.62                       354.02411
                  114.88                       347.57724
                  115.14                       341.75762
                   115.4                       336.74009
                  115.66                       332.66746
                  115.92                       329.65559
                  116.18                       327.79778
                  116.44                       327.16851
                   116.7                       327.82648
                  116.96                       329.81719
                  117.22                       333.17523
                  117.48                       337.92594
                  117.74                       344.08652
                     118                       351.66613
                  118.26                       360.66496
                  118.52                       371.07184
                  118.78                       382.86022
                  119.04                         395.982
                   119.3                        410.3588
                  119.56                        425.8702
                  119.82                         442.339
                  120.08                        459.5142
                  120.34                       477.05347
                   120.6                       494.50854
                  120.86                       511.31853
                  121.12                       526.81799
                  121.38                        540.2667
                  121.64                       550.90577
                   121.9                       558.03813
                  122.16                       561.12158
                  122.42                       559.85267
                  122.68                       554.21696
                  122.94                       544.48873
                   123.2                       531.18002
                  123.46                        514.9557
                  123.72                        496.5396
                  123.98                       476.63372
                  124.24                       455.86266
                   124.5                       434.74481
                  124.76                       413.68528
                  125.02                       392.98314
                  125.28                       372.84607
                  125.54                       353.40775
                   125.8                       334.74474
                  126.06                       316.89151
                  126.32                       299.85272
                  126.58                       283.61292
                  126.84                        268.1437
                   127.1                       253.40893
                  127.36                       239.36843
                  127.62                       225.98064
                  127.88                       213.20453
                  128.14                       201.00108
                   128.4                       189.33436
                  128.66                       178.17236
                  128.92                        167.4876
                  129.18                       157.25767
                  129.44                       147.46582
                   129.7                       138.10168
                  129.96                       129.16237
                  130.22                       120.65384
                  130.48                       112.59271
                  130.74                       105.00836
                     131                       97.945386
                  131.26                       91.466134
                  131.52                       85.652751
                  131.78                       80.607767
                  132.04                       76.451382
                   132.3                       73.313305
                  132.56                        71.31769
                  132.82                       70.562623
                  133.08                       71.099989
                  133.34                       72.924169
                   133.6                       75.975118
                  133.86                       80.154047
                  134.12                       85.344134
                  134.38                       91.428588
                  134.64                       98.302307
                   134.9                       105.87721
