        Frequency / MHz                Port 1 [1] (11)/arg,degrees
                  103.44                       10.154092
                   103.7                       10.518376
                  103.96                       10.750384
                  104.22                       10.845391
                  104.48                       10.799399
                  104.74                       10.609145
                     105                       10.272097
                  105.26                       9.7864686
                  105.52                       9.1513276
                  105.78                       8.3667891
                  106.04                        7.434286
                   106.3                       6.3568569
                  106.56                       5.1394022
                  106.82                       3.7888861
                  107.08                        2.314491
                  107.34                      0.72773923
                   107.6                     -0.95742299
                  107.86                      -2.7246183
                  108.12                       -4.555167
                  108.38                      -6.4283985
                  108.64                      -8.3221501
                   108.9                      -10.213397
                  109.16                      -12.078929
                  109.42                      -13.895993
                  109.68                      -15.642838
                  109.94                      -17.299157
                   110.2                      -18.846428
                  110.46                      -20.268139
                  110.72                      -21.549914
                  110.98                      -22.679501
                  111.24                       -23.64664
                   111.5                      -24.442842
                  111.76                      -25.061133
                  112.02                      -25.495819
                  112.28                      -25.742325
                  112.54                      -25.797127
                   112.8                      -25.657766
                  113.06                      -25.322951
                  113.32                      -24.792718
                  113.58                      -24.068681
                  113.84                      -23.154362
                   114.1                      -22.055617
                  114.36                      -20.781129
                  114.62                      -19.342901
                  114.88                      -17.756675
                  115.14                      -16.042163
                   115.4                       -14.22302
                  115.66                      -12.326509
                  115.92                      -10.382841
                  116.18                      -8.4242558
                  116.44                      -6.4838959
                   116.7                      -4.5945999
                  116.96                      -2.7877266
                  117.22                      -1.0921307
                  117.48                      0.46661435
                  117.74                       1.8666941
                     118                       3.0902306
                  118.26                       4.1232076
                  118.52                       4.9552225
                  118.78                       5.5791505
                  119.04                       5.9907987
                   119.3                       6.1886014
                  119.56                       6.1733953
                  119.82                        5.948289
                  120.08                       5.5186375
                  120.34                       4.8921118
                   120.6                       4.0788436
                  120.86                       3.0916008
                  121.12                       1.9459376
                  121.38                      0.66025198
                  121.64                     -0.74430486
                   121.9                      -2.2441061
                  122.16                      -3.8135204
                  122.42                       -5.425558
                  122.68                      -7.0526454
                  122.94                      -8.6674696
                   123.2                       -10.24382
                  123.46                      -11.757351
                  123.72                      -13.186205
                  123.98                      -14.511439
                  124.24                      -15.717231
                   124.5                      -16.790899
                  124.76                      -17.722741
                  125.02                      -18.505784
                  125.28                      -19.135467
                  125.54                      -19.609331
                   125.8                      -19.926711
                  126.06                      -20.088468
                  126.32                      -20.096763
                  126.58                      -19.954872
                  126.84                      -19.667061
                   127.1                      -19.238516
                  127.36                      -18.675337
                  127.62                      -17.984554
                  127.88                       -17.17418
                  128.14                      -16.253243
                   128.4                      -15.231819
                  128.66                      -14.121022
                  128.92                      -12.932979
                  129.18                      -11.680767
                  129.44                      -10.378313
                   129.7                      -9.0402439
                  129.96                      -7.6816835
                  130.22                      -6.3180071
                  130.48                      -4.9645658
                  130.74                      -3.6364083
                     131                      -2.3480244
                  131.26                      -1.1131243
                  131.52                     0.055542357
                  131.78                       1.1463264
                  132.04                       2.1487796
                   132.3                       3.0537146
                  132.56                       3.8532205
                  132.82                       4.5406374
                  133.08                       5.1104974
                  133.34                       5.5584493
                   133.6                       5.8811842
                  133.86                       6.0763739
                  134.12                       6.1426291
                  134.38                       6.0794739
                  134.64                       5.8873331
                   134.9                       5.5675306
                  135.16                       5.1223017
                  135.42                       4.5548216
                  135.68                       3.8692521
                  135.94                       3.0707972
                   136.2                       2.1657557
                  136.46                       1.1615537
                  136.72                     0.066743565
                  136.98                      -1.1090365
                  137.24                      -2.3551432
                   137.5                      -3.6600458
                  137.76                      -5.0114811
                  138.02                      -6.3966444
                  138.28                      -7.8024159
                  138.54                      -9.2156133
                   138.8                      -10.623256
                  139.06                      -12.012818
                  139.32                      -13.372449
                  139.58                      -14.691145
                  139.84                      -15.958879
                   140.1                      -17.166671
                  140.36                       -18.30662
                  140.62                      -19.371898
                  140.88                      -20.356698
                  141.14                       -21.25615
