        Frequency / MHz                S1,1/arg,degrees
                  105.52                      -20.875831
                  105.78                      -26.068084
                  106.04                       -31.13991
                   106.3                      -36.107043
                  106.56                      -40.984016
                  106.82                      -45.783617
                  107.08                      -50.517215
                  107.34                      -55.195292
                   107.6                      -59.827359
                  107.86                      -64.422165
                  108.12                      -68.987028
                  108.38                      -73.530032
                  108.64                      -78.057736
                   108.9                      -82.577355
                  109.16                      -87.095662
                  109.42                      -91.619542
                  109.68                       -96.15599
                  109.94                      -100.71233
                   110.2                      -105.29587
                  110.46                      -109.91472
                  110.72                      -114.57652
                  110.98                      -119.28989
                  111.24                      -124.06349
                   111.5                      -128.90637
                  111.76                      -133.82825
                  112.02                      -138.83921
                  112.28                      -143.95027
                  112.54                      -149.17334
                   112.8                      -154.52099
                  113.06                      -160.00678
                  113.32                       -165.6459
                  113.58                      -171.45385
                  113.84                      -177.44748
                   114.1                       176.35552
                  114.36                       169.93754
                  114.62                         163.281
                  114.88                       156.36995
                  115.14                       149.19071
                   115.4                       141.73323
                  115.66                       133.99413
                  115.92                       125.97724
                  116.18                       117.69632
                  116.44                       109.17673
                   116.7                       100.45539
                  116.96                       91.580738
                  117.22                       82.609585
                  117.48                       73.604446
                  117.74                       64.628157
                     118                       55.739403
                  118.26                       46.989111
                  118.52                       38.418264
                  118.78                        30.05603
                  119.04                       21.921551
                   119.3                       14.024213
                  119.56                       6.3659869
                  119.82                      -1.0565164
                  120.08                      -8.2508368
                  120.34                      -15.226809
                   120.6                      -21.995581
                  120.86                      -28.569173
                  121.12                      -34.959499
                  121.38                      -41.178799
                  121.64                      -47.238323
                   121.9                      -53.149442
                  122.16                      -58.923518
                  122.42                       -64.57039
                  122.68                      -70.101204
                  122.94                      -75.525796
                   123.2                      -80.854218
                  123.46                      -86.096087
                  123.72                      -91.261677
                  123.98                      -96.360168
                  124.24                      -101.40118
                   124.5                      -106.39432
                  124.76                      -111.34921
                  125.02                      -116.27591
                  125.28                      -121.18446
                  125.54                      -126.08559
                   125.8                      -130.99065
                  126.06                      -135.91254
                  126.32                      -140.86459
                  126.58                      -145.86188
                  126.84                       -150.9219
                   127.1                      -156.06411
                  127.36                      -161.30948
                  127.62                      -166.68379
                  127.88                      -172.21505
                  128.14                      -177.93623
               128.39999                       176.11506
                  128.66                       169.89641
                  128.92                       163.35976
               129.17999                       156.45242
                  129.44                        149.1204
                   129.7                       141.31038
               129.96001                        132.9793
                  130.22                       124.10551
                  130.48                        114.7039
               130.74001                       104.83979
                     131                       94.638221
               131.25999                       84.277972
                  131.52                       73.967774
                  131.78                       63.909146
               132.03999                       54.266447
                   132.3                       45.145905
                  132.56                       36.596694
               132.81999                       28.620344
                  133.08                       21.187787
                  133.34                       14.251812
               133.60001                       7.7597456
                  133.86                       1.6580366
                  134.12                      -4.1033645
                  134.38                      -9.5692638
                  134.64                      -14.779443
               134.89999                      -19.768212
                  135.16                      -24.565081
                  135.42                      -29.196279
               135.67999                       -33.68344
                  135.94                        -38.0458
                   136.2                      -42.299966
               136.46001                      -46.461031
                  136.72                      -50.540564
                  136.98                      -54.550813
               137.24001                      -58.500959
                   137.5                      -62.400613
               137.75999                      -66.257649
                  138.02                      -70.079274
                  138.28                      -73.873145
               138.53999                      -77.645596
                   138.8                       -81.40362
                  139.06                      -85.153777
               139.31999                      -88.902622
                  139.58                      -92.657149
                  139.84                      -96.424354
               140.10001                      -100.21101
                  140.36                      -104.02433
                  140.62                      -107.87241
                  140.88                      -111.76245
                  141.14                      -115.70319
               141.39999                      -119.70295
                  141.66                      -123.77047
                  141.92                      -127.91623
               142.17999                      -132.15007
                  142.44                      -136.48358
                   142.7                      -140.92899
               142.96001                      -145.49986
                  143.22                      -150.21018
                  143.48                      -155.07612
               143.74001                      -160.11472
                     144                      -165.34413
               144.25999                      -170.78337
                  144.52                      -176.45297
                  144.78                       177.62761
               145.03999                       171.43803
                   145.3                       164.95952
                  145.56                       158.17675
               145.81999                       151.07795
                  146.08                       143.65894
                  146.34                       135.92411
               146.60001                       127.88984
                  146.86                       119.58608
                  147.12                       111.05763
                  147.38                        102.3622
                  147.64                       93.569505
               147.89999                         84.7543
                  148.16                       75.991986
                  148.42                       67.351853
               148.67999                       58.893125
                  148.94                       50.661275
                   149.2                        42.68842
               149.46001                       34.993365
                  149.72                        27.58354
                  149.98                       20.457849
               150.24001                       13.608864
                   150.5                       7.0252164
               150.75999                      0.69248373
                  151.02                      -5.4050722
                  151.28                      -11.282969
               151.53999                      -16.957599
                   151.8                      -22.444045
                  152.06                      -27.756729
               152.31999                      -32.909641
                  152.58                      -37.915024
                  152.84                      -42.784458
               153.10001                      -47.528651
                  153.36                      -52.157006
                  153.62                      -56.678703
                  153.88                      -61.102039
                  154.14                      -65.434021
               154.39999                      -69.682727
                  154.66                      -73.854061
                  154.92                      -77.955014
               155.17999                      -81.991929
                  155.44                      -85.970705
                   155.7                        -89.8979
               155.96001                      -93.778977
                  156.22                      -97.620275
                  156.48                      -101.42726
               156.74001                      -105.20583
                     157                      -108.96189
               157.25999                       -112.7009
                  157.52                      -116.42898
                  157.78                      -120.15203
               158.03999                      -123.87749
                   158.3                      -127.61147
                  158.56                      -131.36272
               158.81999                       -135.1402
                  159.08                      -138.95352
                  159.34                      -142.81602
               159.60001                      -146.74016
                  159.86                      -150.74363
                  160.12                      -154.84568
                  160.38                      -159.07012
                  160.64                      -163.44603
               160.89999                      -168.00969
                  161.16                      -172.80656
                  161.42                        -177.895
               161.67999                       176.65025
                  161.94                       170.73126
                   162.2                       164.22127
               162.46001                       156.95658
                  162.72                       148.73324
                  162.98                       139.31567
               163.24001                       128.47894
                   163.5                        116.1103
               163.75999                       102.37582
                  164.02                       87.852982
                  164.28                       73.433086
               164.53999                       59.962642
                   164.8                       47.925771
                  165.06                       37.411873
               165.31999                       28.271222
                  165.58                       20.270609
                  165.84                        13.17967
               166.10001                       6.8045366
                  166.36                      0.99024261
                  166.62                      -4.3823291
                  166.88                      -9.4047587
                  167.14                      -14.147643
               167.39999                       -18.66584
                  167.66                      -23.001754
                  167.92                      -27.189261
               168.17999                      -31.255901
                  168.44                       -35.22331
                   168.7                      -39.109853
               168.96001                      -42.930823
                  169.22                      -46.698685
                  169.48                      -50.424142
               169.74001                       -54.11638
                     170                      -57.783919
               170.25999                      -61.433752
                  170.52                       -65.07266
                  170.78                      -68.706755
               171.03999                      -72.341728
                   171.3                      -75.983476
                  171.56                      -79.637463
               171.81999                      -83.308936
                  172.08                      -87.003139
                  172.34                      -90.725756
               172.60001                      -94.481595
                  172.86                      -98.276557
                  173.12                      -102.11523
                  173.38                      -106.00352
                  173.64                      -109.94602
               173.89999                      -113.94905
                  174.16                       -118.0181
                  174.42                      -122.15949
               174.67999                      -126.37956
                  174.94                      -130.68597
                   175.2                      -135.08658
               175.46001                      -139.59013
                  175.72                      -144.20603
                  175.98                      -148.94563
               176.24001                      -153.82053
                   176.5                      -158.84493
               176.75999                       -164.0339
                  177.02                      -169.40429
                  177.28                      -174.97466
               177.53999                       179.23443
                   177.8                       173.20091
                  178.06                       166.90206
               178.31999                       160.31601
                  178.58                       153.42178
                  178.84                       146.20429
               179.10001                       138.65655
                  179.36                       130.78402
                  179.62                       122.60921
                  179.88                       114.17584
                  180.14                       105.54925
               180.39999                         96.8147
                  180.66                        88.07009
                  180.92                       79.416405
               181.17999                         70.9485
                  181.44                       62.744187
                   181.7                       54.860291
               181.96001                       47.332656
                  182.22                       40.175931
                  182.48                       33.389452
               182.74001                       26.960989
                     183                         20.8713
               183.25999                       15.097223
                  183.52                       9.6136198
                  183.78                       4.3955735
               184.03999                     -0.58051969
                   184.3                      -5.3367353
                  184.56                       -9.893619
               184.81999                       -14.26953
                  185.08                      -18.480862
                  185.34                       -22.54291
               185.60001                      -26.468575
                  185.86                      -30.269438
                  186.12                      -33.956867
                  186.38                      -37.539384
                  186.64                       -41.02617
               186.89999                      -44.424872
                  187.16                      -47.742485
                  187.42                      -50.985569
               187.67999                       -54.16046
                  187.94                      -57.273056
                   188.2                      -60.327954
               188.46001                      -63.330833
                  188.72                      -66.286066
                  188.98                       -69.19802
               189.24001                      -72.070636
                   189.5                      -74.907403
               189.75999                      -77.712481
                  190.02                      -80.488269
                  190.28                      -83.238048
               190.53999                      -85.965097
                   190.8                        -88.6716
                  191.06                      -91.360837
               191.31999                      -94.035211
                  191.58                      -96.697346
                  191.84                      -99.350082
               192.10001                      -101.99561
                  192.36                      -104.63654
                  192.62                      -107.27507
                  192.88                      -109.91382
                  193.14                      -112.55497
               193.39999                      -115.20049
                  193.66                      -117.85257
                  193.92                       -120.5134
               194.17999                      -123.18558
                  194.44                      -125.87111
                   194.7                      -128.57346
               194.96001                      -131.29526
                  195.22                       -134.0398
                  195.48                      -136.81099
               195.74001                      -139.61367
                     196                       -142.4524
               196.25999                      -145.33267
                  196.52                      -148.26123
                  196.78                      -151.24531
               197.03999                      -154.29365
                   197.3                       -157.4174
                  197.56                      -160.62923
               197.81999                      -163.94531
                  198.08                      -167.38707
                  198.34                      -170.98073
               198.60001                      -174.76302
                  198.86                      -178.78223
                  199.12                       176.89366
                  199.38                       172.16651
                  199.64                       166.89229
               199.89999                        160.8496
                  200.16                       153.68653
                  200.42                       144.82871
               200.67999                        133.3389
                  200.94                       117.83733
                   201.2                        97.12142
               201.46001                         72.5935
                  201.72                       49.360802
                  201.98                       31.073819
               202.24001                       17.510046
                   202.5                       7.2088094
               202.75999                      -1.0070886
                  203.02                      -7.8820838
                  203.28                      -13.868171
               203.53999                      -19.243584
                   203.8                      -24.185581
                  204.06                      -28.810002
               204.31999                      -33.195094
                  204.58                      -37.395058
                  204.84                      -41.447926
               205.10001                      -45.381243
                  205.36                      -49.215549
                  205.62                      -52.965051
                  205.88                      -56.640889
                  206.14                      -60.250947
               206.39999                       -63.80199
                  206.66                      -67.298391
                  206.92                      -70.744303
               207.17999                      -74.142131
                  207.44                      -77.495372
                   207.7                      -80.804899
               207.96001                      -84.073336
                  208.22                      -87.301119
                  208.48                      -90.490435
               208.74001                      -93.641721
                     209                      -96.755412
               209.25999                      -99.831948
                  209.52                      -102.87089
                  209.78                      -105.87311
               210.03999                      -108.83731
                   210.3                      -111.76303
                  210.56                      -114.64898
               210.81999                      -117.49515
                  211.08                      -120.29979
                  211.34                      -123.06158
               211.60001                       -125.7788
                  211.86                      -128.45011
                  212.12                      -131.07291
                  212.38                      -133.64455
                  212.64                      -136.16156
               212.89999                      -138.61868
                  213.16                      -141.00979
                  213.42                      -143.32747
               213.67999                      -145.56034
                  213.94                      -147.69398
                   214.2                      -149.70785
               214.46001                      -151.57265
                  214.72                      -153.24599
                  214.98                       -154.6623
               215.24001                      -155.71448
                   215.5                      -156.21849
               215.75999                      -155.82639
                  216.02                      -153.80509
                  216.28                      -148.36235
               216.53999                      -134.31162
                   216.8                       -98.93845
                  217.06                      -55.769468
               217.31999                      -35.999513
                  217.58                      -28.383581
                  217.84                      -25.331741
               218.10001                      -24.300986
                  218.36                      -24.309728
                  218.62                      -24.913626
                  218.88                       -25.88384
                  219.14                      -27.091853
               219.39999                      -28.460296
                  219.66                      -29.939771
                  219.92                      -31.497708
               220.17999                      -33.112474
                  220.44                      -34.768112
                   220.7                      -36.453693
               220.96001                      -38.160697
                  221.22                      -39.883213
                  221.48                      -41.616877
               221.74001                      -43.358193
                     222                        -45.1041
               222.25999                      -46.852628
                  222.52                      -48.602248
                  222.78                      -50.352308
               223.03999                      -52.102149
                   223.3                       -53.85155
                  223.56                      -55.601393
               223.81999                      -57.352109
                  224.08                      -59.104785
                  224.34                      -60.860528
               224.60001                      -62.620858
                  224.86                      -64.386435
