        Frequency / MHz                S1,1/abs,dB
                   102.4                      -20.145485
                  102.66                      -19.803534
                  102.92                      -19.428683
                  103.18                      -19.032717
                  103.44                      -18.625733
                   103.7                      -18.215953
                  103.96                      -17.809802
                  104.22                      -17.412117
                  104.48                      -17.026424
                  104.74                      -16.655189
                     105                      -16.300066
                  105.26                      -15.962097
                  105.52                      -15.641876
                  105.78                      -15.339681
                  106.04                      -15.055576
                   106.3                      -14.789484
                  106.56                      -14.541247
                  106.82                      -14.310652
                  107.08                      -14.097469
                  107.34                      -13.901455
                   107.6                      -13.722361
                  107.86                      -13.559932
                  108.12                      -13.413915
                  108.38                      -13.284055
                  108.64                      -13.170094
                   108.9                      -13.071785
                  109.16                      -12.988889
                  109.42                       -12.92119
                  109.68                        -12.8685
                  109.94                      -12.830662
                   110.2                      -12.807564
                  110.46                      -12.799131
                  110.72                      -12.805324
                  110.98                      -12.826136
                  111.24                      -12.861575
                   111.5                      -12.911654
                  111.76                      -12.976369
                  112.02                      -13.055681
                  112.28                      -13.149491
                  112.54                      -13.257615
                   112.8                      -13.379758
                  113.06                      -13.515478
                  113.32                      -13.664143
                  113.58                       -13.82489
                  113.84                       -13.99656
                   114.1                       -14.17763
                  114.36                      -14.366133
                  114.62                      -14.559572
                  114.88                      -14.754833
                  115.14                      -14.948113
                   115.4                      -15.134887
                  115.66                      -15.309938
                  115.92                      -15.467485
                  116.18                      -15.601424
                  116.44                      -15.705722
                   116.7                      -15.774919
                  116.96                      -15.804686
                  117.22                      -15.792366
                  117.48                      -15.737351
                  117.74                      -15.641222
                     118                      -15.507616
                  118.26                      -15.341835
                  118.52                      -15.150314
                  118.78                      -14.940031
                  119.04                      -14.717988
                   119.3                       -14.49079
                  119.56                      -14.264385
                  119.82                      -14.043909
                  120.08                      -13.833647
                  120.34                      -13.637056
                   120.6                      -13.456833
                  120.86                      -13.295012
                  121.12                      -13.153057
                  121.38                      -13.031959
                  121.64                      -12.932333
                   121.9                      -12.854499
                  122.16                      -12.798553
                  122.42                      -12.764436
                  122.68                      -12.751984
                  122.94                       -12.76098
                   123.2                      -12.791188
                  123.46                       -12.84238
                  123.72                      -12.914361
                  123.98                      -13.006984
                  124.24                      -13.120151
                   124.5                      -13.253827
                  124.76                      -13.408033
                  125.02                      -13.582848
                  125.28                      -13.778406
                  125.54                      -13.994892
                   125.8                      -14.232545
                  126.06                      -14.491647
                  126.32                      -14.772524
                  126.58                      -15.075535
                  126.84                      -15.401059
                   127.1                      -15.749464
                  127.36                      -16.121059
                  127.62                      -16.516033
                  127.88                      -16.934338
                  128.14                      -17.375546
               128.39999                      -17.838627
                  128.66                      -18.321641
                  128.92                      -18.821336
               129.17999                      -19.332611
                  129.44                      -19.847853
                   129.7                      -20.356229
               129.96001                      -20.843044
                  130.22                      -21.289525
                  130.48                      -21.673481
               130.74001                      -21.971371
                     131                      -22.161929
               131.25999                      -22.230648
                  131.52                      -22.173463
                  131.78                      -21.997873
               132.03999                       -21.72088
                   132.3                      -21.364845
                  132.56                      -20.953137
               132.81999                      -20.506964
                  133.08                      -20.043781
                  133.34                      -19.576966
               133.60001                      -19.116208
                  133.86                      -18.668179
                  134.12                      -18.237248
                  134.38                      -17.826094
                  134.64                      -17.436198
               134.89999                      -17.068211
                  135.16                      -16.722231
                  135.42                      -16.398001
               135.67999                      -16.095039
                  135.94                      -15.812739
                   136.2                      -15.550434
               136.46001                      -15.307438
                  136.72                      -15.083067
                  136.98                      -14.876655
               137.24001                      -14.687562
                   137.5                      -14.515176
               137.75999                      -14.358911
                  138.02                      -14.218209
                  138.28                      -14.092545
               138.53999                      -13.981427
                   138.8                      -13.884402
                  139.06                      -13.801057
               139.31999                       -13.73103
                  139.58                      -13.674009
                  139.84                      -13.629741
               140.10001                       -13.59803
                  140.36                       -13.57873
                  140.62                      -13.571751
                  140.88                      -13.577046
                  141.14                      -13.594605
               141.39999                      -13.624447
                  141.66                      -13.666605
                  141.92                      -13.721125
               142.17999                      -13.788045
                  142.44                      -13.867387
                   142.7                      -13.959146
               142.96001                      -14.063267
                  143.22                      -14.179629
                  143.48                      -14.308005
               143.74001                      -14.448029
                     144                      -14.599139
               144.25999                      -14.760505
                  144.52                      -14.930944
                  144.78                      -15.108812
               145.03999                      -15.291888
                   145.3                      -15.477252
                  145.56                      -15.661168
               145.81999                      -15.839011
                  146.08                      -16.005267
                  146.34                      -16.153634
               146.60001                      -16.277298
                  146.86                      -16.369379
                  147.12                      -16.423536
                  147.38                      -16.434686
                  147.64                      -16.399671
               147.89999                      -16.317732
                  148.16                      -16.190682
                  148.42                      -16.022689
               148.67999                      -15.819769
                  148.94                      -15.589086
                   149.2                      -15.338235
               149.46001                      -15.074632
                  149.72                      -14.805067
                  149.98                      -14.535455
               150.24001                      -14.270718
                   150.5                       -14.01481
               150.75999                      -13.770794
                  151.02                       -13.54096
                  151.28                      -13.326962
               151.53999                      -13.129941
                   151.8                       -12.95064
                  152.06                        -12.7895
               152.31999                      -12.646737
                  152.58                      -12.522406
                  152.84                      -12.416442
               153.10001                        -12.3287
                  153.36                      -12.258978
                  153.62                      -12.207037
                  153.88                      -12.172615
                  154.14                       -12.15544
               154.39999                      -12.155247
                  154.66                      -12.171787
                  154.92                       -12.20484
               155.17999                      -12.254232
                  155.44                      -12.319841
                   155.7                      -12.401616
               155.96001                      -12.499577
                  156.22                      -12.613828
                  156.48                      -12.744555
               156.74001                      -12.892029
                     157                      -13.056607
               157.25999                      -13.238729
                  157.52                      -13.438922
                  157.78                      -13.657799
               158.03999                      -13.896067
                   158.3                      -14.154543
                  158.56                      -14.434162
               158.81999                      -14.736004
                  159.08                      -15.061312
                  159.34                      -15.411525
               159.60001                      -15.788295
                  159.86                      -16.193526
                  160.12                      -16.629382
                  160.38                      -17.098313
                  160.64                      -17.603044
               160.89999                      -18.146553
                  161.16                      -18.731986
                  161.42                      -19.362482
               161.67999                      -20.040827
                  161.94                      -20.768778
                   162.2                      -21.545826
               162.46001                      -22.366937
                  162.72                      -23.218675
                  162.98                      -24.073014
               163.24001                      -24.879219
                   163.5                      -25.557728
               163.75999                      -26.007078
                  164.02                      -26.136581
                  164.28                      -25.914729
               164.53999                      -25.389803
                   164.8                      -24.659153
                  165.06                      -23.821315
               165.31999                      -22.949466
                  165.58                      -22.088676
                  165.84                      -21.263143
               166.10001                      -20.484047
                  166.36                      -19.755188
                  166.62                      -19.076455
                  166.88                      -18.445815
                  167.14                      -17.860398
               167.39999                      -17.317085
                  167.66                      -16.812802
                  167.92                      -16.344675
               168.17999                      -15.910084
                  168.44                      -15.506684
                   168.7                      -15.132393
               168.96001                      -14.785378
                  169.22                      -14.464024
                  169.48                      -14.166914
               169.74001                      -13.892799
                     170                      -13.640582
               170.25999                      -13.409304
                  170.52                      -13.198119
                  170.78                      -13.006304
               171.03999                      -12.833238
                   171.3                      -12.678408
                  171.56                      -12.541405
               171.81999                       -12.42192
                  172.08                      -12.319747
                  172.34                      -12.234772
               172.60001                      -12.166973
                  172.86                      -12.116409
                  173.12                      -12.083216
                  173.38                       -12.06759
                  173.64                      -12.069787
               173.89999                      -12.090104
                  174.16                      -12.128874
                  174.42                      -12.186459
               174.67999                      -12.263232
                  174.94                      -12.359577
                   175.2                      -12.475867
               175.46001                       -12.61245
                  175.72                      -12.769626
                  175.98                      -12.947614
               176.24001                      -13.146513
                   176.5                      -13.366247
               176.75999                      -13.606489
                  177.02                      -13.866578
                  177.28                      -14.145396
               177.53999                      -14.441234
                   177.8                      -14.751622
                  178.06                      -15.073129
               178.31999                      -15.401165
                  178.58                      -15.729774
                  178.84                      -16.051496
               179.10001                      -16.357341
                  179.36                       -16.63698
                  179.62                      -16.879254
                  179.88                       -17.07303
                  180.14                      -17.208381
               180.39999                      -17.277915
                  180.66                      -17.277888
                  180.92                      -17.208808
               181.17999                      -17.075307
                  181.44                       -16.88532
                   181.7                      -16.648857
               181.96001                      -16.376699
                  182.22                      -16.079325
                  182.48                      -15.766176
               182.74001                      -15.445284
                     183                      -15.123166
               183.25999                       -14.80491
                  183.52                      -14.494342
                  183.78                      -14.194246
               184.03999                      -13.906564
                   184.3                       -13.63258
                  184.56                       -13.37308
               184.81999                      -13.128476
                  185.08                      -12.898903
                  185.34                      -12.684297
               185.60001                       -12.48445
                  185.86                      -12.299053
                  186.12                      -12.127727
                  186.38                      -11.970049
                  186.64                      -11.825571
               186.89999                      -11.693835
                  187.16                      -11.574385
                  187.42                      -11.466783
               187.67999                      -11.370617
                  187.94                      -11.285506
                   188.2                      -11.211112
               188.46001                      -11.147137
                  188.72                      -11.093331
                  188.98                      -11.049483
               189.24001                      -11.015425
                   189.5                      -10.991026
               189.75999                      -10.976182
                  190.02                      -10.970827
                  190.28                      -10.974917
               190.53999                      -10.988432
                   190.8                       -11.01139
                  191.06                      -11.043836
               191.31999                      -11.085854
                  191.58                       -11.13757
                  191.84                      -11.199153
               192.10001                      -11.270824
                  192.36                      -11.352852
                  192.62                      -11.445555
                  192.88                      -11.549303
                  193.14                      -11.664506
               193.39999                      -11.791628
                  193.66                      -11.931176
                  193.92                      -12.083708
               194.17999                      -12.249838
                  194.44                      -12.430248
                   194.7                        -12.6257
               194.96001                      -12.837051
                  195.22                      -13.065279
                  195.48                      -13.311499
               195.74001                      -13.576985
                     196                      -13.863212
               196.25999                       -14.17187
                  196.52                      -14.504911
                  196.78                      -14.864592
               197.03999                      -15.253529
                   197.3                      -15.674772
                  197.56                      -16.131897
               197.81999                      -16.629133
                  198.08                      -17.171512
                  198.34                      -17.765094
               198.60001                      -18.417219
                  198.86                      -19.136876
                  199.12                      -19.935118
                  199.38                      -20.825564
                  199.64                      -21.824847
               199.89999                      -22.952597
                  200.16                      -24.229649
                  200.42                      -25.670381
               200.67999                      -27.257139
                  200.94                      -28.867167
                   201.2                      -30.130121
               201.46001                      -30.440284
                  201.72                      -29.585291
                  201.98                      -28.068684
               202.24001                      -26.421794
                   202.5                      -24.879724
               202.75999                      -23.502617
                  203.02                      -22.288534
                  203.28                      -21.219114
               203.53999                      -20.274309
                   203.8                      -19.436446
                  204.06                      -18.690903
               204.31999                      -18.025828
                  204.58                      -17.431639
                  204.84                      -16.900564
               205.10001                      -16.426239
                  205.36                      -16.003421
                  205.62                      -15.627734
                  205.88                        -15.2955
                  206.14                      -15.003595
               206.39999                       -14.74935
                  206.66                      -14.530471
                  206.92                      -14.344979
               207.17999                       -14.19117
                  207.44                      -14.067586
                   207.7                      -13.972983
               207.96001                      -13.906321
                  208.22                      -13.866747
                  208.48                      -13.853577
               208.74001                      -13.866292
                     209                       -13.90452
               209.25999                      -13.968033
                  209.52                      -14.056732
                  209.78                      -14.170646
               210.03999                      -14.309932
                   210.3                       -14.47487
                  210.56                      -14.665886
               210.81999                      -14.883549
                  211.08                      -15.128609
                  211.34                      -15.402018
               211.60001                      -15.704965
                  211.86                      -16.038926
                  212.12                       -16.40572
                  212.38                      -16.807569
                  212.64                      -17.247195
               212.89999                      -17.727924
                  213.16                      -18.253834
                  213.42                      -18.829961
               213.67999                      -19.462574
                  213.94                      -20.159582
                   214.2                      -20.931107
               214.46001                      -21.790364
                  214.72                      -22.754993
                  214.98                      -23.849183
               215.24001                      -25.107176
                   215.5                      -26.579302
               215.75999                      -28.342779
                  216.02                      -30.521029
                  216.28                      -33.310173
               216.53999                      -36.902238
                   216.8                      -40.059985
                  217.06                      -38.273926
               217.31999                      -34.532145
                  217.58                      -31.514485
                  217.84                      -29.190268
               218.10001                      -27.338698
                  218.36                      -25.813659
                  218.62                      -24.524317
                  218.88                      -23.412158
                  219.14                      -22.437738
               219.39999                      -21.573354
                  219.66                      -20.798857
                  219.92                      -20.099156
               220.17999                      -19.462674
                  220.44                      -18.880346
                   220.7                      -18.344952
               220.96001                       -17.85065
                  221.22                      -17.392651
                  221.48                      -16.966975
               221.74001                      -16.570265
                     222                      -16.199666
               222.25999                      -15.852708
                  222.52                      -15.527241
                  222.78                      -15.221381
               223.03999                      -14.933464
                   223.3                      -14.662028
                  223.56                      -14.405792
               223.81999                       -14.16364
                  224.08                      -13.934609
                  224.34                      -13.717881
               224.60001                      -13.512763
                  224.86                      -13.318674
                  225.12                      -13.135127
                  225.38                      -12.961719
                  225.64                      -12.798108
               225.89999                      -12.644007
                  226.16                      -12.499174
                  226.42                       -12.36341
               226.67999                      -12.236555
                  226.94                      -12.118493
                   227.2                      -12.009154
               227.46001                       -11.90851
                  227.72                      -11.816586
                  227.98                      -11.733447
               228.24001                        -11.6592
                   228.5                      -11.593987
               228.75999                      -11.537969
                  229.02                       -11.49133
                  229.28                      -11.454261
               229.53999                      -11.426962
                   229.8                      -11.409637
                  230.06                      -11.402499
               230.31999                      -11.405776
                  230.58                      -11.419718
                  230.84                      -11.444604
               231.10001                      -11.480752
                  231.36                      -11.528527
                  231.62                      -11.588345
                  231.88                      -11.660677
                  232.14                      -11.746055
               232.39999                      -11.845071
                  232.66                      -11.958384
                  232.92                      -12.086724
               233.17999                      -12.230908
                  233.44                      -12.391852
                   233.7                      -12.570593
               233.96001                      -12.768319
                  234.22                      -12.986397
                  234.48                       -13.22641
               234.74001                      -13.490199
                     235                      -13.779902
               235.25999                      -14.098002
                  235.52                      -14.447385
                  235.78                      -14.831397
               236.03999                      -15.253931
                   236.3                       -15.71953
                  236.56                       -16.23353
               236.81999                      -16.802264
                  237.08                      -17.433349
                  237.34                      -18.136091
               237.60001                      -18.922077
                  237.86                       -19.80605
                  238.12                      -20.807213
                  238.38                      -21.951203
                  238.64                       -23.27307
               238.89999                      -24.821557
                  239.16                      -26.663779
                  239.42                      -28.881105
               239.67999                      -31.497449
                  239.94                      -34.047334
                   240.2                      -34.686964
               240.46001                      -32.740936
                  240.72                      -30.214104
                  240.98                      -28.018197
               241.24001                      -26.220481
                   241.5                      -24.743432
               241.75999                      -23.512387
                  242.02                      -22.471761
                  242.28                      -21.581548
               242.53999                      -20.812643
                   242.8                      -20.143421
                  243.06                      -19.557453
               243.31999                      -19.041991
                  243.58                      -18.586969
                  243.84                      -18.184311
               244.10001                      -17.827445
                  244.36                      -17.510957
                  244.62                      -17.230333
                  244.88                      -16.981763
                  245.14                      -16.761994
               245.39999                      -16.568215
                  245.66                      -16.397976
                  245.92                       -16.24913
               246.17999                      -16.119789
                  246.44                        -16.0083
                   246.7                      -15.913233
               246.96001                      -15.833371
                  247.22                      -15.767699
                  247.48                      -15.715406
               247.74001                      -15.675864
                     248                      -15.648614
               248.25999                      -15.633339
                  248.52                      -15.629848
                  248.78                      -15.638036
               249.03999                      -15.657875
                   249.3                      -15.689388
                  249.56                      -15.732638
               249.81999                      -15.787727
                  250.08                      -15.854798
                  250.34                      -15.934039
               250.60001                      -16.025693
                  250.86                      -16.130064
                  251.12                      -16.247518
                  251.38                      -16.378484
                  251.64                       -16.52344
               251.89999                      -16.682904
                  252.16                      -16.857411
                  252.42                      -17.047501
               252.67999                      -17.253705
                  252.94                      -17.476526
                   253.2                      -17.716435
               253.46001                       -17.97386
                  253.72                      -18.249171
                  253.98                      -18.542659
               254.24001                      -18.854493
                   254.5                      -19.184641
               254.75999                      -19.532761
                  255.02                      -19.898032
                  255.28                      -20.278924
               255.53999                      -20.672903
                   255.8                      -21.076066
                  256.06                      -21.482742
               256.32001                      -21.885089
               256.57999                      -22.272803
                  256.84                       -22.63308
               257.10001                      -22.951059
               257.35999                      -23.210909
                  257.62                      -23.397648
                  257.88                      -23.499423
               258.13998                       -23.50967
               258.39999                      -23.428383
                  258.66                      -23.262003
               258.92001                      -23.021983
               259.17999                      -22.722606
                  259.44                      -22.378814
               259.70001                      -22.004558
               259.95999                      -21.611838
                  260.22                      -21.210325
               260.48001                      -20.807394
               260.73999                      -20.408352
                     261                      -20.016755
               261.26001                       -19.63472
               261.51999                      -19.263225
                  261.78                      -18.902364
               262.04001                       -18.55158
               262.29999                       -18.20986
                  262.56                      -17.875924
               262.82001                      -17.548366
               263.07999                      -17.225795
                  263.34                      -16.906931
               263.60001                      -16.590686
               263.85999                      -16.276204
                  264.12                      -15.962904
                  264.38                      -15.650474
               264.63998                       -15.33888
               264.89999                      -15.028357
                  265.16                      -14.719403
               265.42001                       -14.41277
               265.67999                      -14.109447
                  265.94                      -13.810652
               266.20001                      -13.517796
               266.45999                      -13.232455
                  266.72                      -12.956319
               266.98001                      -12.691137
               267.23999                      -12.438657
                   267.5                      -12.200568
               267.76001                      -11.978439
               268.01999                      -11.773673
                  268.28                      -11.587468
               268.54001                      -11.420793
               268.79999                      -11.274374
                  269.06                      -11.148689
               269.32001                      -11.043988
               269.57999                      -10.960294
                  269.84                      -10.897439
               270.10001                      -10.855084
               270.35999                      -10.832744
                  270.62                      -10.829823
                  270.88                      -10.845629
               271.13998                      -10.879404
               271.39999                      -10.930341
                  271.66                      -10.997607
               271.92001                      -11.080349
               272.17999                      -11.177722
                  272.44                      -11.288898
               272.70001                      -11.413085
               272.95999                      -11.549546
                  273.22                       -11.69761
               273.48001                      -11.856698
               273.73999                      -12.026328
                     274                      -12.206122
               274.26001                      -12.395812
               274.51999                      -12.595227
                  274.78                      -12.804285
               275.04001                      -13.022973
               275.29999                      -13.251323
                  275.56                      -13.489395
               275.82001                      -13.737262
               276.07999                      -13.994989
                  276.34                      -14.262642
               276.60001                      -14.540281
               276.85999                      -14.827972
