        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
                  108.38                       177.03645
                  108.64                       175.63925
                   108.9                       174.34483
                  109.16                       173.16006
                  109.42                       172.09063
                  109.68                       171.14089
                  109.94                        170.3138
                   110.2                       169.61081
                  110.46                       169.03185
                  110.72                       168.57528
                  110.98                       168.23779
                  111.24                       168.01436
                   111.5                       167.89822
                  111.76                       167.88095
                  112.02                       167.95265
                  112.28                       168.10218
                  112.54                       168.31756
                   112.8                       168.58622
                  113.06                       168.89541
                  113.32                       169.23244
                  113.58                         169.585
                  113.84                       169.94138
                   114.1                       170.29081
                  114.36                       170.62369
                  114.62                       170.93193
                  114.88                       171.20912
                  115.14                       171.45071
                   115.4                       171.65401
                  115.66                       171.81817
                  115.92                        171.9441
                  116.18                       172.03441
                  116.44                       172.09343
                   116.7                       172.12726
                  116.96                       172.14389
                  117.22                        172.1533
                  117.48                       172.16759
                  117.74                       172.20092
                     118                       172.26952
                  118.26                        172.3915
                  118.52                       172.58672
                  118.78                       172.87649
                  119.04                       173.28323
                   119.3                       173.82999
                  119.56                       174.53982
                  119.82                       175.43507
                  120.08                       176.53649
                  120.34                       177.86251
                   120.6                       179.42846
                  120.86                       181.24612
                  121.12                       183.32345
                  121.38                        185.6646
                  121.64                        188.2701
                   121.9                       191.13726
                  122.16                       194.26059
                  122.42                       197.63231
                  122.68                       201.24287
                  122.94                       205.08147
                   123.2                       209.13656
                  123.46                       213.39635
                  123.72                       217.84922
                  123.98                       222.48398
                  124.24                       227.29011
                   124.5                       232.25771
                  124.76                       237.37743
                  125.02                       242.64029
                  125.28                       248.03751
                  125.54                        253.5604
                   125.8                       259.20029
                  126.06                       264.94852
                  126.32                       270.79641
                  126.58                       276.73523
                  126.84                       282.75611
                   127.1                       288.84988
                  127.36                       295.00702
                  127.62                       301.21761
                  127.88                       307.47138
                  128.14                       313.75785
                   128.4                       320.06652
                  128.66                       326.38701
                  128.92                        332.7091
                  129.18                       339.02274
                  129.44                       345.31794
                   129.7                       351.58463
                  129.96                       357.81268
                  130.22                       363.99186
                  130.48                       370.11202
                  130.74                       376.16306
                     131                         382.135
                  131.26                       388.01775
                  131.52                       393.80084
                  131.78                       399.47301
                  132.04                       405.02187
                   132.3                       410.43356
                  132.56                        415.6926
                  132.82                       420.78176
                  133.08                        425.6819
                  133.34                       430.37176
                   133.6                       434.82764
                  133.86                       439.02305
                  134.12                       442.92847
                  134.38                       446.51136
                  134.64                       449.73654
                   134.9                        452.5669
                  135.16                       454.96445
                  135.42                       456.89151
                  135.68                       458.31201
                  135.94                       459.19279
                   136.2                         459.505
                  136.46                       459.22551
                  136.72                       458.33844
                  136.98                        456.8366
                  137.24                       454.72276
                   137.5                       452.01044
                  137.76                       448.72413
                  138.02                       444.89878
                  138.28                       440.57876
                  138.54                       435.81636
                   138.8                       430.67015
                  139.06                       425.20324
                  139.32                       419.48171
                  139.58                       413.57301
                  139.84                       407.54456
                   140.1                       401.46234
                  140.36                       395.38972
                  140.62                       389.38651
                  140.88                       383.50831
                  141.14                       377.80631
                   141.4                       372.32743
                  141.66                       367.11483
                  141.92                       362.20844
                  142.18                        357.6457
                  142.44                       353.46215
                   142.7                         349.692
                  142.96                        346.3687
                  143.22                       343.52535
                  143.48                       341.19528
                  143.74                       339.41239
                     144                       338.21135
                  144.26                       337.62743
                  144.52                        337.6958
                  144.78                       338.45013
                  145.04                       339.92045
                   145.3                       342.13013
                  145.56                       345.09196
                  145.82                       348.80333
                  146.08                       353.24066
                  146.34                       358.35319
                   146.6                       364.05668
                  146.86                       370.22791
                  147.12                       376.70102
                  147.38                       383.26753
                  147.64                       389.68132
                   147.9                       395.67006
                  148.16                       400.95295
                  148.42                       405.26362
                  148.68                       408.37469
                  148.94                       410.11976
                   149.2                       410.40837
                  149.46                       409.23084
                  149.72                       406.65254
                  149.98                       402.79967
                  150.24                       397.84015
                   150.5                       391.96381
                  150.76                       385.36481
                  151.02                       378.22829
                  151.28                        370.7215
                  151.54                       362.98903
                   151.8                       355.15126
                  152.06                       347.30494
                  152.32                       339.52535
                  152.58                       331.86908
                  152.84                       324.37722
                   153.1                       317.07842
                  153.36                       309.99164
                  153.62                       303.12844
                  153.88                       296.49467
                  154.14                       290.09183
                   154.4                       283.91799
                  154.66                       277.96861
                  154.92                       272.23715
                  155.18                        266.7158
                  155.44                       261.39598
                   155.7                       256.26882
                  155.96                       251.32543
                  156.22                       246.55695
                  156.48                       241.95453
                  156.74                       237.50921
                     157                       233.21191
                  157.26                        229.0535
                  157.52                       225.02496
                  157.78                       221.11761
                  158.04                        217.3233
                   158.3                       213.63445
                  158.56                       210.04397
                  158.82                       206.54516
                  159.08                       203.13156
                  159.34                        199.7969
                   159.6                        196.5352
                  159.86                       193.34094
                  160.12                       190.20931
                  160.38                       187.13637
                  160.64                       184.11901
                   160.9                       181.15492
                  161.16                       178.24236
                  161.42                       175.38004
                  161.68                         172.567
                  161.94                       169.80273
                   162.2                       167.08735
                  162.46                       164.42168
                  162.72                       161.80738
                  162.98                       159.24677
                  163.24                       156.74266
                   163.5                       154.29799
                  163.76                       151.91558
                  164.02                       149.59809
                  164.28                       147.34799
                  164.54                       145.16773
                   164.8                       143.05988
                  165.06                       141.02707
                  165.32                       139.07191
                  165.58                       137.19665
                  165.84                       135.40294
                   166.1                       133.69165
                  166.36                       132.06296
                  166.62                       130.51658
                  166.88                       129.05212
                  167.14                       127.66933
                   167.4                       126.36819
                  167.66                       125.14878
                  167.92                       124.01097
                  168.18                       122.95421
                  168.44                       121.97742
                   168.7                       121.07916
                  168.96                       120.25801
                  169.22                       119.51292
                  169.48                       118.84332
                  169.74                       118.24904
                     170                       117.72976
                  170.26                       117.28449
                  170.52                       116.91113
                  170.78                       116.60638
                  171.04                       116.36609
                   171.3                       116.18575
                  171.56                       116.06094
                  171.82                       115.98748
                  172.08                       115.96112
                  172.34                       115.97721
                   172.6                       116.03074
                  172.86                       116.11734
                  173.12                       116.23555
                  173.38                       116.39009
                  173.64                        116.5955
                   173.9                       116.87871
                  174.16                       117.27954
                  174.42                       117.84808
                  174.68                        118.6391
                  174.94                       119.70437
                   175.2                       121.08467
                  175.46                       122.80337
                  175.72                       124.86328
                  175.98                       127.24747
                  176.24                       129.92359
                   176.5                       132.85052
                  176.76                       135.98545
                  177.02                       139.28989
                  177.28                       142.73344
                  177.54                       146.29492
                   177.8                       149.96141
                  178.06                         153.726
                  178.32                       157.58528
                  178.58                        161.5375
                  178.84                       165.58168
                   179.1                       169.71754
                  179.36                       173.94595
                  179.62                       178.26927
                  179.88                       182.69133
                  180.14                       187.21692
                   180.4                        191.8511
                  180.66                       196.59855
                  180.92                       201.46333
                  181.18                       206.44915
                  181.44                       211.55988
                   181.7                       216.80026
                  181.96                       222.17619
                  182.22                       227.69479
                  182.48                       233.36397
                  182.74                        239.1919
                     183                        245.1866
                  183.26                       251.35583
                  183.52                       257.70738
                  183.78                       264.24961
                  184.04                       270.99195
                   184.3                       277.94504
                  184.56                       285.12066
                  184.82                       292.53108
                  185.08                       300.18852
                  185.34                       308.10459
                   185.6                       316.29014
                  185.86                       324.75555
                  186.12                       333.51117
                  186.38                       342.56776
                  186.64                       351.93676
                   186.9                       361.63011
                  187.16                       371.65992
                  187.42                       382.03806
                  187.68                       392.77613
                  187.94                       403.88587
                   188.2                       415.38001
                  188.46                       427.27346
                  188.72                       439.58429
                  188.98                       452.33425
                  189.24                        465.5487
                   189.5                       479.25588
                  189.76                       493.48592
                  190.02                       508.26965
                  190.28                       523.63761
                  190.54                       539.61877
                   190.8                       556.23877
                  191.06                        573.5168
                  191.32                       591.46073
                  191.58                       610.05994
                  191.84                       629.27604
                   192.1                       649.03172
                  192.36                       669.19832
                  192.62                       689.58275
                  192.88                       709.91445
                  193.14                       729.83348
                   193.4                       748.88177
                  193.66                       766.50081
                  193.92                       782.04091
                  194.18                       794.78752
                  194.44                       804.00893
                   194.7                       809.02472
                  194.96                       809.28714
                  195.22                       804.45968
                  195.48                       794.47353
                  195.74                       779.54592
                     196                        760.1549
                  196.26                        736.9779
                  196.52                       710.81046
                  196.78                       682.48405
                  197.04                        652.7972
                   197.3                       622.46749
                  197.56                       592.10528
                  197.82                       562.20589
                  198.08                        533.1554
                  198.34                       505.24482
                   198.6                       478.68857
                  198.86                       453.64375
                  199.12                       430.22811
                  199.38                       408.53516
                  199.64                       388.64572
                   199.9                       370.63556
                  200.16                        354.5792
                  200.42                       340.54994
                  200.68                       328.61665
                  200.94                       318.83755
                   201.2                       311.25213
                  201.46                       305.87231
                  201.72                       302.67455
                  201.98                        301.5948
                  202.24                       302.52742
                   202.5                       305.32876
                  202.76                       309.82479
                  203.02                       315.82141
                  203.28                       323.11545
                  203.54                       331.50491
                   203.8                       340.79688
                  204.06                       350.81287
                  204.32                       361.39129
                  204.58                       372.38766
                  204.84                        383.6731
                   205.1                       395.13176
                  205.36                       406.65766
                  205.62                       418.15147
                  205.88                       429.51723
                  206.14                       440.65944
                   206.4                       451.48052
                  206.66                       461.87887
                  206.92                        471.7479
                  207.18                       480.97602
                  207.44                       489.44802
                   207.7                       497.04771
                  207.96                       503.66174
                  208.22                       509.18444
                  208.48                        513.5231
                  208.74                       516.60323
                     209                       518.37314
                  209.26                       518.80743
                  209.52                       517.90882
                  209.78                       515.70828
                  210.04                       512.26334
                   210.3                       507.65489
                  210.56                       501.98279
                  210.82                       495.36068
                  211.08                        487.9106
                  211.34                        479.7577
                   211.6                       471.02558
                  211.86                       461.83245
                  212.12                       452.28821
                  212.38                       442.49263
                  212.64                       432.53437
                   212.9                       422.49071
                  213.16                       412.42786
                  213.42                       402.40149
                  213.68                       392.45761
                  213.94                       382.63336
                   214.2                       372.95795
                  214.46                       363.45359
                  214.72                       354.13645
                  214.98                       345.01755
                  215.24                        336.1036
                   215.5                       327.39783
                  215.76                       318.90057
                  216.02                       310.60981
                  216.28                       302.52162
                  216.54                       294.63052
                   216.8                       286.92979
                  217.06                        279.4118
                  217.32                       272.06836
                  217.58                       264.89102
                  217.84                       257.87134
                   218.1                       251.00116
                  218.36                       244.27272
                  218.62                       237.67883
                  218.88                       231.21292
                  219.14                       224.86915
                   219.4                       218.64254
                  219.66                       212.52912
                  219.92                       206.52607
                  220.18                       200.63194
                  220.44                       194.84672
                   220.7                       189.17201
                  220.96                       183.61111
                  221.22                        178.1691
                  221.48                         172.853
                  221.74                       167.67194
                     222                       162.63744
                  222.26                       157.76371
                  222.52                       153.06798
                  222.78                       148.57086
                  223.04                       144.29669
                   223.3                       140.27384
                  223.56                       136.53499
                  223.82                       133.11736
                  224.08                       130.06274
                  224.34                       127.41746
                   224.6                       125.23193
                  224.86                       123.55993
                  225.12                       122.45728
                  225.38                       121.98014
                  225.64                       122.18293
                   225.9                       123.11608
                  226.16                       124.82385
                  226.42                       127.34267
                  226.68                       130.70002
                  226.94                       134.91408
                   227.2                       139.99382
                  227.46                       145.93962
                  227.72                        152.7438
                  227.98                       160.39097
                  228.24                         168.858
                   228.5                       178.11329
                  228.76                       188.11546
                  229.02                       198.81128
                  229.28                        210.1331
                  229.54                       221.99561
                   229.8                       234.29256
                  230.06                       246.89355
                  230.32                       259.64167
                  230.58                       272.35271
                  230.84                       284.81678
                   231.1                       296.80299
                  231.36                       308.06789
                  231.62                       318.36728
                  231.88                       327.47076
                  232.14                       335.17736
                   232.4                       341.33003
                  232.66                       345.82698
                  232.92                       348.62781
                  233.18                       349.75365
                  233.44                       349.28152
                   233.7                       347.33397
                  233.96                       344.06613
                  234.22                        339.6519
                  234.48                       334.27132
                  234.74                        328.1002
                     235                       321.30261
                  235.26                       314.02623
                  235.52                       306.40014
                  235.78                       298.53451
                  236.04                        290.5215
                   236.3                       282.43689
                  236.56                       274.34203
                  236.82                       266.28588
                  237.08                       258.30698
                  237.34                       250.43529
                   237.6                        242.6939
                  237.86                       235.10049
                  238.12                       227.66863
                  238.38                       220.40873
                  238.64                       213.32886
                   238.9                       206.43527
                  239.16                        199.7328
                  239.42                       193.22516
                  239.68                       186.91519
                  239.94                       180.80502
                   240.2                       174.89634
                  240.46                       169.19056
                  240.72                       163.68893
                  240.98                       158.39264
                  241.24                       153.30287
                   241.5                       148.42077
                  241.76                       143.74751
                  242.02                       139.28433
                  242.28                       135.03269
                  242.54                       130.99444
                   242.8                       127.17205
                  243.06                       123.56884
                  243.32                       120.18917
                  243.58                       117.03858
                  243.84                       114.12392
                   244.1                       111.45344
                  244.36                       109.03684
                  244.62                       106.88537
                  244.88                       105.01183
                  245.14                       103.43052
                   245.4                       102.15698
                  245.66                        101.2077
                  245.92                       100.59954
                  246.18                       100.34915
                  246.44                       100.47237
                   246.7                       100.98363
                  246.96                       101.89556
                  247.22                       103.21866
                  247.48                       104.96114
                  247.74                       107.12893
                     248                       109.72565
                  248.26                       112.75286
                  248.52                        116.2103
                  248.78                       120.09628
                  249.04                       124.40817
                   249.3                       129.14288
                  249.56                       134.29734
                  249.82                       139.86881
                  250.08                       145.85509
                  250.34                       152.25447
                   250.6                       159.06562
                  250.86                       166.28723
                  251.12                       173.91765
                  251.38                       181.95437
                  251.64                       190.39341
                   251.9                       199.22849
                  252.16                       208.45001
                  252.42                       218.04364
                  252.68                        227.9888
                  252.94                       238.25672
                   253.2                       248.80844
                  253.46                        259.5928
                  253.72                       270.54451
                  253.98                        281.5825
                  254.24                       292.60878
                   254.5                       303.50791
                  254.76                       314.14751
                  255.02                       324.38009
                  255.28                       334.04646
                  255.54                       342.98117
                   255.8                       351.01976
                  256.06                       358.00752
                  256.32                       363.80902
                  256.58                       368.31706
                  256.84                       371.46006
                   257.1                       373.20658
                  257.36                        373.5667
                  257.62                       372.58997
                  257.88                        370.3606
                  258.14                       366.99067
                   258.4                       362.61212
                  258.66                       357.36861
                  258.92                       351.40764
                  259.18                       344.87383
                  259.44                       337.90346
                   259.7                       330.62062
                  259.96                       323.13501
                  260.22                       315.54105
                  260.48                       307.91823
                  260.74                       300.33213
                     261                       292.83585
                  261.26                       285.47158
                  261.52                        278.2721
                  261.78                       271.26225
                  262.04                       264.46028
                   262.3                       257.87923
                  262.56                        251.5282
                  262.82                       245.41364
                  263.08                       239.54036
                  263.34                       233.91241
                   263.6                       228.53358
                  263.86                       223.40765
                  264.12                       218.53851
                  264.38                        213.9301
                  264.64                       209.58639
                   264.9                       205.51142
                  265.16                       201.70938
                  265.42                       198.18466
                  265.68                       194.94189
                  265.94                       191.98582
                   266.2                       189.32125
                  266.46                       186.95285
                  266.72                       184.88515
                  266.98                       183.12267
                  267.24                       181.67018
                   267.5                       180.53315
                  267.76                       179.71812
                  268.02                       179.23298
                  268.28                       179.08717
                  268.54                       179.29156
                   268.8                       179.85831
                  269.06                       180.80065
                  269.32                       182.13266
                  269.58                       183.86905
                  269.84                       186.02498
                   270.1                       188.61569
                  270.36                        191.6561
                  270.62                       195.16022
                  270.88                       199.14056
                  271.14                       203.60755
                   271.4                       208.56924
                  271.66                       214.03121
                  271.92                       219.99669
                  272.18                       226.46687
                  272.44                       233.44116
                   272.7                       240.91727
                  272.96                       248.89109
                  273.22                       257.35634
                  273.48                       266.30401
                  273.74                       275.72176
                     274                       285.59315
                  274.26                        295.8969
                  274.52                       306.60573
                  274.78                       317.68503
                  275.04                       329.09087
                   275.3                        340.7677
                  275.56                       352.64575
                  275.82                       364.63858
                  276.08                       376.64117
                  276.34                       388.52907
                   276.6                       400.15885
                  276.86                       411.37029
                  277.12                       421.99017
                  277.38                       431.83793
                  277.64                       440.73296
                   277.9                       448.50351
                  278.16                       454.99665
