        Frequency / MHz                Port 1 [1] (28)/abs,linear
                  107.86                       52.527522
                  108.12                       59.518628
                  108.38                       67.142491
                  108.64                       75.410292
                   108.9                        84.20331
                  109.16                       93.318374
                  109.42                       102.58155
                  109.68                        111.9567
                  109.94                       121.58076
                   110.2                        131.6941
                  110.46                       142.50205
                  110.72                       154.05621
                  110.98                       166.23278
                  111.24                       178.82431
                   111.5                       191.69936
                  111.76                       204.94199
                  112.02                       218.87574
                  112.28                       233.93442
                  112.54                       250.44883
                   112.8                       268.48378
                  113.06                       287.83231
                  113.32                       308.19583
                  113.58                       329.48745
                  113.84                       352.09451
                   114.1                       376.89783
                  114.36                       404.97646
                  114.62                       437.15159
                  114.88                       473.63382
                  115.14                       514.01027
                   115.4                       557.74042
                  115.66                       605.11296
                  115.92                       658.13711
                  116.18                       720.56794
                  116.44                       796.70622
                   116.7                       889.17897
                  116.96                       996.06124
                  117.22                       1108.7651
                  117.48                       1214.5233
                  117.74                       1304.3044
                     118                       1375.1213
                  118.26                       1417.2978
                  118.52                       1403.4818
                  118.78                       1311.8243
                  119.04                       1164.0506
                   119.3                       1007.5008
                  119.56                       871.88943
                  119.82                       762.13598
                  120.08                       670.53521
                  120.34                       587.11318
                   120.6                       506.03899
                  120.86                       427.54489
                  121.12                       355.30544
                  121.38                       293.34929
                  121.64                       245.78934
                   121.9                       218.57343
                  122.16                       219.74485
                  122.42                       255.29422
                  122.68                       327.40437
                  122.94                        440.0886
                   123.2                       601.28696
                  123.46                       806.71712
                  123.72                       991.03662
                  123.98                       1043.4725
                  124.24                       977.57831
                   124.5                       884.35436
                  124.76                       802.35167
                  125.02                       732.19071
                  125.28                        667.8579
                  125.54                       607.48072
                   125.8                       552.91937
                  126.06                       506.35124
                  126.32                       468.30774
                  126.58                       437.53162
                  126.84                       411.69326
                   127.1                       388.41663
                  127.36                       366.20531
                  127.62                       344.77451
                  127.88                       324.66231
                  128.14                       306.52824
                   128.4                       290.61609
                  128.66                       276.58694
                  128.92                        263.7117
                  129.18                       251.27563
                  129.44                       238.93487
                   129.7                       226.80144
                  129.96                       215.24637
                  130.22                       204.59526
                  130.48                       194.90611
                  130.74                       185.93515
                     131                       177.29155
                  131.26                        168.6736
                  131.52                       160.02685
                  131.78                       151.52995
                  132.04                       143.44138
                   132.3                       135.91801
                  132.56                       128.91402
                  132.82                       122.21583
                  133.08                       115.58594
                  133.34                       108.91546
                   133.6                       102.28273
                  133.86                       95.888466
                  134.12                       89.919538
                  134.38                       84.431005
                  134.64                       79.322831
                   134.9                       74.429471
                  135.16                       69.660827
                  135.42                       65.093942
                  135.68                       60.951889
                  135.94                       57.483835
                   136.2                       54.826591
                  136.46                       52.951064
                  136.72                       51.742895
                  136.98                       51.150586
                  137.24                       51.266461
                   137.5                       52.262834
                  137.76                       54.236964
                  138.02                       57.106035
                  138.28                       60.645024
                  138.54                       64.624192
                   138.8                       68.929647
                  139.06                       73.586525
                  139.32                       78.684513
                  139.58                       84.270732
                  139.84                        90.28942
                   140.1                       96.605008
                  140.36                       103.08354
                  140.62                       109.67276
                  140.88                       116.42735
                  141.14                       123.46347
                   141.4                       130.87485
                  141.66                        138.6693
                  141.92                       146.76835
                  142.18                       155.06858
                  142.44                       163.52279
                   142.7                       172.18567
                  142.96                       181.18975
                  143.22                       190.66398
                  143.48                       200.64906
                  143.74                       211.06838
                     144                       221.77891
                  144.26                       232.67655
                  144.52                       243.79298
                  144.78                       255.31671
                  145.04                       267.51432
                   145.3                       280.59504
                  145.56                       294.60333
                  145.82                       309.40875
                  146.08                       324.80578
                  146.34                        340.6731
                   146.6                       357.09745
                  146.86                       374.37463
                  147.12                       392.87375
                  147.38                        412.8453
                  147.64                       434.29644
                   147.9                       457.01979
                  148.16                        480.7748
                  148.42                       505.52159
                  148.68                       531.54762
                  148.94                       559.37197
                   149.2                       589.45929
                  149.46                       621.91609
                  149.72                       656.37251
                  149.98                       692.16045
                  150.24                       728.71434
                   150.5                       765.91567
                  150.76                        804.0536
                  151.02                       843.31528
                  151.28                       883.10181
                  151.54                       921.68224
                   151.8                       956.58006
                  152.06                       985.59677
                  152.32                        1007.737
