        Frequency / MHz                Port 1 [1] (28)/arg,degrees
                  105.78                      -39.949002
                  106.04                      -29.887711
                   106.3                      -17.192527
                  106.56                      -2.2876704
                  106.82                       12.810845
                  107.08                       25.785143
                  107.34                       35.822212
                   107.6                         43.4157
                  107.86                       49.337611
                  108.12                       54.118345
                  108.38                       57.997713
                  108.64                         61.0627
                   108.9                        63.39344
                  109.16                       65.132453
                  109.42                       66.472711
                  109.68                       67.600956
                  109.94                       68.636948
                   110.2                       69.603449
                  110.46                       70.446221
                  110.72                       71.092315
                  110.98                       71.509556
                  111.24                       71.733692
                   111.5                       71.852862
                  111.76                       71.960492
                  112.02                       72.102601
                  112.28                       72.251483
                  112.54                       72.324194
                   112.8                       72.234418
                  113.06                       71.945165
                  113.32                       71.492286
                  113.58                       70.964914
                  113.84                       70.449262
                   114.1                       69.965703
                  114.36                       69.440849
                  114.62                       68.736561
                  114.88                       67.719661
                  115.14                       66.333283
                   115.4                       64.629182
                  115.66                       62.728961
                  115.92                        60.71398
                  116.18                       58.502346
                  116.44                       55.798436
                   116.7                       52.156454
                  116.96                       47.146122
                  117.22                       40.579022
                  117.48                       32.653641
                  117.74                       23.763269
                     118                       14.015547
                  118.26                       3.1044392
                  118.52                      -8.9731991
                  118.78                      -21.025533
                  119.04                      -31.205146
                   119.3                      -38.595077
                  119.56                      -43.580557
                  119.82                      -47.108739
                  120.08                      -49.998803
                  120.34                      -52.541421
                   120.6                      -54.391971
                  120.86                       -54.79221
                  121.12                      -52.867305
                  121.38                      -47.679025
                  121.64                      -38.158444
                   121.9                      -23.666922
                  122.16                       -5.983705
                  122.42                       10.090639
                  122.68                       20.849335
                  122.94                       25.493147
                   123.2                       23.883113
                  123.46                       15.245766
                  123.72                     -0.29207073
                  123.98                        -18.1257
                  124.24                      -32.309512
                   124.5                      -41.899907
                  124.76                      -48.699383
                  125.02                      -54.133245
                  125.28                      -58.682562
                  125.54                      -62.290193
                   125.8                      -64.861297
                  126.06                      -66.505457
                  126.32                      -67.520631
                  126.58                      -68.263226
                  126.84                       -69.00254
                   127.1                       -69.82441
                  127.36                      -70.638739
                  127.62                      -71.284276
                  127.88                      -71.652308
                  128.14                      -71.752816
                   128.4                      -71.701236
                  128.66                      -71.646146
                  128.92                      -71.680761
                  129.18                      -71.792049
                  129.44                      -71.880142
                   129.7                      -71.830093
                  129.96                      -71.584728
                  130.22                      -71.175996
                  130.48                      -70.700947
                  130.74                      -70.257274
                     131                       -69.87803
                  131.26                      -69.509366
                  131.52                      -69.045371
                  131.78                      -68.393797
                  132.04                      -67.530201
                   132.3                      -66.508728
                  132.56                      -65.421396
                  132.82                      -64.328452
                  133.08                      -63.206062
                  133.34                      -61.948543
                   133.6                       -60.42318
                  133.86                      -58.541834
                  134.12                      -56.304923
                  134.38                      -53.785464
                  134.64                      -51.053824
                   134.9                      -48.090567
                  135.16                      -44.754141
                  135.42                      -40.834994
                  135.68                      -36.170632
                  135.94                      -30.753816
                   136.2                      -24.748969
                  136.46                      -18.379843
                  136.72                      -11.778726
                  136.98                      -4.9542663
                  137.24                       2.0794578
                   137.5                       9.1459276
                  137.76                       15.902295
                  138.02                       22.016782
                  138.28                       27.350148
                  138.54                       31.976734
                   138.8                       36.067593
                  139.06                       39.757158
                  139.32                       43.081786
                  139.58                       46.006893
                  139.84                       48.499492
                   140.1                       50.583391
                  140.36                       52.343117
                  140.62                        53.88543
                  140.88                       55.290288
                  141.14                       56.582755
                   141.4                        57.74091
                  141.66                       58.730668
                  141.92                       59.541722
                  142.18                       60.201573
                  142.44                       60.761783
                   142.7                       61.268132
                  142.96                       61.735084
                  143.22                       62.141449
                  143.48                       62.449721
                  143.74                       62.635623
                     144                       62.708395
                  144.26                       62.709251
                  144.52                       62.688849
                  144.78                       62.677282
                  145.04                       62.665472
                   145.3                       62.610291
                  145.56                       62.460219
                  145.82                       62.185211
                  146.08                       61.792789
                  146.34                       61.321179
                   146.6                       60.813507
                  146.86                       60.288627
                  147.12                       59.727059
                  147.38                       59.081189
                  147.64                       58.302807
                   147.9                       57.370224
                  148.16                        56.29782
                  148.42                       55.121332
                  148.68                       53.867246
                  148.94                       52.526173
                   149.2                       51.048853
                  149.46                       49.368534
                  149.72                       47.435697
                  149.98                       45.242459
                  150.24                       42.818918
                   150.5                       40.201017
                  150.76                       37.391191
                  151.02                        34.34241
                  151.28                       30.982071
                  151.54                       27.263738
                   151.8                       23.212083
                  152.06                       18.925353
                  152.32                       14.527819
                  152.58                       10.108082
                  152.84                       5.6958245
                   153.1                       1.2959195
                  153.36                      -3.0536558
                  153.62                      -7.2556386
                  153.88                      -11.187396
                  154.14                      -14.769372
                   154.4                      -18.012441
                  154.66                      -21.010132
                  154.92                      -23.886261
                  155.18                      -26.735034
                  155.44                      -29.589006
                   155.7                      -32.428791
                  155.96                      -35.219758
                  156.22                      -37.943877
                  156.48                      -40.603482
                  156.74                      -43.199581
                     157                      -45.707816
                  157.26                      -48.075168
                  157.52                      -50.241917
                  157.78                      -52.172373
                  158.04                      -53.872026
                   158.3                      -55.380625
                  158.56                      -56.747639
                  158.82                      -58.006478
                  159.08                      -59.162843
                  159.34                      -60.202549
                   159.6                      -61.111385
                  159.86                      -61.892582
                  160.12                      -62.570694
                  160.38                      -63.180565
                  160.64                      -63.749535
                   160.9                      -64.284781
                  161.16                      -64.773924
                  161.42                      -65.197929
                  161.68                      -65.547196
                  161.94                      -65.830198
                   162.2                       -66.06953
                  162.46                      -66.288509
                  162.72                      -66.497421
                  162.98                      -66.688553
                  163.24                      -66.843139
                   163.5                      -66.945261
                  163.76                      -66.993259
                  164.02                      -67.001255
                  164.28                      -66.990048
                  164.54                      -66.973531
                   164.8                      -66.949754
                  165.06                      -66.902641
                  165.32                      -66.813086
                  165.58                      -66.671823
                  165.84                      -66.485491
                   166.1                      -66.271918
                  166.36                      -66.047727
                  166.62                      -65.816591
                  166.88                      -65.566127
                  167.14                      -65.275618
                   167.4                      -64.929297
                  167.66                      -64.526246
                  167.92                      -64.080194
                  168.18                      -63.609183
                  168.44                      -63.121864
                   168.7                      -62.609838
                  168.96                      -62.051465
                  169.22                       -61.42473
                  169.48                      -60.720474
                  169.74                       -59.94695
                     170                      -59.122203
                  170.26                      -58.258989
                  170.52                      -57.352498
                  170.78                      -56.379669
                  171.04                       -55.31101
                   171.3                      -54.127071
                  171.56                      -52.828255
                  171.82                      -51.430624
                  172.08                      -49.949746
                  172.34                      -48.383524
                   172.6                      -46.706637
                  172.86                       -44.88148
                  173.12                      -42.878786
                  173.38                      -40.693709
                  173.64                      -38.345249
                   173.9                      -35.858083
                  174.16                      -33.239534
                  174.42                      -30.469758
                  174.68                      -27.514459
                  174.94                      -24.352545
                   175.2                      -20.998754
                  175.46                      -17.503074
                  175.72                      -13.925549
                  175.98                      -10.305593
                  176.24                      -6.6508877
                   176.5                      -2.9549893
                  176.76                      0.77132411
                  177.02                       4.4816617
                  177.28                       8.1050583
                  177.54                       11.578338
                   177.8                       14.873742
                  178.06                       18.000805
                  178.32                       20.983472
                  178.58                       23.831983
                  178.84                       26.530734
                   179.1                        29.04938
                  179.36                       31.366406
                  179.62                       33.486165
                  179.88                       35.437374
                  180.14                       37.255695
                   180.4                       38.963697
                  180.66                       40.561934
                  180.92                       42.036143
                  181.18                       43.374059
                  181.44                       44.579314
                   181.7                       45.673101
                  181.96                       46.683489
                  182.22                       47.630447
                  182.48                       48.516953
                  182.74                       49.331854
                     183                       50.061899
                  183.26                       50.704212
                  183.52                       51.270745
                  183.78                       51.782124
                  184.04                       52.255488
                   184.3                       52.694758
                  184.56                       53.090002
                  184.82                       53.426204
                  185.08                       53.695367
                  185.34                       53.903687
                   185.6                       54.069029
                  185.86                       54.210308
                  186.12                       54.335726
                  186.38                       54.437678
                  186.64                       54.497769
                   186.9                       54.498667
                  187.16                       54.435061
                  187.42                       54.316745
                  187.68                       54.161957
                  187.94                       53.985368
                   188.2                       53.788528
                  188.46                       53.559019
                  188.72                       53.278693
                  188.98                       52.935355
                  189.24                       52.530087
                   189.5                       52.075387
                  189.76                       51.585415
                  190.02                       51.064898
                  190.28                       50.504322
                  190.54                        49.88476
                   190.8                       49.189107
                  191.06                       48.412044
                  191.32                       47.561841
                  191.58                       46.652475
                  191.84                       45.691246
                   192.1                       44.670467
                  192.36                       43.569309
                  192.62                       42.364883
                  192.88                       41.045076
                  193.14                       39.614112
                   193.4                       38.086467
                  193.66                       36.472863
                  193.92                       34.768222
                  194.18                        32.95073
                  194.44                       30.993525
                   194.7                       28.881267
                  194.96                       26.619806
                  195.22                       24.231292
                  195.48                       21.737572
                  195.74                       19.144143
                     196                       16.437578
                  196.26                       13.599508
                  196.52                        10.62741
                  196.78                       7.5463162
                  197.04                       4.4014984
                   197.3                       1.2367871
                  197.56                      -1.9247686
                  197.82                      -5.0826621
                  198.08                       -8.242157
                  198.34                      -11.392961
                   198.6                      -14.500892
                  198.86                      -17.519595
                  199.12                      -20.413081
                  199.38                      -23.171316
                  199.64                      -25.807429
                   199.9                      -28.339881
                  200.16                      -30.773834
                  200.42                      -33.095379
                  200.68                       -35.28185
                  200.94                      -37.319268
                   201.2                      -39.213374
                  201.46                      -40.986601
                  201.72                      -42.664075
                  201.98                      -44.259116
                  202.24                      -45.768285
                   202.5                      -47.178699
                  202.76                      -48.481558
                  203.02                      -49.681872
                  203.28                       -50.79788
                  203.54                      -51.851225
                   203.8                       -52.85517
                  204.06                      -53.809056
                  204.32                      -54.702484
                  204.58                      -55.525846
                  204.84                       -56.27956
                   205.1                      -56.975766
                  205.36                      -57.631722
                  205.62                        -58.2598
                  205.88                      -58.861082
                  206.14                      -59.426827
                   206.4                       -59.94654
                  206.66                      -60.416795
                  206.92                       -60.84475
                  207.18                       -61.24415
                  207.44                      -61.626817
                   207.7                      -61.995581
                  207.96                       -62.34352
                  208.22                      -62.659874
                  208.48                      -62.938352
                  208.74                      -63.182023
                     209                      -63.401513
                  209.26                      -63.607871
                  209.52                      -63.805103
                  209.78                      -63.987549
                  210.04                      -64.143813
                   210.3                      -64.264364
                  210.56                      -64.347383
                  210.82                      -64.398819
                  211.08                      -64.426667
                  211.34                      -64.433625
                   211.6                      -64.413469
                  211.86                      -64.354067
                  212.12                      -64.245297
                  212.38                      -64.086713
                  212.64                      -63.889855
                   212.9                      -63.673492
                  213.16                      -63.454702
                  213.42                      -63.241461
                  213.68                      -63.031376
                  213.94                      -62.816936
                   214.2                      -62.593119
                  214.46                      -62.361761
                  214.72                      -62.129631
                  214.98                      -61.901868
                  215.24                       -61.67589
                   215.5                       -61.44065
                  215.76                      -61.182149
                  216.02                      -60.891485
                  216.28                      -60.569672
                  216.54                      -60.225637
                   216.8                      -59.868556
                  217.06                      -59.499913
                  217.32                      -59.111063
