        Frequency / MHz                Port 1 [1] (Mesh Pass=2)/arg,degrees
                  104.22                       46.318344
                  104.48                       42.409899
                  104.74                       37.658047
                     105                       31.762446
                  105.26                        24.55576
                  105.52                        16.21567
                  105.78                        7.300242
                  106.04                      -1.5307093
                   106.3                      -9.8645343
                  106.56                      -17.581831
                  106.82                      -24.634935
                  107.08                      -30.878147
                  107.34                      -36.115869
                   107.6                      -40.260271
                  107.86                       -43.41484
                  108.12                      -45.828956
                  108.38                      -47.781424
                  108.64                      -49.465142
                   108.9                      -50.927783
                  109.16                      -52.097177
                  109.42                      -52.870989
                  109.68                        -53.2094
                  109.94                      -53.176336
                   110.2                      -52.912719
                  110.46                      -52.559762
                  110.72                      -52.175879
                  110.98                      -51.701365
                  111.24                      -50.998866
                   111.5                      -49.944811
                  111.76                      -48.513389
                  112.02                      -46.801933
                  112.28                      -44.977626
                  112.54                      -43.170107
                   112.8                      -41.380629
                  113.06                      -39.480918
                  113.32                        -37.3125
                  113.58                      -34.822248
                  113.84                      -32.141168
                   114.1                      -29.540667
                  114.36                      -27.278994
                  114.62                      -25.445794
                  114.88                      -23.930244
                  115.14                      -22.541189
                   115.4                      -21.188673
                  115.66                       -19.99251
                  115.92                      -19.232682
                  116.18                      -19.167154
                  116.44                      -19.846093
                   116.7                      -21.062255
                  116.96                      -22.480558
                  117.22                      -23.857663
                  117.48                      -25.193133
                  117.74                       -26.70127
                     118                      -28.616888
                  118.26                      -30.969115
                  118.52                      -33.497538
                  118.78                      -35.786894
                  119.04                      -37.518148
                   119.3                       -38.65095
                  119.56                      -39.425411
                  119.82                      -40.181713
                  120.08                      -41.093434
                  120.34                      -41.992198
                   120.6                      -42.418201
                  120.86                      -41.852371
                  121.12                      -39.976123
                  121.38                      -36.839424
                  121.64                      -32.816582
                   121.9                      -28.210417
                  122.16                      -22.635129
                  122.42                      -14.685878
                  122.68                      -2.5687854
                  122.94                       13.404014
                   123.2                       28.702561
                  123.46                       38.881953
                  123.72                       43.110606
                  123.98                       41.621721
                  124.24                       33.228861
                   124.5                       14.654826
                  124.76                      -13.329465
                  125.02                      -37.069442
                  125.28                      -49.970836
                  125.54                      -55.516499
                   125.8                       -56.80542
                  126.06                      -55.533622
                  126.32                      -52.835349
                  126.58                      -49.570067
                  126.84                      -46.140219
                   127.1                      -42.322058
                  127.36                      -37.447328
                  127.62                      -30.865708
                  127.88                      -22.500669
                  128.14                      -13.182001
                   128.4                      -4.2061183
                  128.66                       3.6358181
                  128.92                       10.404589
                  129.18                       16.532634
                  129.44                       22.256532
                   129.7                       27.439493
                  129.96                       31.780565
                  130.22                       35.114394
                  130.48                       37.533067
                  130.74                        39.30822
                     131                        40.72716
                  131.26                       41.947516
                  131.52                       42.941827
                  131.78                       43.553316
                  132.04                       43.614548
                   132.3                        43.05125
                  132.56                       41.921851
                  132.82                       40.380911
                  133.08                       38.582114
                  133.34                       36.570746
                   133.6                       34.236092
                  133.86                       31.361463
                  134.12                       27.746326
                  134.38                       23.333843
                  134.64                       18.264759
                   134.9                       12.800184
                  135.16                       7.1509535
                  135.42                       1.3616761
                  135.68                      -4.6337356
                  135.94                      -10.832385
                   136.2                      -17.029869
                  136.46                      -22.875545
                  136.72                      -28.073925
                  136.98                       -32.54014
                  137.24                      -36.389215
                   137.5                      -39.807735
                  137.76                      -42.921339
                  138.02                      -45.738594
                  138.28                      -48.188209
                  138.54                      -50.204479
                   138.8                       -51.79309
                  139.06                      -53.038942
                  139.32                      -54.062421
                  139.58                      -54.957096
                  139.84                      -55.747191
                   140.1                      -56.389597
