        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.068379171                               0
              0.13675834                               0
              0.20513752                               0
              0.27351668                               0
              0.34189588                               0
              0.41027504                               0
              0.47865421                               0
              0.54703337                               0
              0.61541253                               0
              0.68379176                               0
              0.75217092                               0
              0.82055008                               0
              0.88892925                               0
              0.95730841                               0
               1.0256876                               0
               1.0940667                               0
               1.1624459                               0
               1.2308251                               0
               1.2992042                               0
               1.3675835                               0
               1.4359627                               0
               1.5043418                               0
                1.572721                               0
               1.6411002                               0
               1.7094793                               0
               1.7778585                               0
               1.8462377                               0
               1.9146168                               0
                1.982996                               0
               2.0513752                               0
               2.1197543                               0
               2.1881335                               0
               2.2565126                               0
               2.3248918                               0
                2.393271                               0
               2.4616501                               0
               2.5300293                               0
               2.5984085                               0
               2.6667876                               0
                2.735167                               0
               2.8035462                               0
               2.8719254                               0
               2.9403045                               0
               3.0086837                               0
               3.0770628                               0
                3.145442                               0
               3.2138212                               0
               3.2822003                               0
               3.3505795                               0
               3.4189587                               0
               3.4873378                               0
                3.555717                               0
               3.6240962                               0
               3.6924753                               0
               3.7608545                               0
               3.8292336                               0
               3.8976128                               0
                3.965992                               0
               4.0343714                               0
               4.1027503                               0
               4.1711297                               0
               4.2395086                               0
                4.307888                               0
                4.376267                               0
               4.4446464                               0
               4.5130253                               0
               4.5814047                               0
               4.6497836                               0
                4.718163                               0
               4.7865419                   2.0632835e-38
               4.8549213                   8.0731876e-37
               4.9233003                   1.9915605e-35
               4.9916797                   2.9346065e-34
               5.0600586                   3.0757915e-33
                5.128438                   2.8092434e-32
               5.1968169                   2.3892506e-31
               5.2651963                   1.9208994e-30
               5.3335752                    1.463951e-29
               5.4019547                   1.0586183e-28
               5.4703341                   7.2686585e-28
                5.538713                   4.7420305e-27
               5.6070924                   2.9413736e-26
               5.6754713                   1.7357754e-25
               5.7438507                   9.7515031e-25
               5.8122296                    5.218731e-24
                5.880609                   2.6622879e-23
                5.948988                   1.2954665e-22
               6.0173674                   6.0168352e-22
               6.0857463                   2.6691464e-21
               6.1541257                   1.1317077e-20
               6.2225046                   4.5893499e-20
                6.290884                   1.7812342e-19
               6.3592629                   6.6212872e-19
               6.4276423                   2.3589255e-18
               6.4960213                   8.0599354e-18
               6.5644007                    2.642943e-17
               6.6327796                   8.3228445e-17
                6.701159                   2.5186453e-16
               6.7695379                   7.3290945e-16
               6.8379173                   2.0520673e-15
               6.9062963                   5.5316215e-15
               6.9746757                   1.4364337e-14
               7.0430546                   3.5952917e-14
                7.111434                   8.6782191e-14
               7.1798129                   2.0211431e-13
               7.2481923                   4.5440539e-13
               7.3165717                   9.8666225e-13
               7.3849506                   2.0699401e-12
                 7.45333                    4.197438e-12
                7.521709                   8.2301509e-12
               7.5900884                   1.5608978e-11
               7.6584673                   2.8642859e-11
               7.7268467                   5.0868795e-11
               7.7952256                   8.7454557e-11
                7.863605                   1.4557844e-10
               7.9319839                   2.3467511e-10
               8.0003633                    3.663933e-10
               8.0687428                   5.5408433e-10
               8.1371212                   8.1165263e-10
               8.2055006                   1.1516682e-09
                 8.27388                   1.5827765e-09
               8.3422594                   2.1066329e-09
               8.4106379                   2.7148075e-09
               8.4790173                   3.3862719e-09
               8.5473967                   4.0861505e-09
               8.6157761                   4.7662998e-09
               8.6841545                   5.3679723e-09
               8.7525339                   5.8263585e-09
               8.8209133                   6.0762981e-09
               8.8892927                   6.0580492e-09
               8.9576712                   5.7218918e-09
               9.0260506                   5.0305644e-09
                 9.09443                   3.9590931e-09
               9.1628094                    2.492307e-09
               9.2311888                    6.210028e-10
               9.2995672                  -1.6619819e-09
               9.3679466                  -4.3646033e-09
                9.436326                   -7.496797e-09
               9.5047054                  -1.1070197e-08
               9.5730839                  -1.5097271e-08
               9.6414633                  -1.9590926e-08
               9.7098427                   -2.456537e-08
               9.7782221                  -3.0038155e-08
               9.8466005                  -3.6032503e-08
               9.9149799                  -4.2578414e-08
               9.9833593                  -4.9711229e-08
               10.051739                  -5.7467009e-08
               10.120117                  -6.5875369e-08
               10.188497                  -7.4951323e-08
               10.256876                  -8.4688153e-08
               10.325255                  -9.5052705e-08
               10.393634                   -1.059834e-07
               10.462013                  -1.1738973e-07
               10.530393                  -1.2915112e-07
               10.598772                  -1.4111329e-07
                10.66715                  -1.5308115e-07
