        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
                  107.86                       494.73431
                  108.12                       482.87694
                  108.38                       468.88818
                  108.64                       455.38841
                   108.9                       441.93681
                  109.16                         426.519
                  109.42                       407.96602
                  109.68                       387.37371
                  109.94                       367.38387
                   110.2                       350.37166
                  110.46                       337.23297
                  110.72                       327.26911
                  110.98                       318.88208
                  111.24                       310.70026
                   111.5                       302.53535
                  111.76                       295.49296
                  112.02                       291.20588
                  112.28                       290.84865
                  112.54                       294.51283
                   112.8                       301.14079
                  113.06                       309.08231
                  113.32                       317.16462
                  113.58                       325.65084
                  113.84                       336.24882
                   114.1                       351.07572
                  114.36                       371.26788
                  114.62                       395.88607
                  114.88                       421.69853
                  115.14                       444.72153
                   115.4                       463.30649
                  115.66                       479.80909
                  115.92                       498.44647
                  116.18                         521.106
                  116.44                       544.06227
                   116.7                         558.343
                  116.96                       556.54018
                  117.22                       540.75896
                  117.48                       520.32225
                  117.74                       502.77879
                     118                       489.11832
                  118.26                       474.58908
                  118.52                       453.34837
                  118.78                       424.34243
                  119.04                       392.31004
                   119.3                       363.09657
                  119.56                       339.65421
                  119.82                       321.30442
                  120.08                       304.77478
                  120.34                       286.38794
                   120.6                       264.73578
                  120.86                       241.45461
                  121.12                        219.3548
                  121.38                       200.31561
                  121.64                       184.45528
                   121.9                       170.20273
                  122.16                        155.1035
                  122.42                       137.41096
                  122.68                       117.30008
                  122.94                       96.492602
                   123.2                       77.363302
                  123.46                       63.301902
                  123.72                       59.928905
                  123.98                       72.295555
                  124.24                       100.63461
                   124.5                       146.14448
                  124.76                       217.88646
                  125.02                       342.49043
                  125.28                        596.8963
                  125.54                        1088.636
                   125.8                       992.38811
                  126.06                       655.26925
                  126.32                       490.57566
                  126.58                       400.84433
                  126.84                       340.59918
                   127.1                       293.16814
                  127.36                       253.65098
                  127.62                       221.16064
                  127.88                        195.3155
                  128.14                       175.31958
                   128.4                       159.99258
                  128.66                       147.97665
                  128.92                       138.01874
                  129.18                       129.27711
                  129.44                       121.45905
                   129.7                       114.66841
                  129.96                       109.07726
                  130.22                       104.65017
                  130.48                       101.09461
                  130.74                        98.07372
                     131                       95.536865
                  131.26                       93.909236
                  131.52                       93.973994
                  131.78                       96.506585
                  132.04                       101.88363
                   132.3                       109.89161
                  132.56                       119.81528
                  132.82                       130.73931
                  133.08                       141.95258
                  133.34                       153.28286
                   133.6                       165.12738
                  133.86                       178.10252
                  134.12                       192.52511
                  134.38                       208.03848
                  134.64                        223.6201
                   134.9                        238.0828
                  135.16                       250.85371
                  135.42                       262.37707
                  135.68                       273.65904
                  135.94                       285.29017
                   136.2                       296.71816
                  136.46                       306.33305
                  136.72                       312.47597
                  136.98                       314.71126
                  137.24                       314.14371
                   137.5                       312.42711
                  137.76                       310.48379
                  138.02                       307.98805
                  138.28                       303.84597
                  138.54                       297.25017
                   138.8                        288.4696
                  139.06                       278.71012
                  139.32                       269.27737
                  139.58                       260.83226
                  139.84                       253.21016
                   140.1                       245.77175
                  140.36                       237.99357
                  140.62                       229.90334
                  140.88                        222.0766
                  141.14                       215.26183
                   141.4                       209.95942
                  141.66                        206.2215
                  141.92                       203.73911
                  142.18                       202.13245
                  142.44                        201.2659
                   142.7                       201.39036
                  142.96                       203.02761
                  143.22                       206.69207
                  143.48                       212.63552
                  143.74                       220.75476
                     144                       230.70342
                  144.26                       242.15638
                  144.52                       255.09051
                  144.78                       269.90635
                  145.04                       287.29507
                   145.3                       307.91874
                  145.56                       332.08017
                  145.82                        359.5626
                  146.08                       389.77968
                  146.34                       422.26278
                   146.6                       457.23708
                  146.86                       495.78551
                  147.12                        539.2504
                  147.38                       588.00711
                  147.64                       640.18504
                   147.9                       691.33343
                  148.16                       736.07403
                  148.42                       771.02936
                  148.68                        795.8729
                  148.94                       810.96046
                   149.2                       814.56174
                  149.46                       803.53839
                  149.72                       777.25938
                  149.98                       739.98361
                  150.24                        698.4969
                   150.5                       658.04785
                  150.76                       620.59195
                  151.02                       585.60971
                  151.28                       551.90535
                  151.54                       519.02134
                   151.8                       487.55182
                  152.06                       458.51207
                  152.32                       432.53881
                  152.58                       409.52317
                  152.84                       388.75937
                   153.1                       369.39281
                  153.36                       350.86836
                  153.62                        333.1164
                  153.88                        316.4045
                  154.14                       301.02001
                   154.4                       287.02057
                  154.66                       274.17971
                  154.92                       262.11519
                  155.18                       250.49699
                  155.44                       239.19953
                   155.7                       228.30886
                  155.96                       218.00226
                  156.22                       208.39796
                  156.48                       199.46941
                  156.74                       191.06147
                     157                        182.9844
                  157.26                       175.12166
                  157.52                       167.48335
                  157.78                       160.17813
                  158.04                       153.33216
                   158.3                       147.01117
                  158.56                       141.19029
                  158.82                       135.78411
                  159.08                       130.71519
                  159.34                       125.97743
                   159.6                       121.65485
                  159.86                       117.88656
                  160.12                       114.80196
                  160.38                         112.466
                  160.64                       110.86648
                   160.9                       109.95064
                  161.16                       109.68767
                  161.42                       110.11408
                  161.68                       111.32846
                  161.94                       113.43588
                   162.2                       116.47731
                  162.46                        120.3906
                  162.72                       125.03131
                  162.98                       130.24366
                  163.24                       135.93681
                   163.5                        142.1123
                  163.76                       148.81762
                  164.02                       156.05129
                  164.28                       163.68042
                  164.54                       171.42982
                   164.8                       178.96062
                  165.06                       185.99271
                  165.32                       192.37968
                  165.58                       198.06688
                  165.84                       202.95608
                   166.1                       206.78633
                  166.36                       209.14454
                  166.62                       209.62764
                  166.88                       208.04778
                  167.14                       204.51656
                   167.4                        199.3439
                  167.66                       192.85236
                  167.92                       185.26442
                  168.18                       176.73147
                  168.44                       167.44819
                   168.7                       157.73985
                  168.96                       148.05339
                  169.22                       138.87036
                  169.48                       130.60831
                  169.74                       123.56125
                     170                       117.88892
                  170.26                       113.63956
                  170.52                       110.78351
                  170.78                       109.23783
                  171.04                       108.87074
                   171.3                       109.48979
                  171.56                       110.83254
                  171.82                       112.58282
                  172.08                       114.42306
                  172.34                       116.10734
                   172.6                        117.5179
                  172.86                       118.66915
                  173.12                       119.65498
                  173.38                       120.57347
                  173.64                       121.47741
                   173.9                       122.37849
                  174.16                       123.29492
                  174.42                        124.3028
                  174.68                        125.5504
                  174.94                       127.22215
                   175.2                       129.47641
                  175.46                       132.39789
                  175.72                       135.99448
                  175.98                       140.23867
                  176.24                       145.12632
                   176.5                       150.71547
                  176.76                       157.12063
                  177.02                       164.46716
                  177.28                       172.83574
                  177.54                        182.2331
                   177.8                       192.60961
                  178.06                       203.91845
                  178.32                         216.186
                  178.58                       229.55094
                  178.84                       244.24275
                   179.1                        260.5065
                  179.36                        278.5171
                  179.62                       298.33885
                  179.88                        319.9694
                  180.14                       343.46379
                   180.4                       369.07548
                  180.66                       397.31432
                  180.92                       428.85121
                  181.18                       464.29031
                  181.44                       503.92114
                   181.7                       547.60581
                  181.96                       594.91823
                  182.22                       645.47749
                  182.48                       699.13426
                  182.74                       755.54146
                     183                       812.96525
                  183.26                       866.96135
                  183.52                       910.40018
                  183.78                       936.12571
                  184.04                       940.85868
                   184.3                       926.43159
                  184.56                       897.25325
                  184.82                       857.44198
                  185.08                       810.25829
                  185.34                       758.92906
                   185.6                       706.93173
                  185.86                       657.30062
                  186.12                       611.83858
                  186.38                       570.95625
                  186.64                       534.11392
                   186.9                       500.48157
                  187.16                       469.45591
                  187.42                       440.83704
                  187.68                       414.68649
                  187.94                       391.05944
                   188.2                       369.81614
                  188.46                       350.60421
                  188.72                       332.98228
                  188.98                       316.58796
                  189.24                       301.24493
                   189.5                       286.95339
                  189.76                       273.78771
                  190.02                       261.77806
                  190.28                       250.84675
                  190.54                       240.82586
                   190.8                         231.534
                  191.06                       222.86012
                  191.32                       214.80209
                  191.58                       207.43998
                  191.84                       200.86671
                   192.1                       195.12158
                  192.36                       190.16532
                  192.62                       185.90794
                  192.88                       182.26983
                  193.14                       179.23647
                   193.4                       176.87095
                  193.66                       175.27628
                  193.92                       174.53157
                  194.18                       174.64212
                  194.44                       175.53467
                   194.7                        177.1016
                  194.96                       179.26665
                  195.22                       182.02814
                  195.48                       185.44803
                  195.74                       189.59132
                     196                       194.45457
                  196.26                       199.93204
                  196.52                       205.84587
                  196.78                       212.02609
                  197.04                       218.38789
                   197.3                       224.94782
                  197.56                       231.76012
                  197.82                        238.8127
                  198.08                       245.95675
                  198.34                       252.92673
                   198.6                       259.44874
                  198.86                       265.36514
                  199.12                       270.67921
                  199.38                       275.47769
                  199.64                       279.78749
                   199.9                       283.47841
                  200.16                       286.29356
                  200.42                        287.9942
                  200.68                        288.5118
                  200.94                       287.98453
                   201.2                       286.64796
                  201.46                       284.66893
                  201.72                        282.0509
                  201.98                       278.67602
                  202.24                       274.44434
                   202.5                       269.39828
                  202.76                       263.73615
                  203.02                       257.71078
                  203.28                       251.49775
                  203.54                       245.12876
                   203.8                         238.528
                  204.06                       231.61518
                  204.32                       224.39696
                  204.58                       216.98368
                  204.84                       209.52825
                   205.1                       202.13981
                  205.36                       194.83385
                  205.62                       187.54696
                  205.88                       180.19913
                  206.14                       172.75768
                   206.4                       165.26052
                  206.66                       157.78886
                  206.92                       150.41483
                  207.18                       143.16215
                  207.44                       136.00337
                   207.7                       128.89135
                  207.96                       121.80191
                  208.22                       114.76022
                  208.48                       107.83789
                  208.74                       101.12831
                     209                       94.720494
                  209.26                        88.68978
                  209.52                       83.111405
                  209.78                       78.089167
                  210.04                       73.781857
                   210.3                       70.408777
                  210.56                       68.222743
                  210.82                       67.453374
                  211.08                       68.242936
                  211.34                       70.609754
                   211.6                       74.461481
                  211.86                       79.645835
                  212.12                       86.003569
                  212.38                       93.396308
                  212.64                       101.70485
                   212.9                       110.81053
                  213.16                       120.57791
                  213.42                       130.85317
                  213.68                       141.48293
                  213.94                       152.34353
                   214.2                       163.35914
                  214.46                       174.48793
                  214.72                       185.67569
                  214.98                       196.80362
                  215.24                        207.6717
                   215.5                       218.04355
                  215.76                       227.73597
                  216.02                       236.69236
                  216.28                       244.97731
                  216.54                       252.68667
                   216.8                       259.83904
                  217.06                       266.33624
                  217.32                       272.03215
                  217.58                       276.86432
                  217.84                       280.94434
                   218.1                       284.52582
                  218.36                       287.86541
                  218.62                       291.07811
                  218.88                        294.0913
                  219.14                       296.73074
                   219.4                       298.87781
                  219.66                       300.58176
                  219.92                       302.03869
                  220.18                       303.45148
                  220.44                       304.87616
                   220.7                       306.16824
                  220.96                       307.07117
                  221.22                        307.3891
                  221.48                       307.12019
                  221.74                       306.44928
                     222                         305.606
                  222.26                       304.69796
                  222.52                       303.64122
                  222.78                       302.23579
                  223.04                       300.33075
                   223.3                       297.95761
                  223.56                       295.33153
                  223.82                       292.72205
                  224.08                       290.29231
                  224.34                       288.02083
                   224.6                       285.75461
                  224.86                       283.35231
                  225.12                       280.81529
                  225.38                       278.31299
                  225.64                       276.08744
                   225.9                       274.30996
                  226.16                       272.99042
                  226.42                        271.9973
                  226.68                       271.17207
                  226.94                       270.46001
                   227.2                       269.96646
                  227.46                        269.8998
                  227.72                       270.44335
                  227.98                       271.64566
                  228.24                       273.40183
                   228.5                       275.53831
                  228.76                       277.94689
                  229.02                        280.6775
                  229.28                       283.92352
                  229.54                       287.90823
                   229.8                       292.75027
                  230.06                        298.3989
                  230.32                       304.68481
                  230.58                       311.46008
                  230.84                       318.73878
                   231.1                        326.7395
                  231.36                       335.79408
                  231.62                       346.18112
                  231.88                       357.99578
                  232.14                       371.14678
                   232.4                       385.49773
                  232.66                        401.0769
                  232.92                       418.21627
                  233.18                       437.50795
                  233.44                       459.58253
                   233.7                       484.83168
                  233.96                         513.236
                  234.22                       544.41436
                  234.48                       577.89014
                  234.74                       613.38453
                     235                       650.81427
                  235.26                       689.78197
                  235.52                       728.72896
                  235.78                        764.3791
                  236.04                       792.30654
                   236.3                       808.82726
                  236.56                       812.88773
                  236.82                       806.10807
                  237.08                       791.06571
                  237.34                       769.74273
                   237.6                       743.38449
                  237.86                       713.29091
                  238.12                       681.34903
                  238.38                       649.72521
                  238.64                       620.11319
                   238.9                       593.22937
                  239.16                       568.85648
                  239.42                        546.3085
                  239.68                       524.99891
                  239.94                       504.78712
                   240.2                       485.94032
                  240.46                       468.81566
                  240.72                       453.52897
                  240.98                       439.82388
                  241.24                       427.19293
                   241.5                       415.15227
                  241.76                       403.48514
                  242.02                       392.29374
                  242.28                       381.83962
                  242.54                       372.30223
                   242.8                       363.62159
                  243.06                        355.5148
                  243.32                       347.64267
                  243.58                       339.80992
                  243.84                       332.06055
                   244.1                        324.6074
                  244.36                       317.65699
                  244.62                       311.25619
                  244.88                       305.25763
                  245.14                       299.41793
                   245.4                       293.55857
                  245.66                       287.67742
                  245.92                       281.93512
                  246.18                       276.53323
                  246.44                       271.57472
                   246.7                       266.99928
                  246.96                       262.63047
                  247.22                       258.29983
                  247.48                       253.96239
                  247.74                       249.72357
                     248                       245.76238
                  248.26                       242.20903
                  248.52                        239.0605
                  248.78                       236.18695
                  249.04                       233.42288
                   249.3                       230.68115
                  249.56                       228.01054
                  249.82                       225.55724
                  250.08                       223.45958
                  250.34                       221.74962
                   250.6                       220.32636
                  250.86                       219.01846
                  251.12                       217.69515
                  251.38                       216.34848
                  251.64                       215.08746
                   251.9                       214.04908
                  252.16                       213.28972
                  252.42                       212.73173
                  252.68                        212.2024
                  252.94                       211.54088
                   253.2                       210.69911
                  253.46                       209.76294
                  253.72                       208.87823
                  253.98                       208.13661
                  254.24                       207.50165
                   254.5                       206.82678
                  254.76                       205.95386
                  255.02                       204.82364
                  255.28                       203.51746
                  255.54                       202.19991
                   255.8                       201.00602
                  256.06                        199.9537
                  256.32                       198.94034
                  256.58                       197.82553
                  256.84                       196.54188
                   257.1                       195.15372
                  257.36                        193.8206
                  257.62                       192.69306
                  257.88                       191.81391
                  258.14                       191.09063
                   258.4                       190.35624
                  258.66                       189.47665
                  258.92                       188.42731
                  259.18                       187.28169
                  259.44                       186.12045
                   259.7                       184.92853
                  259.96                       183.55552
                  260.22                       181.77155
                  260.48                       179.38438
                  260.74                       176.33551
                     261                       172.70697
                  261.26                       168.64154
                  261.52                        164.2441
                  261.78                       159.53666
                  262.04                       154.49174
                   262.3                       149.11038
                  262.56                       143.48196
                  262.82                       137.78196
                  263.08                       132.21316
                  263.34                       126.93275
                   263.6                       122.00948
                  263.86                       117.43145
                  264.12                       113.15482
                  264.38                       109.16189
                  264.64                       105.49201
                   264.9                       102.22734
                  265.16                       99.444864
                  265.42                       97.166701
                  265.68                       95.341547
                  265.94                       93.871132
                   266.2                       92.666486
                  266.46                       91.696675
                  266.72                       90.995706
                  266.98                       90.622286
                  267.24                       90.600634
                   267.5                       90.884282
                  267.76                       91.369775
                  268.02                       91.953193
                  268.28                       92.590945
                  268.54                       93.320798
                   268.8                       94.226645
                  269.06                       95.371485
                  269.32                       96.746005
                  269.58                       98.269444
                  269.84                       99.843701
                   270.1                       101.42398
                  270.36                        103.0551
                  270.62                       104.84515
                  270.88                        106.8936
                  271.14                       109.22408
                   271.4                       111.76882
                  271.66                       114.41698
                  271.92                       117.09585
                  272.18                       119.82865
                  272.44                       122.72546
                   272.7                        125.9104
                  272.96                       129.43499
                  273.22                       133.23773
                  273.48                       137.17943
                  273.74                       141.13525
                     274                       145.08298
                  274.26                       149.12311
                  274.52                       153.41042
