        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/arg,degrees
                  104.22                       47.475978
                  104.48                       46.904023
                  104.74                       46.120803
                     105                       44.989356
                  105.26                       43.304857
                  105.52                       40.923767
                  105.78                       37.881032
                  106.04                       34.402328
                   106.3                       30.756214
                  106.56                       27.037728
                  106.82                       23.083509
                  107.08                       18.621209
                  107.34                       13.564651
                   107.6                       8.2248588
                  107.86                       3.1901975
                  108.12                      -1.0804438
                  108.38                      -4.5468983
                  108.64                      -7.5058416
                   108.9                      -10.281067
                  109.16                      -12.945961
                  109.42                      -15.264982
                  109.68                      -16.890069
                  109.94                      -17.636222
                   110.2                      -17.607872
                  110.46                      -17.119098
                  110.72                        -16.4988
                  110.98                      -15.900441
                  111.24                      -15.225614
                   111.5                      -14.220215
                  111.76                      -12.683305
                  112.02                      -10.637555
                  112.28                      -8.3500517
                  112.54                      -6.2023828
                   112.8                      -4.4884834
                  113.06                      -3.2552084
                  113.32                      -2.2953944
                  113.58                      -1.3237635
                  113.84                      -0.2245583
                   114.1                      0.81129313
                  114.36                       1.3538016
                  114.62                      0.96544574
                  114.88                      -0.5177878
                  115.14                      -2.8255242
                   115.4                      -5.4054468
                  115.66                      -7.8627512
                  115.92                      -10.312194
                  116.18                      -13.324732
                  116.44                       -17.49358
                   116.7                      -22.849747
                  116.96                      -28.601647
                  117.22                      -33.683715
                  117.48                      -37.637741
                  117.74                      -40.845283
                     118                      -44.077082
                  118.26                      -47.851487
                  118.52                      -51.983729
                  118.78                      -55.712411
                  119.04                      -58.364535
                   119.3                      -59.860479
                  119.56                      -60.677899
                  119.82                      -61.509609
                  120.08                      -62.843237
                  120.34                      -64.625158
                   120.6                      -66.286651
                  120.86                      -67.186286
                  121.12                      -67.051426
                  121.38                      -66.090958
                  121.64                      -64.846847
                   121.9                      -63.879016
                  122.16                      -63.329382
                  122.42                      -62.626222
                  122.68                      -60.597907
                  122.94                      -55.705859
                   123.2                      -45.847771
                  123.46                      -28.101141
                  123.72                      -1.9597704
                  123.98                        23.88352
                  124.24                       41.587461
                   124.5                       52.095573
                  124.76                       57.670821
                  125.02                       58.577115
                  125.28                       51.067276
                  125.54                       19.255783
                   125.8                      -31.277515
                  126.06                      -51.218993
                  126.32                      -57.890942
                  126.58                      -61.247126
                  126.84                      -63.690467
                   127.1                      -65.419588
                  127.36                      -66.089671
                  127.62                       -65.51072
                  127.88                      -63.789404
                  128.14                      -61.234615
                   128.4                      -58.226403
                  128.66                      -55.078767
                  128.92                      -51.921135
                  129.18                      -48.674679
                  129.44                      -45.156918
                   129.7                      -41.240678
                  129.96                      -36.950561
                  130.22                      -32.426789
                  130.48                      -27.776692
                  130.74                      -22.930259
                     131                      -17.639357
                  131.26                      -11.660302
                  131.52                      -5.0140439
                  131.78                       1.8728747
                  132.04                       8.3051368
                   132.3                       13.662893
                  132.56                       17.675669
                  132.82                       20.458187
                  133.08                       22.363677
                  133.34                       23.767936
                   133.6                       24.880857
                  133.86                       25.674506
                  134.12                       25.959793
                  134.38                       25.553077
                  134.64                        24.43122
                   134.9                       22.785588
                  135.16                       20.927285
                  135.42                       19.090319
                  135.68                       17.281699
                  135.94                       15.302297
                   136.2                       12.921486
                  136.46                       10.081403
                  136.72                       6.9852857
                  136.98                       3.9853924
                  137.24                       1.3456782
                   137.5                     -0.91723045
                  137.76                      -2.9911072
                  138.02                      -5.0821982
                  138.28                      -7.2342292
                  138.54                      -9.2800745
                   138.8                      -10.958552
                  139.06                      -12.097056
                  139.32                      -12.712182
                  139.58                      -12.968478
                  139.84                      -13.046923
                   140.1                       -13.01827
                  140.36                      -12.800916
                  140.62                      -12.226378
                  140.88                       -11.16062
                  141.14                      -9.5932891
