        Frequency / MHz                Port 1 [1] (12)/abs,linear
                  108.12                       124.05543
                  108.38                       147.36046
                  108.64                       169.80287
                   108.9                       190.34604
                  109.16                       209.63288
                  109.42                       229.55591
                  109.68                       251.89147
                  109.94                       277.16858
                   110.2                       304.31647
                  110.46                       331.23303
                  110.72                       356.29919
                  110.98                       379.87452
                  111.24                       404.19208
                   111.5                       431.64438
                  111.76                       462.97904
                  112.02                       496.52394
                  112.28                       528.94251
                  112.54                       557.48708
                   112.8                       582.08655
                  113.06                       604.95891
                  113.32                       628.03593
                  113.58                       650.70963
                  113.84                       669.70974
                   114.1                       681.29686
                  114.36                       684.06742
                  114.62                       679.61249
                  114.88                       670.56146
                  115.14                       658.47323
                   115.4                       643.47346
                  115.66                        625.2748
                  115.92                       604.16369
                  116.18                       581.05313
                  116.44                       556.88743
                   116.7                       532.23513
                  116.96                       507.42543
                  117.22                       482.89186
                  117.48                       459.23879
                  117.74                       436.93723
                     118                        415.9734
                  118.26                       395.81725
                  118.52                       375.80353
                  118.78                       355.66174
                  119.04                       335.75314
                   119.3                       316.79896
                  119.56                       299.32992
                  119.82                       283.27348
                  120.08                       267.94235
                  120.34                       252.44627
                   120.6                       236.28476
                  120.86                       219.67511
                  121.12                       203.34125
                  121.38                       187.96185
                  121.64                       173.69444
                   121.9                       160.04378
                  122.16                       146.16412
                  122.42                       131.50102
                  122.68                       116.40455
                  122.94                       102.35076
                   123.2                       91.843357
                  123.46                       88.103293
                  123.72                       94.053707
                  123.98                       111.06836
                  124.24                       139.67028
                   124.5                       181.77094
                  124.76                       242.85571
                  125.02                       335.25741
                  125.28                       486.02951
                  125.54                       755.54296
                   125.8                       1235.1688
                  126.06                       1595.5873
                  126.32                       1302.4573
                  126.58                       981.11409
                  126.84                       771.07256
                   127.1                       627.27381
                  127.36                       524.24861
                  127.62                       449.94153
                  127.88                       396.61429
                  128.14                       358.09205
                   128.4                       329.15363
                  128.66                       305.59165
                  128.92                       284.61742
                  129.18                       265.10582
                  129.44                       247.20814
                   129.7                        231.5183
                  129.96                       218.36059
                  130.22                        207.4954
                  130.48                       198.21418
                  130.74                       189.69331
                     131                       181.40515
                  131.26                       173.32679
                  131.52                       165.81984
                  131.78                       159.30752
                  132.04                       153.98149
                   132.3                       149.69016
                  132.56                       146.04248
                  132.82                        142.6573
                  133.08                       139.39919
                  133.34                       136.43996
                   133.6                       134.11366
                  133.86                        132.6803
                  134.12                       132.15522
                  134.38                       132.30187
                  134.64                       132.78788
                   134.9                       133.40397
                  135.16                       134.19515
                  135.42                       135.41092
                  135.68                       137.31567
                  135.94                       139.99567
                   136.2                       143.28838
                  136.46                       146.87687
                  136.72                       150.49138
                  136.98                       154.08459
                  137.24                       157.85306
                   137.5                       162.08618
                  137.76                       166.95142
                  138.02                       172.36268
                  138.28                       178.01719
                  138.54                       183.58412
                   138.8                       188.92661
                  139.06                       194.19675
                  139.32                       199.72286
                  139.58                       205.76667
                  139.84                       212.32173
                   140.1                       219.08993
                  140.36                       225.66195
                  140.62                       231.79499
                  140.88                        237.5891
