        Frequency / MHz                S1,1 (Mesh Pass=7)/arg,degrees
----------------------------------------------------------------------
                      40                       122.93181
               40.259998                       121.33836
                   40.52                       119.74513
               40.779999                       118.15212
               41.040001                       116.55936
               41.299999                       114.96688
               41.560001                       113.37466
                   41.82                       111.78273
               42.079998                       110.19112
                   42.34                       108.59984
               42.599998                        107.0089
               42.860001                       105.41832
               43.119999                       103.82812
               43.380001                        102.2383
               43.639999                        100.6489
               43.900002                       99.059921
                   44.16                       97.471383
               44.419998                       95.883309
                   44.68                       94.295707
               44.939999                       92.708603
               45.200001                       91.122011
               45.459999                       89.535953
               45.720001                        87.95044
                   45.98                       86.365502
               46.240002                       84.781158
                    46.5                       83.197428
               46.759998                       81.614333
                   47.02                       80.031888
               47.279999                       78.450132
               47.540001                       76.869087
               47.799999                       75.288765
               48.060001                       73.709208
                   48.32                       72.130424
               48.579998                       70.552459
                   48.84                       68.975327
               49.099998                       67.399072
               49.360001                       65.823701
               49.619999                       64.249269
               49.880001                       62.675789
               50.139999                       61.103302
               50.400002                       59.531848
                   50.66                       57.961442
               50.919998                       56.392131
                   51.18                        54.82395
               51.439999                       53.256927
               51.700001                       51.691106
               51.959999                       50.126518
               52.220001                       48.563198
                   52.48                       47.001186
               52.740002                       45.440521
                      53                       43.881238
               53.259998                       42.323375
                   53.52                       40.766973
               53.779999                       39.212062
               54.040001                       37.658688
               54.299999                        36.10688
               54.560001                       34.556678
                   54.82                       33.008127
               55.079998                       31.461253
                   55.34                       29.916088
               55.599998                       28.372684
               55.860001                       26.831061
               56.119999                       25.291259
               56.380001                       23.753309
               56.639999                       22.217246
               56.900002                         20.6831
                   57.16                       19.150897
               57.419998                       17.620668
                   57.68                       16.092446
               57.939999                       14.566251
               58.200001                       13.042113
               58.459999                       11.520054
               58.720001                       10.000095
                   58.98                       8.4822593
               59.240002                       6.9665643
                    59.5                       5.4530281
               59.759998                       3.9416676
                   60.02                       2.4324959
               60.279999                      0.92552568
               60.540001                     -0.57923239
               60.799999                      -2.0817699
               61.060001                      -3.5820801
                   61.32                      -5.0801585
               61.579998                      -6.5760035
                   61.84                      -8.0696123
               62.099998                      -9.5609877
               62.360001                      -11.050135
               62.619999                      -12.537059
               62.880001                      -14.021768
               63.139999                      -15.504274
               63.400002                      -16.984589
                   63.66                      -18.462727
               63.919998                      -19.938706
                   64.18                      -21.412548
               64.440002                      -22.884274
               64.699997                      -24.353909
               64.959999                       -25.82148
               65.220001                      -27.287018
               65.480003                      -28.750555
               65.739998                      -30.212124
                      66                      -31.671761
               66.260002                      -33.129511
               66.519997                      -34.585414
               66.779999                      -36.039511
               67.040001                      -37.491853
               67.300003                      -38.942488
               67.559998                      -40.391464
                   67.82                      -41.838844
               68.080002                      -43.284673
               68.339996                      -44.729022
               68.599998                      -46.171943
               68.860001                      -47.613499
               69.120003                      -49.053773
               69.379997                      -50.492802
               69.639999                      -51.930678
               69.900002                       -53.36747
               70.159996                      -54.803249
               70.419998                      -56.238092
                   70.68                      -57.672076
               70.940002                      -59.105279
               71.199997                      -60.537782
               71.459999                      -61.969677
               71.720001                      -63.401039
               71.980003                       -64.83197
               72.239998                      -66.262541
                    72.5                      -67.692849
               72.760002                      -69.122983
               73.019997                      -70.553046
               73.279999                      -71.983125
