        Time / ns                i1 (36)/real
----------------------------------------------------------------------
                       0                  -6.6157781e-09
             0.023882171                   1.3815476e-06
             0.047764342                   1.4469032e-06
             0.071646512                   1.5142126e-06
             0.095528685                   1.5835008e-06
              0.11941084                   1.6546952e-06
              0.14329302                   1.7278348e-06
              0.16717519                   1.8028493e-06
              0.19105737                   1.8796924e-06
              0.21493952                   1.9583345e-06
              0.23882169                   2.0386658e-06
              0.26270387                   2.1206617e-06
              0.28658605                   2.2042432e-06
               0.3104682                   2.2892502e-06
              0.33435038                   2.3756415e-06
              0.35823256                   2.4632509e-06
              0.38211474                   2.5519364e-06
              0.40599689                   2.6415714e-06
              0.42987904                   2.7319475e-06
              0.45376122                   2.8229242e-06
              0.47764337                   2.9142516e-06
              0.50152552                   3.0057115e-06
              0.52540773                   3.0970602e-06
              0.54928988                   3.1880302e-06
              0.57317209                   3.2783073e-06
              0.59705424                   3.3676101e-06
              0.62093639                   3.4555537e-06
               0.6448186                   3.5417982e-06
              0.66870075                   3.6259339e-06
              0.69258296                   3.7075142e-06
              0.71646512                   3.7861212e-06
              0.74034727                   3.8612229e-06
              0.76422948                   3.9323168e-06
              0.78811157                   3.9988308e-06
              0.81199378                   4.0601731e-06
              0.83587593                   4.1157077e-06
              0.85975808                   4.1647618e-06
              0.88364029                   4.2066035e-06
              0.90752244                   4.2405022e-06
              0.93140459                   4.2656079e-06
              0.95528674                   4.2811239e-06
              0.97916895                   4.2861079e-06
                1.003051                    4.279635e-06
               1.0269333                   4.2606907e-06
               1.0508155                   4.2282377e-06
               1.0746976                   4.1811513e-06
               1.0985798                   4.1182861e-06
                1.122462                   4.0384002e-06
               1.1463442                   3.9402312e-06
               1.1702263                   3.8224239e-06
               1.1941085                   3.6835779e-06
               1.2179908                    3.522216e-06
               1.2418728                   3.3368092e-06
               1.2657549                   3.1257553e-06
               1.2896372                   2.8873815e-06
               1.3135192                   2.6199257e-06
               1.3374015                   2.3215975e-06
               1.3612837                   1.9904926e-06
               1.3851659                   1.6246657e-06
                1.409048                   1.2220561e-06
               1.4329302                   7.8056979e-07
               1.4568124                   2.9800415e-07
               1.4806945                  -2.2790593e-07
               1.5045767                  -7.9951741e-07
                1.528459                  -1.4192289e-06
                1.552341                  -2.0895843e-06
               1.5762231                  -2.8131449e-06
               1.6001054                  -3.5925843e-06
               1.6239876                  -4.4306407e-06
               1.6478697                  -5.3301555e-06
               1.6717519                  -6.2940189e-06
               1.6956341                  -7.3252086e-06
               1.7195162                  -8.4267886e-06
               1.7433984                  -9.6018921e-06
               1.7672806                  -1.0853713e-05
               1.7911627                   -1.218554e-05
               1.8150449                  -1.3600721e-05
               1.8389271                  -1.5102663e-05
               1.8628092                  -1.6694848e-05
               1.8866915                  -1.8380813e-05
               1.9105735                  -2.0164151e-05
               1.9344558                   -2.204852e-05
               1.9583379                  -2.4037596e-05
               1.9822202                  -2.6135152e-05
               2.0061021                  -2.8344935e-05
               2.0299845                  -3.0670781e-05
               2.0538666                   -3.311651e-05
               2.0777488                  -3.5685993e-05
               2.1016309                  -3.8383096e-05
               2.1255131                  -4.1211679e-05
               2.1493952                  -4.4175627e-05
               2.1732774                  -4.7278787e-05
               2.1971595                  -5.0524988e-05
               2.2210417                  -5.3918029e-05
               2.2449241                  -5.7461664e-05
                2.268806                  -6.1159582e-05
               2.2926884                  -6.5015418e-05
               2.3165705                  -6.9032714e-05
               2.3404527                  -7.3214913e-05
               2.3643348                  -7.7565346e-05
                2.388217                  -8.2087237e-05
               2.4120991                  -8.6783642e-05
               2.4359815                  -9.1657472e-05
               2.4598634                  -9.6711461e-05
               2.4837456                  -0.00010194813
                2.507628                   -0.0001073698
               2.5315099                  -0.00011297856
                2.555392                  -0.00011877621
               2.5792744                  -0.00012476431
               2.6031566                  -0.00013094408
               2.6270385                  -0.00013731646
               2.6509209                  -0.00014388196
                2.674803                  -0.00015064079
               2.6986852                  -0.00015759269
               2.7225673                  -0.00016473702
               2.7464495                  -0.00017207263
               2.7703319                  -0.00017959792
               2.7942138                   -0.0001873107
               2.8180959                  -0.00019520831
               2.8419783                  -0.00020328743
               2.8658605                  -0.00021154416
               2.8897424                  -0.00021997392
               2.9136248                  -0.00022857143
               2.9375069                  -0.00023733071
               2.9613891                  -0.00024624498
               2.9852712                  -0.00025530669
               3.0091534                   -0.0002645074
               3.0330355                  -0.00027383782
               3.0569179                  -0.00028328775
               3.0807998                  -0.00029284594
                3.104682                  -0.00030250027
               3.1285644                  -0.00031223745
               3.1524463                  -0.00032204311
               3.1763284                  -0.00033190183
               3.2002108                   -0.0003417969
                3.224093                  -0.00035171042
               3.2479751                  -0.00036162327
               3.2718573                  -0.00037151497
