        Frequency / MHz                S1,1 (Mesh Pass=9)/abs,dB
----------------------------------------------------------------------
                      40                      -4.2267696
               40.259998                        -4.27634
                   40.52                        -4.32559
               40.779999                      -4.3745062
               41.040001                      -4.4230725
               41.299999                      -4.4712783
               41.560001                      -4.5191079
                   41.82                       -4.566549
               42.079998                      -4.6135905
                   42.34                      -4.6602182
               42.599998                      -4.7064233
               42.860001                      -4.7521928
               43.119999                      -4.7975176
               43.380001                       -4.842386
               43.639999                      -4.8867892
               43.900002                      -4.9307185
                   44.16                      -4.9741641
               44.419998                      -5.0171174
                   44.68                      -5.0595725
               44.939999                      -5.1015189
               45.200001                      -5.1429518
               45.459999                      -5.1838636
               45.720001                      -5.2242471
                   45.98                      -5.2640986
               46.240002                      -5.3034108
                    46.5                      -5.3421801
               46.759998                      -5.3804024
                   47.02                      -5.4180714
               47.279999                      -5.4551873
               47.540001                       -5.491744
               47.799999                      -5.5277416
               48.060001                      -5.5631748
                   48.32                      -5.5980442
               48.579998                      -5.6323482
                   48.84                      -5.6660862
               49.099998                      -5.6992587
               49.360001                       -5.731864
               49.619999                      -5.7639044
               49.880001                      -5.7953803
               50.139999                      -5.8262909
               50.400002                      -5.8566425
                   50.66                      -5.8864326
               50.919998                      -5.9156657
                   51.18                      -5.9443463
               51.439999                       -5.972475
               51.700001                      -6.0000563
               51.959999                      -6.0270955
               52.220001                      -6.0535963
                   52.48                      -6.0795626
               52.740002                      -6.1050013
                      53                      -6.1299171
               53.259998                      -6.1543165
                   53.52                      -6.1782049
               53.779999                      -6.2015905
               54.040001                       -6.224478
               54.299999                      -6.2468771
               54.560001                      -6.2687927
                   54.82                      -6.2902358
               55.079998                      -6.3112121
                   55.34                      -6.3317306
               55.599998                      -6.3518013
               55.860001                      -6.3714318
               56.119999                      -6.3906309
               56.380001                      -6.4094099
               56.639999                      -6.4277771
               56.900002                      -6.4457438
                   57.16                      -6.4633207
               57.419998                      -6.4805186
                   57.68                      -6.4973472
               57.939999                      -6.5138204
               58.200001                       -6.529949
               58.459999                      -6.5457459
               58.720001                      -6.5612231
                   58.98                       -6.576395
               59.240002                      -6.5912737
                    59.5                      -6.6058749
               59.759998                      -6.6202108
                   60.02                      -6.6342985
               60.279999                      -6.6481516
               60.540001                      -6.6617856
               60.799999                      -6.6752175
               61.060001                      -6.6884629
                   61.32                      -6.7015402
               61.579998                      -6.7144646
                   61.84                      -6.7272562
               62.099998                      -6.7399334
               62.360001                      -6.7525146
               62.619999                      -6.7650202
               62.880001                      -6.7774717
               63.139999                      -6.7898899
               63.400002                      -6.8022977
                   63.66                       -6.814719
               63.919998                      -6.8271765
                   64.18                      -6.8396972
               64.440002                      -6.8523061
               64.699997                       -6.865031
               64.959999                      -6.8779016
               65.220001                      -6.8909458
               65.480003                      -6.9041955
               65.739998                      -6.9176836
                      66                      -6.9314434
               66.260002                      -6.9455089
               66.519997                       -6.959919
               66.779999                      -6.9747099
