        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                      40                      -3.3816629
               40.259998                      -3.5437735
                   40.52                      -3.7192101
               40.779999                       -3.908822
               41.040001                      -4.1134872
               41.299999                      -4.3340894
               41.560001                      -4.5714918
                   41.82                      -4.8264949
               42.079998                      -5.0997949
                   42.34                      -5.3919314
               42.599998                      -5.7032383
               42.860001                      -6.0337872
               43.119999                      -6.3833195
               43.380001                      -6.7511819
               43.639999                      -7.1362272
               43.900002                      -7.5367151
                   44.16                      -7.9501801
               44.419998                      -8.3732921
                   44.68                      -8.8017101
               44.939999                      -9.2299623
               45.200001                      -9.6513747
               45.459999                      -10.058109
               45.720001                      -10.441342
                   45.98                       -10.79167
               46.240002                      -11.099702
                    46.5                      -11.356881
               46.759998                      -11.556358
                   47.02                      -11.693815
               47.279999                       -11.76799
               47.540001                       -11.78079
               47.799999                      -11.736929
               48.060001                      -11.643221
                   48.32                      -11.507684
               48.579998                      -11.338673
                   48.84                      -11.144176
               49.099998                       -10.93136
               49.360001                       -10.70633
               49.619999                      -10.474089
               49.880001                      -10.238611
               50.139999                      -10.002974
               50.400002                      -9.7695178
                   50.66                       -9.539984
               50.919998                      -9.3156407
                   51.18                       -9.097385
               51.439999                       -8.885825
               51.700001                      -8.6813439
               51.959999                      -8.4841727
               52.220001                      -8.2944406
                   52.48                      -8.1122234
               52.740002                      -7.9375828
                      53                       -7.770593
               53.259998                      -7.6113468
                   53.52                      -7.4599654
               53.779999                      -7.3165848
               54.040001                      -7.1813515
               54.299999                      -7.0544169
               54.560001                      -6.9359303
                   54.82                      -6.8260434
               55.079998                      -6.7249134
                   55.34                      -6.6327014
               55.599998                      -6.5495727
               55.860001                      -6.4756893
               56.119999                       -6.411201
               56.380001                      -6.3562309
               56.639999                       -6.310868
               56.900002                      -6.2751604
                   57.16                      -6.2491104
               57.419998                      -6.2326879
                   57.68                      -6.2258352
               57.939999                       -6.228477
               58.200001                      -6.2405313
               58.459999                      -6.2619106
               58.720001                      -6.2925215
                   58.98                      -6.3322551
               59.240002                      -6.3809836
                    59.5                      -6.4385514
               59.759998                       -6.504778
                   60.02                      -6.5794587
               60.279999                      -6.6623785
               60.540001                      -6.7533217
               60.799999                      -6.8520801
               61.060001                      -6.9584531
                   61.32                      -7.0722419
               61.579998                      -7.1932269
                   61.84                      -7.3211523
               62.099998                      -7.4556972
               62.360001                      -7.5964648
               62.619999                       -7.742957
               62.880001                      -7.8945771
               63.139999                      -8.0506087
               63.400002                      -8.2102086
                   63.66                      -8.3723693
               63.919998                      -8.5358798
                   64.18                      -8.6992645
               64.440002                      -8.8607276
               64.699997                      -9.0181036
               64.959999                      -9.1688331
               65.220001                      -9.3099886
               65.480003                      -9.4383545
               65.739998                      -9.5505774
                      66                      -9.6433957
               66.260002                       -9.713915
               66.519997                      -9.7599434
               66.779999                      -9.7803143
               67.040001                      -9.7751637
               67.300003                      -9.7460839
               67.559998                      -9.6961252
                   67.82                       -9.629611
               68.080002                      -9.5517954
               68.339996                       -9.468417
               68.599998                      -9.3852215
               68.860001                      -9.3075348
               69.120003                      -9.2399157
               69.379997                      -9.1859547
               69.639999                      -9.1481829
               69.900002                      -9.1281102
               70.159996                       -9.126341
               70.419998                      -9.1427536
                   70.68                      -9.1766989
               70.940002                      -9.2272011
               71.199997                      -9.2931182
               71.459999                      -9.3732707
               71.720001                      -9.4665085
               71.980003                      -9.5717559
               72.239998                      -9.6880122
                    72.5                      -9.8143524
               72.760002                      -9.9499269
               73.019997                      -10.093972
               73.279999                      -10.245822
               73.540001                      -10.404927
               73.800003                       -10.57086
               74.059998                      -10.743304
