        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      40                       9.0136865
               40.259998                       6.1855154
                   40.52                       3.3711145
               40.779999                      0.57259774
               41.040001                      -2.2070111
               41.299999                      -4.9636661
               41.560001                      -7.6923982
                   41.82                        -10.3876
               42.079998                      -13.043435
                   42.34                      -15.654285
               42.599998                      -18.215065
               42.860001                      -20.721417
               43.119999                      -23.169623
               43.380001                      -25.556347
               43.639999                      -27.878201
               43.900002                      -30.131323
                   44.16                      -32.311072
               44.419998                      -34.411908
                   44.68                      -36.427644
               44.939999                      -38.351915
               45.200001                      -40.178844
               45.459999                      -41.903782
               45.720001                      -43.523836
                   45.98                      -45.038162
               46.240002                      -46.447836
                    46.5                      -47.755439
               46.759998                      -48.964361
                   47.02                      -50.078256
               47.279999                      -51.100692
               47.540001                      -52.035224
               47.799999                      -52.885996
               48.060001                      -53.658592
                   48.32                       -54.36094
               48.579998                      -55.003927
                   48.84                      -55.601372
               49.099998                      -56.169427
               49.360001                      -56.725364
               49.619999                      -57.285972
               49.880001                      -57.866535
               50.139999                      -58.479758
               50.400002                      -59.136011
                   50.66                      -59.843678
               50.919998                      -60.610067
                   51.18                      -61.442347
               51.439999                      -62.348043
               51.700001                      -63.335013
               51.959999                      -64.410759
               52.220001                      -65.581872
                   52.48                      -66.852957
               52.740002                      -68.226159
                      53                      -69.701016
               53.259998                      -71.274957
                   53.52                      -72.943961
               53.779999                      -74.703453
               54.040001                      -76.549311
               54.299999                      -78.478143
               54.560001                      -80.487666
                   54.82                      -82.576284
               55.079998                      -84.742635
                   55.34                      -86.985041
               55.599998                      -89.300899
               55.860001                      -91.686397
               56.119999                      -94.136679
               56.380001                      -96.646173
               56.639999                        -99.2091
               56.900002                      -101.82015
                   57.16                        -104.475
               57.419998                      -107.17056
                   57.68                      -109.90505
               57.939999                      -112.67764
               58.200001                      -115.48797
               58.459999                      -118.33565
               58.720001                      -121.21985
                   58.98                      -124.13891
               59.240002                      -127.09045
                    59.5                      -130.07165
               59.759998                      -133.07977
                   60.02                      -136.11254
               60.279999                      -139.16894
               60.540001                       -142.2491
               60.799999                      -145.35446
               61.060001                      -148.48754
                   61.32                      -151.65137
               61.579998                      -154.84897
                   61.84                      -158.08287
               62.099998                      -161.35489
               62.360001                      -164.66609
               62.619999                      -168.01723
               62.880001                       -171.4092
               63.139999                      -174.84369
               63.400002                      -178.32378
                   63.66                        178.1458
               63.919998                       174.55868
                   64.18                       170.90711
               64.440002                       167.18261
               64.699997                       163.37656
               64.959999                       159.48082
               65.220001                       155.48803
               65.480003                       151.39158
               65.739998                       147.18525
                      66                       142.86249
               66.260002                       138.41582
               66.519997                       133.83613
               66.779999                       129.11242
               67.040001                         124.232
               67.300003                       119.18116
               67.559998                        113.9461
                   67.82                       108.51446
               68.080002                       102.87646
               68.339996                       97.026269
               68.599998                       90.962592
               68.860001                       84.689172
               69.120003                       78.214782
               69.379997                       71.552616
               69.639999                       64.719694
