        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -6.3477046e-09
             0.041399051                   1.4292948e-06
             0.082798101                   1.5463251e-06
              0.12419716                   1.6692153e-06
               0.1655962                   1.7978369e-06
              0.20699525                   1.9319796e-06
              0.24839431                   2.0713571e-06
              0.28979334                   2.2155834e-06
               0.3311924                   2.3641528e-06
              0.37259147                   2.5164591e-06
               0.4139905                   2.6717557e-06
              0.45538956                   2.8291481e-06
              0.49678862                   2.9875771e-06
              0.53818768                   3.1458092e-06
              0.57958668                   3.3024141e-06
              0.62098575                   3.4557424e-06
              0.66238481                    3.603915e-06
              0.70378387                   3.7447928e-06
              0.74518293                   3.8759645e-06
              0.78658199                    3.994724e-06
                0.827981                   4.0980358e-06
              0.86938006                   4.1825301e-06
              0.91077912                   4.2444576e-06
              0.95217824                   4.2796792e-06
              0.99357724                   4.2836364e-06
               1.0349764                   4.2513238e-06
               1.0763754                   4.1772646e-06
               1.1177745                   4.0554805e-06
               1.1591734                   3.8794692e-06
               1.2005725                   3.6421784e-06
               1.2419715                   3.3359831e-06
               1.2833706                   2.9526523e-06
               1.3247696                   2.4833341e-06
               1.3661687                   1.9185368e-06
               1.4075677                   1.2480973e-06
               1.4489669                   4.6117174e-07
               1.4903659                  -4.5377433e-07
                1.531765                    -1.50899e-06
                1.573164                  -2.7174365e-06
                1.614563                  -4.0927926e-06
                1.655962                  -5.6494573e-06
               1.6973611                  -7.4025374e-06
               1.7387601                  -9.3678382e-06
               1.7801592                  -1.1561842e-05
               1.8215582                  -1.4001684e-05
               1.8629574                  -1.6705108e-05
               1.9043565                  -1.9690428e-05
               1.9457554                  -2.2976474e-05
               1.9871545                  -2.6582527e-05
               2.0285535                  -3.0528234e-05
               2.0699527                   -3.483352e-05
               2.1113517                  -3.9518491e-05
               2.1527507                  -4.4603308e-05
               2.1941497                  -5.0108061e-05
                2.235549                  -5.6052602e-05
                2.276948                  -6.2456398e-05
               2.3183467                  -6.9338334e-05
                2.359746                  -7.6716497e-05
                2.401145                  -8.4607957e-05
               2.4425442                  -9.3028539e-05
                2.483943                  -0.00010199253
               2.5253422                  -0.00011151236
               2.5667412                  -0.00012159836
               2.6081405                  -0.00013225836
               2.6495392                  -0.00014349731
               2.6909385                  -0.00015531697
               2.7323375                  -0.00016771539
               2.7737365                  -0.00018068656
               2.8151355                  -0.00019421987
               2.8565345                  -0.00020829964
               2.8979337                  -0.00022290462
               2.9393327                  -0.00023800739
