        Frequency / MHz                S1,1/abs,dB
               99.279999                      -10.335062
               99.540001                       -10.61498
               99.800003                      -10.911572
                  100.06                      -11.222282
                  100.32                      -11.544025
                  100.58                      -11.873234
                  100.84                      -12.205926
                   101.1                      -12.537793
                  101.36                      -12.864337
                  101.62                      -13.181025
                  101.88                      -13.483477
                  102.14                      -13.767663
                   102.4                      -14.030094
                  102.66                      -14.267984
                  102.92                      -14.479377
                  103.18                      -14.663211
                  103.44                      -14.819307
                   103.7                      -14.948306
                  103.96                      -15.051541
                  104.22                      -15.130882
                  104.48                      -15.188561
                  104.74                         -15.227
                     105                      -15.248669
                  105.26                      -15.255955
                  105.52                      -15.251096
                  105.78                      -15.236117
                  106.04                      -15.212818
                   106.3                      -15.182779
                  106.56                      -15.147376
                  106.82                       -15.10781
                  107.08                      -15.065128
                  107.34                      -15.020247
                   107.6                      -14.973977
                  107.86                      -14.927019
                  108.12                      -14.879974
                  108.38                      -14.833342
                  108.64                      -14.787521
                   108.9                      -14.742811
                  109.16                      -14.699417
                  109.42                      -14.657464
                  109.68                      -14.617011
                  109.94                      -14.578069
                   110.2                       -14.54062
                  110.46                      -14.504639
                  110.72                      -14.470105
                  110.98                      -14.437015
                  111.24                      -14.405381
                   111.5                      -14.375238
                  111.76                      -14.346631
                  112.02                      -14.319608
                  112.28                      -14.294214
                  112.54                      -14.270483
                   112.8                      -14.248428
                  113.06                       -14.22805
                  113.32                      -14.209331
                  113.58                      -14.192242
                  113.84                      -14.176757
                   114.1                       -14.16285
                  114.36                       -14.15051
                  114.62                      -14.139739
                  114.88                      -14.130558
                  115.14                      -14.123002
                   115.4                      -14.117116
                  115.66                      -14.112946
                  115.92                      -14.110532
                  116.18                      -14.109899
                  116.44                      -14.111048
                   116.7                       -14.11395
                  116.96                      -14.118552
                  117.22                      -14.124764
                  117.48                      -14.132467
                  117.74                      -14.141523
                     118                      -14.151767
                  118.26                      -14.163019
                  118.52                      -14.175086
                  118.78                      -14.187755
                  119.04                      -14.200802
                   119.3                      -14.213976
                  119.56                         -14.227
                  119.82                      -14.239561
                  120.08                      -14.251302
                  120.34                      -14.261825
                   120.6                      -14.270679
                  120.86                      -14.277368
                  121.12                      -14.281349
                  121.38                      -14.282045
                  121.64                      -14.278854
                   121.9                      -14.271152
                  122.16                      -14.258313
                  122.42                      -14.239716
                  122.68                      -14.214751
                  122.94                      -14.182827
                   123.2                      -14.143387
                  123.46                      -14.095907
                  123.72                      -14.039908
                  123.98                      -13.974969
                  124.24                      -13.900748
                   124.5                      -13.816992
                  124.76                      -13.723573
                  125.02                      -13.620508
                  125.28                      -13.507984
                  125.54                      -13.386389
                   125.8                      -13.256323
                  126.06                      -13.118616
                  126.32                      -12.974323
                  126.58                      -12.824719
                  126.84                      -12.671276
                   127.1                      -12.515631
                  127.36                      -12.359546
                  127.62                      -12.204865
                  127.88                      -12.053459
                  128.14                      -11.907177
               128.39999                      -11.767802
                  128.66                      -11.636998
                  128.92                      -11.516278
               129.17999                      -11.406966
                  129.44                      -11.310177
                   129.7                      -11.226795
               129.96001                      -11.157472
                  130.22                      -11.102615
                  130.48                      -11.062406
               130.74001                      -11.036809
                     131                      -11.025588
               131.25999                      -11.028338
                  131.52                       -11.04451
                  131.78                      -11.073446
               132.03999                      -11.114412
                   132.3                      -11.166627
                  132.56                      -11.229293
               132.81999                      -11.301626
                  133.08                      -11.382867
                  133.34                      -11.472307
               133.60001                      -11.569285
                  133.86                      -11.673196
                  134.12                      -11.783495
                  134.38                      -11.899682
                  134.64                       -12.02131
               134.89999                      -12.147972
                  135.16                      -12.279303
                  135.42                      -12.414975
               135.67999                      -12.554702
                  135.94                      -12.698231
                   136.2                      -12.845355
               136.46001                      -12.995899
                  136.72                      -13.149729
                  136.98                       -13.30674
               137.24001                      -13.466854
                   137.5                      -13.630013
               137.75999                      -13.796171
                  138.02                      -13.965287
                  138.28                      -14.137326
               138.53999                       -14.31225
                   138.8                      -14.490024
                  139.06                      -14.670615
               139.31999                      -14.853994
                  139.58                      -15.040142
                  139.84                      -15.229047
               140.10001                      -15.420699
                  140.36                      -15.615093
                  140.62                      -15.812214
                  140.88                      -16.012035
