        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      40                      -42.259226
               40.259998                      -45.522699
                   40.52                      -48.769371
               40.779999                      -51.997631
               41.040001                      -55.205033
               41.299999                      -58.387967
               41.560001                      -61.541548
                   41.82                      -64.659734
               42.079998                      -67.735683
                   42.34                      -70.762112
               42.599998                      -73.731721
               42.860001                      -76.637339
               43.119999                       -79.47186
               43.380001                      -82.227972
               43.639999                      -84.897619
               43.900002                      -87.471384
                   44.16                       -89.93836
               44.419998                      -92.285807
                   44.68                      -94.499608
               44.939999                       -96.56501
               45.200001                      -98.467538
               45.459999                      -100.19435
               45.720001                      -101.73503
                   45.98                      -103.08268
               46.240002                      -104.23435
                    46.5                      -105.19135
               46.759998                      -105.95951
                   47.02                      -106.54966
               47.279999                      -106.97856
               47.540001                      -107.26978
               47.799999                       -107.4546
               48.060001                      -107.57209
                   48.32                      -107.66767
               48.579998                      -107.79032
                   48.84                      -107.98872
               49.099998                      -108.30689
               49.360001                      -108.78116
               49.619999                      -109.43836
               49.880001                      -110.29594
               50.139999                      -111.36329
               50.400002                      -112.64375
                   50.66                      -114.13661
               50.919998                      -115.83873
                   51.18                       -117.7451
               51.439999                      -119.84949
               51.700001                      -122.14423
               51.959999                      -124.62031
               52.220001                      -127.26749
                   52.48                      -130.07476
               52.740002                      -133.03094
                      53                      -136.12513
               53.259998                      -139.34754
                   53.52                       -142.6897
               53.779999                      -146.14466
               54.040001                      -149.70654
               54.299999                      -153.37042
               54.560001                      -157.13181
                   54.82                      -160.98606
               55.079998                      -164.92832
                   55.34                      -168.95343
               55.599998                        -173.056
               55.860001                       -177.2308
               56.119999                       178.52694
               56.380001                       174.22129
               56.639999                       169.85525
               56.900002                       165.43106
                   57.16                       160.95016
               57.419998                        156.4136
                   57.68                       151.82217
               57.939999                       147.17697
               58.200001                       142.47921
               58.459999                       137.73044
               58.720001                       132.93219
                   58.98                       128.08582
               59.240002                        123.1921
                    59.5                       118.25111
               59.759998                       113.26196
                   60.02                       108.22305
               60.279999                       103.13205
               60.540001                       97.986348
               60.799999                       92.783384
               61.060001                       87.520695
                   61.32                       82.196236
               61.579998                       76.808117
                   61.84                        71.35443
               62.099998                       65.832985
               62.360001                       60.240813
               62.619999                       54.574077
               62.880001                       48.827837
               63.139999                       42.996273
               63.400002                       37.072783
                   63.66                       31.050411
               63.919998                       24.922148
                   64.18                       18.681159
               64.440002                       12.320803
               64.699997                       5.8345018
               64.959999                     -0.78436164
               65.220001                      -7.5429157
               65.480003                      -14.448864
               65.739998                      -21.510625
                      66                      -28.737019
               66.260002                      -36.136794
               66.519997                      -43.717918
               66.779999                       -51.48677
               67.040001                      -59.447247
               67.300003                      -67.600141
               67.559998                      -75.942671
                   67.82                      -84.468085
               68.080002                      -93.165948
               68.339996                      -102.02225
               68.599998                      -111.01973
               68.860001                      -120.13869
               69.120003                      -129.35715
               69.379997                      -138.65184
               69.639999                      -147.99827
               69.900002                      -157.37158
               70.159996                       -166.7467
               70.419998                      -176.09876
                   70.68                       174.59661
               70.940002                        165.3629
               71.199997                       156.22291
               71.459999                       147.19799
               71.720001                       138.30841
               71.980003                       129.57304
               72.239998                       121.00908
                    72.5                        112.6321
               72.760002                       104.45532
               73.019997                       96.490116
               73.279999                        88.74512
               73.540001                       81.226393
               73.800003                       73.937323
               74.059998                        66.87846
                   74.32                       60.047996
               74.580002                       53.441509
               74.839996                       47.053098
               75.099998                       40.875056
               75.360001                       34.898748
               75.620003                       29.114946
               75.879997                       23.513752
               76.139999                       18.085119
               76.400002                       12.819043
               76.659996                       7.7054723
               76.919998                       2.7345146
                   77.18                      -2.1034995
               77.440002                      -6.8174776
               77.699997                      -11.415944
               77.959999                      -15.906602
               78.220001                      -20.296338
               78.480003                      -24.591544
               78.739998                        -28.7979
                      79                      -32.920988
               79.260002                      -36.965933
               79.519997                      -40.938152
               79.779999                      -44.842834
               80.040001                      -48.685117
               80.300003                      -52.469862
               80.559998                      -56.201547
                   80.82                      -59.884169
               81.080002                      -63.521107
               81.339996                      -67.115482
               81.599998                      -70.670019
               81.860001                      -74.187622
               82.120003                      -77.671129
               82.379997                      -81.123817
               82.639999                      -84.549402
               82.900002                      -87.951437
               83.159996                      -91.333692
               83.419998                      -94.699664
                   83.68                      -98.052357
               83.940002                      -101.39429
               84.199997                      -104.72764
               84.459999                      -108.05443
               84.720001                      -111.37686
               84.980003                       -114.6972
               85.239998                      -118.01853
                    85.5                      -121.34423
               85.760002                      -124.67802
               86.019997                      -128.02372
               86.279999                      -131.38516
               86.540001                      -134.76539
               86.800003                      -138.16732
               87.059998                      -141.59345
                   87.32                      -145.04608
               87.580002                      -148.52751
               87.839996                      -152.04069
               88.099998                      -155.58894
               88.360001                      -159.17583
               88.620003                      -162.80577
               88.879997                      -166.48304
               89.139999                      -170.21172
               89.400002                      -173.99554
               89.659996                      -177.83766
               89.919998                       178.25914
