        Frequency / MHz                S1,1/arg,degrees
                  105.52                       19.961617
                  105.78                       14.590411
                  106.04                       9.4185919
                   106.3                       4.4378549
                  106.56                     -0.36120043
                  106.82                      -4.9887357
                  107.08                       -9.454969
                  107.34                      -13.770446
                   107.6                      -17.945277
                  107.86                      -21.989022
                  108.12                      -25.910807
                  108.38                      -29.719101
                  108.64                      -33.421666
                   108.9                      -37.025765
                  109.16                      -40.538122
                  109.42                      -43.965295
                  109.68                      -47.313341
                  109.94                      -50.588446
                   110.2                      -53.796448
                  110.46                      -56.943088
                  110.72                      -60.034159
                  110.98                      -63.075011
                  111.24                      -66.070899
                   111.5                      -69.026678
                  111.76                      -71.946938
                  112.02                      -74.835944
                  112.28                       -77.69752
                  112.54                      -80.535382
                   112.8                      -83.352916
                  113.06                      -86.153403
                  113.32                      -88.940011
                  113.58                      -91.716019
                  113.84                       -94.48454
                   114.1                      -97.248963
                  114.36                       -100.0124
                  114.62                      -102.77814
                  114.88                      -105.54939
                  115.14                      -108.32906
                   115.4                      -111.12004
                  115.66                      -113.92533
                  115.92                      -116.74751
                  116.18                      -119.58904
                  116.44                       -122.4522
                   116.7                      -125.33956
                  116.96                      -128.25321
                  117.22                      -131.19599
                  117.48                      -134.17023
                  117.74                      -137.17863
                     118                      -140.22408
                  118.26                      -143.30974
                  118.52                      -146.43867
                  118.78                      -149.61406
                  119.04                      -152.83944
                   119.3                      -156.11809
                  119.56                      -159.45368
                  119.82                      -162.84954
                  120.08                      -166.30928
                  120.34                      -169.83639
                   120.6                      -173.43464
                  120.86                      -177.10786
                  121.12                       179.14018
                  121.38                       175.30538
                  121.64                       171.38387
                   121.9                       167.37138
                  122.16                       163.26447
                  122.42                       159.05904
                  122.68                       154.75198
                  122.94                       150.34055
                   123.2                       145.82246
                  123.46                        141.1964
                  123.72                       136.46149
                  123.98                       131.61796
                  124.24                        126.6669
                   124.5                       121.61026
                  124.76                       116.45057
                  125.02                       111.19176
                  125.28                       105.83766
                  125.54                       100.39372
                   125.8                       94.865533
                  126.06                       89.259751
                  126.32                       83.583481
                  126.58                       77.844373
                  126.84                       72.051171
                   127.1                       66.213053
                  127.36                       60.339638
                  127.62                       54.441194
                  127.88                       48.528327
                  128.14                       42.612183
               128.39999                       36.704012
                  128.66                       30.815079
                  128.92                       24.957071
               129.17999                       19.140921
                  129.44                        13.37766
                   129.7                       7.6778948
               129.96001                        2.051349
                  130.22                      -3.4926883
                  130.48                      -8.9459112
               130.74001                      -14.301108
                     131                      -19.552158
               131.25999                      -24.693815
                  131.52                      -29.722364
                  131.78                       -34.63529
               132.03999                      -39.431069
                   132.3                      -44.109475
                  132.56                      -48.671277
               132.81999                      -53.118113
                  133.08                      -57.452713
                  133.34                      -61.678139
               133.60001                      -65.797892
                  133.86                      -69.815901
                  134.12                       -73.73654
                  134.38                      -77.564287
                  134.64                      -81.303514
               134.89999                      -84.958704
                  135.16                      -88.534663
                  135.42                      -92.035873
               135.67999                      -95.467251
                  135.94                      -98.833277
                   136.2                      -102.13865
               136.46001                      -105.38807
                  136.72                      -108.58602
                  136.98                      -111.73709
               137.24001                      -114.84532
                   137.5                      -117.91519
               137.75999                      -120.95063
                  138.02                      -123.95591
                  138.28                      -126.93464
               138.53999                      -129.89119
                   138.8                      -132.82937
                  139.06                      -135.75334
               139.31999                      -138.66727
                  139.58                       -141.5754
                  139.84                      -144.48244
               140.10001                      -147.39243
                  140.36                      -150.31006
                  140.62                      -153.23994
                  140.88                      -156.18676
                  141.14                      -159.15532
               141.39999                      -162.15022
                  141.66                      -165.17693
                  141.92                      -168.24035
               142.17999                      -171.34661
                  142.44                      -174.50117
                   142.7                      -177.71071
               142.96001                       179.01856
                  143.22                       175.67997
                  143.48                       172.26662
               143.74001                       168.77153
                     144                       165.18803
               144.25999                       161.50967
                  144.52                       157.73012
                  144.78                       153.84391
               145.03999                       149.84568
                   145.3                       145.73172
                  145.56                       141.49864
               145.81999                       137.14513
                  146.08                        132.6713
                  146.34                       128.07956
               146.60001                        123.3746
                  146.86                       118.56429
                  147.12                       113.65933
                  147.38                       108.67297
                  147.64                        103.6218
               147.89999                        98.52451
                  148.16                       93.401212
                  148.42                       88.273106
               148.67999                       83.161065
                  148.94                       78.084868
                   149.2                       73.062547
               149.46001                       68.109404
                  149.72                       63.238003
                  149.98                       58.457527
               150.24001                       53.774313
                   150.5                       49.191422
               150.75999                       44.709831
                  151.02                       40.328238
                  151.28                       36.043581
               151.53999                        31.85137
                   151.8                       27.746264
                  152.06                       23.722025
               152.31999                       19.772211
                  152.58                       15.889493
                  152.84                       12.066445
               153.10001                       8.2953062
                  153.36                       4.5682091
                  153.62                      0.87728412
                  153.88                      -2.7854458
                  154.14                      -6.4277396
               154.39999                      -10.057248
                  154.66                      -13.681292
                  154.92                      -17.306975
               155.17999                      -20.940744
                  155.44                      -24.589157
                   155.7                      -28.257679
               155.96001                      -31.952537
                  156.22                      -35.678763
                  156.48                      -39.441486
               156.74001                      -43.246067
                     157                      -47.096873
               157.25999                      -50.998492
                  157.52                      -54.954976
                  157.78                      -58.969272
               158.03999                      -63.044217
                   158.3                      -67.181563
                  158.56                      -71.381856
               158.81999                      -75.644877
                  159.08                      -79.968879
                  159.34                      -84.351128
               159.60001                      -88.787472
                  159.86                      -93.273213
