        Frequency / MHz                S1,1/abs,dB
               99.540001                      -14.950426
               99.800003                      -14.171918
                  100.06                      -13.339859
                  100.32                      -12.519955
                  100.58                      -11.749918
                  100.84                      -11.041288
                   101.1                      -10.388927
                  101.36                       -9.782518
                  101.62                      -9.2153458
                  101.88                      -8.6873615
                  102.14                       -8.202635
                   102.4                      -7.7642389
                  102.66                      -7.3703726
                  102.92                      -7.0139717
                  103.18                      -6.6856838
                  103.44                      -6.3781895
                   103.7                      -6.0890894
                  103.96                      -5.8205665
                  104.22                      -5.5762402
                  104.48                      -5.3574477
                  104.74                      -5.1613387
                     105                      -4.9818668
                  105.26                      -4.8129262
                  105.52                      -4.6515582
                  105.78                      -4.4990591
                  106.04                      -4.3592805
                   106.3                      -4.2353521
                  106.56                      -4.1270424
                  106.82                       -4.030462
                  107.08                      -3.9402503
                  107.34                      -3.8527913
                   107.6                      -3.7682904
                  107.86                       -3.690258
                  108.12                      -3.6227893
                  108.38                      -3.5675114
                  108.64                      -3.5222568
                   108.9                      -3.4823093
                  109.16                      -3.4434291
                  109.42                      -3.4046117
                  109.68                      -3.3686656
                  109.94                      -3.3401774
                   110.2                      -3.3222766
                  110.46                      -3.3144155
                  110.72                        -3.31264
                  110.98                      -3.3122107
                  111.24                      -3.3108633
                   111.5                       -3.310433
                  111.76                      -3.3156806
                  112.02                      -3.3310852
                  112.28                       -3.357829
                  112.54                      -3.3929927
                   112.8                       -3.431561
                  113.06                      -3.4699768
                  113.32                      -3.5088647
                  113.58                      -3.5529307
                  113.84                      -3.6080583
                   114.1                       -3.677556
                  114.36                      -3.7601045
                  114.62                      -3.8508048
                  114.88                      -3.9448038
                  115.14                      -4.0411485
                   115.4                      -4.1441997
                  115.66                      -4.2614696
                  115.92                      -4.3993045
                  116.18                      -4.5593221
                  116.44                      -4.7379813
                   116.7                      -4.9298033
                  116.96                      -5.1323839
                  117.22                      -5.3499165
                  117.48                      -5.5926163
                  117.74                      -5.8722714
                     118                      -6.1968332
                  118.26                       -6.567637
                  118.52                      -6.9813928
                  118.78                      -7.4364893
                  119.04                      -7.9403336
                   119.3                       -8.513136
                  119.56                      -9.1856612
                  119.82                       -9.992745
                  120.08                      -10.967486
                  120.34                      -12.141305
                   120.6                      -13.554249
                  120.86                      -15.278008
                  121.12                      -17.445151
                  121.38                      -20.213636
                  121.64                      -23.068369
                   121.9                      -22.692473
                  122.16                      -19.185935
