        Frequency / MHz                S1,1/abs,dB
               99.279999                      -4.2313942
               99.540001                      -4.4642745
               99.800003                      -4.7266794
                  100.06                      -5.0276654
                  100.32                      -5.3774256
                  100.58                      -5.7867222
                  100.84                       -6.266182
                   101.1                      -6.8253399
                  101.36                      -7.4710017
                  101.62                      -8.2042129
                  101.88                      -9.0145357
                  102.14                      -9.8698612
                   102.4                      -10.701264
                  102.66                      -11.390186
                  102.92                      -11.783365
                  103.18                      -11.763464
                  103.44                      -11.334086
                   103.7                      -10.616141
                  103.96                       -9.760637
                  104.22                      -8.8815068
                  104.48                      -8.0435652
                  104.74                      -7.2760942
                     105                      -6.5878789
                  105.26                      -5.9772118
                  105.52                      -5.4375584
                  105.78                      -4.9605973
                  106.04                      -4.5378568
                   106.3                      -4.1616241
                  106.56                      -3.8254282
                  106.82                      -3.5242753
                  107.08                      -3.2546652
                  107.34                      -3.0144442
                   107.6                      -2.8025229
                  107.86                      -2.6184928
                  108.12                      -2.4622125
                  108.38                      -2.3333871
                  108.64                       -2.231198
                   108.9                      -2.1540136
                  109.16                      -2.0992074
                  109.42                      -2.0631212
                  109.68                      -2.0411781
                  109.94                      -2.0281932
                   110.2                      -2.0188505
                  110.46                      -2.0083172
                  110.72                      -1.9929069
                  110.98                      -1.9706633
                  111.24                      -1.9417102
                   111.5                      -1.9082984
                  111.76                       -1.874512
                  112.02                      -1.8456973
                  112.28                      -1.8277458
                  112.54                      -1.8263465
                   112.8                      -1.8463195
                  113.06                      -1.8910766
                  113.32                      -1.9622307
                  113.58                      -2.0593683
                  113.84                      -2.1799775
                   114.1                      -2.3195925
                  114.36                      -2.4721796
                  114.62                      -2.6308437
                  114.88                      -2.7888271
                  115.14                      -2.9407315
                   115.4                      -3.0837413
                  115.66                      -3.2185497
                  115.92                       -3.349734
                  116.18                      -3.4854535
                  116.44                       -3.636569
                   116.7                      -3.8154163
                  116.96                      -4.0344775
                  117.22                      -4.3050885
                  117.48                      -4.6361494
                  117.74                      -5.0326375
                     118                      -5.4936066
                  118.26                      -6.0093262
                  118.52                      -6.5574964
                  118.78                      -7.0994743
                  119.04                      -7.5795965
                   119.3                      -7.9331455
                  119.56                      -8.1066662
                  119.82                      -8.0831246
                  120.08                      -7.8928998
                  120.34                      -7.6004783
                   120.6                      -7.2793715
                  120.86                      -6.9936525
                  121.12                      -6.7918209
                  121.38                      -6.7086145
                  121.64                      -6.7693349
                   121.9                      -6.9937356
                  122.16                      -7.3982075
                  122.42                      -7.9951072
                  122.68                      -8.7863239
                  122.94                      -9.7436006
                   123.2                      -10.761276
                  123.46                      -11.579799
                  123.72                      -11.793632
                  123.98                      -11.167555
                  124.24                       -9.927507
                   124.5                      -8.4770275
                  124.76                      -7.0760991
                  125.02                      -5.8298301
                  125.28                       -4.765189
                  125.54                      -3.8792054
                   125.8                      -3.1595799
                  126.06                      -2.5923058
                  126.32                       -2.164131
                  126.58                      -1.8630491
                  126.84                      -1.6780585
                   127.1                      -1.5986277
                  127.36                      -1.6140325
                  127.62                      -1.7126239
                  127.88                      -1.8810866
                  128.14                      -2.1037899
               128.39999                      -2.3624616
                  128.66                      -2.6364918
                  128.92                      -2.9042496
               129.17999                      -3.1455894
                  129.44                      -3.3452204
                   129.7                      -3.4959211
               129.96001                      -3.6002607
                  130.22                      -3.6700013
                  130.48                      -3.7234636
               130.74001                       -3.782073
                     131                      -3.8673187
               131.25999                      -3.9988327
                  131.52                      -4.1935828
                  131.78                      -4.4658802
               132.03999                      -4.8277935
                   132.3                      -5.2896674
                  132.56                      -5.8604726
               132.82001                      -6.5477454
                  133.08                      -7.3566229
                  133.34                      -8.2871022
               133.60001                      -9.3276527
                  133.86                       -10.44199
                  134.12                      -11.545972
                  134.38                      -12.482101
                  134.64                      -13.034326
               134.89999                      -13.042764
                  135.16                      -12.540392
                  135.42                      -11.717642
               135.67999                      -10.770785
                  135.94                      -9.8240299
                   136.2                      -8.9364905
               136.46001                       -8.129534
                  136.72                      -7.4065924
                  136.98                       -6.763771
               137.24001                      -6.1948494
                   137.5                      -5.6934277
               137.75999                      -5.2537019
                  138.02                      -4.8706063
                  138.28                      -4.5396692
               138.53999                      -4.2567694
                   138.8                      -4.0178747
                  139.06                      -3.8188172
               139.32001                       -3.655137
                  139.58                      -3.5220101
                  139.84                      -3.4142821
               140.10001                      -3.3266054
                  140.36                       -3.253689
                  140.62                      -3.1906273
                  140.88                      -3.1332624
                  141.14                      -3.0785245
               141.39999                      -3.0246763
                  141.66                      -2.9713979
                  141.92                      -2.9196927
               142.17999                      -2.8716157
