        Frequency / MHz                Port 1 [1] (13)/abs,linear
                  108.12                       169.63402
                  108.38                       173.87374
                  108.64                       178.11728
                   108.9                        182.3446
                  109.16                       186.53443
                  109.42                       190.66401
                  109.68                       194.70906
                  109.94                        198.6439
                   110.2                        202.4419
                  110.46                         206.076
                  110.72                       209.51941
                  110.98                       212.74615
                  111.24                       215.73162
                   111.5                       218.45301
                  111.76                       220.88972
                  112.02                       223.02386
                  112.28                       224.84093
                  112.54                       226.33047
                   112.8                       227.48681
                  113.06                       228.30949
                  113.32                       228.80351
                  113.58                       228.97901
                  113.84                       228.85077
                   114.1                       228.43739
                  114.36                       227.76047
                  114.62                       226.84384
                  114.88                       225.71293
                  115.14                       224.39417
                   115.4                       222.91451
                  115.66                       221.30079
                  115.92                       219.57913
                  116.18                       217.77429
                  116.44                       215.90914
                   116.7                       214.00431
                  116.96                        212.0781
                  117.22                       210.14661
                  117.48                       208.22401
                  117.74                       206.32274
                     118                       204.45376
                  118.26                        202.6265
                  118.52                       200.84881
                  118.78                       199.12688
                  119.04                       197.46511
                   119.3                       195.86627
                  119.56                       194.33164
                  119.82                        192.8614
                  120.08                       191.45484
                  120.34                       190.11065
                   120.6                       188.82703
                  120.86                       187.60171
                  121.12                       186.43203
                  121.38                       185.31509
                  121.64                       184.24801
                   121.9                       183.22837
                  122.16                       182.25477
                  122.42                       181.32726
                  122.68                        180.4478
                  122.94                       179.62037
                   123.2                       178.85104
                  123.46                       178.14782
                  123.72                       177.52049
                  123.98                       176.98037
                  124.24                       176.54024
                   124.5                       176.21406
                  124.76                       176.01683
                  125.02                       175.96418
                  125.28                       176.07192
                  125.54                       176.35547
                   125.8                        176.8293
                  126.06                       177.50649
                  126.32                       178.39838
                  126.58                       179.51449
                  126.84                       180.86255
                   127.1                       182.44857
                  127.36                       184.27693
                  127.62                       186.35045
                  127.88                       188.67029
                  128.14                       191.23599
                   128.4                       194.04541
                  128.66                        197.0949
                  128.92                       200.37955
                  129.18                       203.89351
                  129.44                        207.6303
                   129.7                       211.58312
                  129.96                       215.74498
                  130.22                       220.10871
                  130.48                       224.66692
                  130.74                       229.41195
                     131                       234.33587
                  131.26                       239.43063
                  131.52                       244.68828
                  131.78                       250.10113
                  132.04                       255.66196
                   132.3                       261.36403
                  132.56                       267.20093
                  132.82                       273.16635
                  133.08                       279.25385
                  133.34                       285.45666
                   133.6                        291.7676
                  133.86                       298.17909
                  134.12                       304.68321
                  134.38                       311.27169
                  134.64                       317.93565
                   134.9                       324.66522
                  135.16                         331.449
                  135.42                       338.27335
                  135.68                       345.12189
                  135.94                       351.97497
                   136.2                       358.80938
                  136.46                       365.59809
                  136.72                       372.30997
                  136.98                        378.9094
                  137.24                       385.35572
                   137.5                        391.6027
                  137.76                       397.59814
                  138.02                       403.28389
                  138.28                       408.59644
                  138.54                       413.46809
                   138.8                       417.82874
                  139.06                       421.60815
                  139.32                       424.73831
                  139.58                       427.15608
                  139.84                       428.80581
                   140.1                       429.64198
                  140.36                       429.63193
                  140.62                       428.75837
                  140.88                       427.02144
                  141.14                       424.43998
                   141.4                       421.05166
                  141.66                       416.91187
                  141.92                       412.09134
                  142.18                       406.67297
                  142.44                       400.74821
                   142.7                       394.41355
                  142.96                       387.76719
                  143.22                       380.90637
                  143.48                       373.92508
                  143.74                       366.91218
                     144                       359.94998
                  144.26                       353.11309
                  144.52                       346.46779
                  144.78                       340.07179
