        Frequency / MHz                Port 1 [1] (13)/arg,degrees
                  105.26                       3.4796479
                  105.52                       4.7077845
                  105.78                        5.823603
                  106.04                       6.8276512
                   106.3                       7.7211144
                  106.56                       8.5056007
                  106.82                        9.182995
                  107.08                       9.7553917
                  107.34                       10.225085
                   107.6                       10.594581
                  107.86                       10.866604
                  108.12                       11.044062
                  108.38                        11.12999
                  108.64                       11.127489
                   108.9                       11.039689
                  109.16                       10.869762
                  109.42                       10.620994
                  109.68                       10.296896
                  109.94                       9.9013228
                   110.2                       9.4385724
                  110.46                       8.9134275
                  110.72                       8.3311513
                  110.98                       7.6974436
                  111.24                       7.0183879
                   111.5                       6.3004135
                  111.76                       5.5502829
                  112.02                       4.7750943
                  112.28                       3.9822751
                  112.54                       3.1795348
                   112.8                         2.37476
                  113.06                       1.5758503
                  113.32                       0.7905184
                  113.58                      0.02608948
                  113.84                     -0.71066387
                   114.1                      -1.4136301
                  114.36                      -2.0774092
                  114.62                      -2.6973218
                  114.88                      -3.2694051
                  115.14                      -3.7904149
                   115.4                      -4.2578417
                  115.66                      -4.6699303
                  115.92                      -5.0256822
                  116.18                      -5.3248184
                  116.44                      -5.5676964
                   116.7                      -5.7551875
                  116.96                      -5.8885422
                  117.22                      -5.9692719
                  117.48                      -5.9990717
                  117.74                      -5.9797908
                     118                      -5.9134375
                  118.26                      -5.8021931
                  118.52                      -5.6484048
                  118.78                      -5.4545419
                  119.04                      -5.2231139
                   119.3                      -4.9565684
                  119.56                       -4.657196
                  119.82                      -4.3270631
                  120.08                      -3.9679816
                  120.34                      -3.5815071
                   120.6                      -3.1689417
                  120.86                       -2.731319
                  121.12                      -2.2693572
                  121.38                      -1.7833874
                  121.64                      -1.2732772
                   121.9                     -0.73838411
                  122.16                     -0.17756446
                  122.42                      0.41074992
                  122.68                       1.0284154
                  122.94                       1.6774059
                   123.2                       2.3596379
                  123.46                       3.0768154
                  123.72                       3.8303035
                  123.98                       4.6210227
                  124.24                         5.44935
                   124.5                       6.3150116
                  124.76                        7.216969
                  125.02                       8.1533111
                  125.28                       9.1211836
                  125.54                       10.116778
                   125.8                       11.135398
                  126.06                       12.171602
                  126.32                       13.219383
                  126.58                       14.272374
                  126.84                       15.324025
                   127.1                       16.367751
                  127.36                       17.397041
                  127.62                       18.405548
                  127.88                       19.387186
                  128.14                       20.336235
                   128.4                       21.247452
                  128.66                       22.116178
                  128.92                       22.938415
                  129.18                       23.710844
                  129.44                       24.430807
                   129.7                       25.096226
                  129.96                       25.705526
                  130.22                       26.257547
                  130.48                       26.751495
                  130.74                        27.18691
                     131                       27.563656
                  131.26                       27.881902
                  131.52                       28.142088
                  131.78                       28.344864
                  132.04                       28.490999
                   132.3                       28.581296
                  132.56                       28.616516
                  132.82                       28.597335
                  133.08                       28.524335
                  133.34                       28.398017
                   133.6                       28.218814
                  133.86                       27.987099
                  134.12                       27.703159
                  134.38                       27.367152
                  134.64                       26.979055
                   134.9                       26.538626
                  135.16                       26.045397
                  135.42                       25.498703
                  135.68                       24.897743
                  135.94                       24.241652
                   136.2                       23.529572
                  136.46                       22.760701
                  136.72                       21.934331
                  136.98                       21.049888
                  137.24                       20.106986
                   137.5                       19.105527
                  137.76                       18.045847
                  138.02                       16.928895
                  138.28                       15.756429
                  138.54                        14.53119
                   138.8                        13.25704
                  139.06                       11.939044
                  139.32                       10.583504
                  139.58                       9.1979603
                  139.84                       7.7911608
                   140.1                       6.3730072
