        Frequency / MHz                Port 1 [1] (6)/abs,linear
                  108.38                       263.26051
                  108.64                          266.76
                   108.9                       269.92234
                  109.16                       272.73377
                  109.42                       275.18369
                  109.68                       277.26476
                  109.94                       278.97291
                   110.2                       280.30742
                  110.46                       281.27093
                  110.72                       281.86947
                  110.98                       282.11243
                  111.24                       282.01243
                   111.5                       281.58512
                  111.76                       280.84884
                  112.02                       279.82417
                  112.28                       278.53338
                  112.54                       276.99993
                   112.8                       275.24786
                  113.06                       273.30135
                  113.32                       271.18435
                  113.58                       268.92031
                  113.84                       266.53208
                   114.1                       264.04181
                  114.36                       261.47099
                  114.62                       258.84042
                  114.88                       256.17018
                  115.14                       253.47964
                   115.4                       250.78726
                  115.66                       248.11052
                  115.92                       245.46577
                  116.18                       242.86806
                  116.44                       240.33109
                   116.7                        237.8672
                  116.96                       235.48735
                  117.22                       233.20125
                  117.48                       231.01746
                  117.74                       228.94347
                     118                       226.98585
                  118.26                       225.15026
                  118.52                       223.44146
                  118.78                       221.86331
                  119.04                       220.41869
                   119.3                       219.10951
                  119.56                       217.93662
                  119.82                       216.89998
                  120.08                       215.99868
                  120.34                       215.23122
                   120.6                        214.5957
                  120.86                       214.09016
                  121.12                       213.71284
                  121.38                       213.46247
                  121.64                        213.3384
                   121.9                        213.3408
                  122.16                       213.47063
                  122.42                       213.72964
                  122.68                       214.12029
                  122.94                       214.64561
                   123.2                       215.30909
                  123.46                       216.11462
                  123.72                       217.06635
                  123.98                        218.1687
                  124.24                       219.42627
                   124.5                       220.84385
                  124.76                       222.42637
                  125.02                       224.17877
                  125.28                       226.10596
                  125.54                       228.21262
                   125.8                        230.5031
                  126.06                       232.98124
                  126.32                       235.65027
                  126.58                       238.51274
                  126.84                       241.57048
                   127.1                       244.82466
                  127.36                       248.27583
                  127.62                       251.92407
                  127.88                       255.76906
                  128.14                       259.81018
                   128.4                       264.04652
                  128.66                       268.47693
                  128.92                       273.09989
                  129.18                       277.91345
                  129.44                       282.91507
                   129.7                       288.10157
                  129.96                       293.46892
                  130.22                       299.01226
                  130.48                       304.72584
                  130.74                       310.60302
                     131                       316.63631
                  131.26                       322.81734
                  131.52                       329.13691
                  131.78                        335.5848
                  132.04                       342.14973
                   132.3                       348.81904
                  132.56                       355.57849
                  132.82                       362.41191
                  133.08                       369.30089
                  133.34                       376.22456
                   133.6                       383.15938
                  133.86                       390.07906
                  134.12                       396.95453
                  134.38                       403.75402
                  134.64                        410.4432
                   134.9                       416.98535
                  135.16                       423.34151
                  135.42                       429.47067
                  135.68                       435.33001
                  135.94                       440.87517
                   136.2                       446.06059
                  136.46                        450.8401
                  136.72                       455.16763
                  136.98                       458.99815
                  137.24                       462.28881
                   137.5                       465.00016
                  137.76                       467.09746
                  138.02                       468.55182
                  138.28                       469.34128
                  138.54                       469.45152
                   138.8                       468.87634
                  139.06                       467.61775
                  139.32                       465.68588
                  139.58                       463.09863
                  139.84                       459.88109
                   140.1                       456.06504
                  140.36                       451.68817
                  140.62                       446.79344
                  140.88                       441.42824
                  141.14                       435.64358
                   141.4                       429.49321
                  141.66                       423.03273
                  141.92                       416.31865
                  142.18                       409.40761
                  142.44                       402.35559
                   142.7                       395.21744
                  142.96                       388.04643
                  143.22                       380.89415
                  143.48                        373.8105
                  143.74                        366.8439
                     144                       360.04156
                  144.26                       353.44985
                  144.52                       347.11464
                  144.78                       341.08162
                  145.04                       335.39656
                   145.3                       330.10552
                  145.56                       325.25489
                  145.82                       320.89144
                  146.08                       317.06216
                  146.34                       313.81411
                   146.6                       311.19405
                  146.86                         309.248
                  147.12                       308.02062
                  147.38                       307.55434
                  147.64                       307.88841
                   147.9                       309.05754
                  148.16                       311.09049
                  148.42                       314.00828
                  148.68                       317.82223
                  148.94                       322.53184
                   149.2                       328.12238
                  149.46                       334.56245
                  149.72                       341.80142
                  149.98                       349.76691
                  150.24                       358.36247
                   150.5                       367.46573
                  150.76                       376.92736
                  151.02                       386.57128
                  151.28                       396.19663
                  151.54                       405.58198
                   151.8                       414.49215
                  152.06                       422.68762
                  152.32                       429.93621
                  152.58                       436.02608
                  152.84                       440.77875
                   153.1                       444.06038
                  153.36                       445.78988
                  153.62                        445.9425
                  153.88                       444.54863
                  154.14                       441.68793
                   154.4                       437.48007
                  154.66                       432.07343
                  154.92                       425.63333
                  155.18                       418.33106
                  155.44                        410.3348
                   155.7                        401.8027
                  155.96                       392.87822
                  156.22                       383.68762
                  156.48                        374.3391
                  156.74                       364.92324
                     157                       355.51419
                  157.26                       346.17146
                  157.52                        336.9418
                  157.78                       327.86119
                  158.04                        318.9566
                   158.3                       310.24758
                  158.56                       301.74767
                  158.82                       293.46551
                  159.08                       285.40582
                  159.34                       277.57013
                   159.6                        269.9575
                  159.86                         262.565
                  160.12                       255.38825
                  160.38                       248.42184
                  160.64                       241.65963
                   160.9                       235.09515
                  161.16                       228.72178
                  161.42                       222.53296
                  161.68                       216.52234
                  161.94                        210.6838
                   162.2                       205.01149
                  162.46                       199.49983
                  162.72                       194.14343
                  162.98                       188.93713
                  163.24                        183.8759
                   163.5                       178.95495
                  163.76                       174.16966
                  164.02                       169.51576
                  164.28                       164.98931
                  164.54                       160.58683
                   164.8                       156.30537
                  165.06                       152.14252
                  165.32                       148.09641
                  165.58                       144.16573
                  165.84                       140.34965
                   166.1                       136.64776
                  166.36                       133.06002
                  166.62                       129.58675
                  166.88                       126.22856
                  167.14                       122.98639
                   167.4                       119.86158
                  167.66                       116.85586
                  167.92                       113.97145
                  168.18                       111.21104
                  168.44                        108.5778
                   168.7                       106.07525
                  168.96                       103.70721
                  169.22                       101.47756
                  169.48                       99.390053
                  169.74                        97.44813
                     170                       95.654696
                  170.26                        94.01197
                  170.52                       92.521369
                  170.78                       91.183425
                  171.04                       89.997745
                   171.3                       88.962966
                  171.56                        88.07672
                  171.82                       87.335554
                  172.08                       86.734838
                  172.34                        86.26865
                   172.6                       85.929667
                  172.86                       85.709099
                  173.12                       85.596695
                  173.38                        85.58084
                  173.64                       85.648765
                   173.9                       85.786859
                  174.16                       85.981045
                  174.42                       86.217215
                  174.68                       86.481654
                  174.94                       86.761471
                   175.2                       87.044995
                  175.46                       87.322189
                  175.72                         87.5851
                  175.98                       87.828424
                  176.24                       88.050205
                   176.5                       88.252736
                  176.76                       88.443611
                  177.02                       88.636884
                  177.28                       88.854177
                  177.54                       89.125552
                   177.8                       89.489899
                  178.06                       89.994579
                  178.32                        90.69415
                  178.58                       91.648046
                  178.84                       92.917332
                   179.1                       94.560788
                  179.36                       96.630828
                  179.62                       99.169826
                  179.88                        102.2074
                  180.14                       105.75901
                   180.4                       109.82603
                  180.66                       114.39695
                  180.92                       119.44948
                  181.18                       124.95309
                  181.44                        130.8715
                   181.7                       137.16495
                  181.96                       143.79212
                  182.22                       150.71159
                  182.48                       157.88296
                  182.74                        165.2676
                     183                       172.82925
                  183.26                       180.53432
                  183.52                       188.35211
                  183.78                       196.25487
                  184.04                        204.2178
                   184.3                       212.21893
                  184.56                       220.23892
                  184.82                       228.26093
                  185.08                       236.27033
                  185.34                       244.25462
                   185.6                       252.20325
                  185.86                       260.10761
                  186.12                       267.96106
                  186.38                        275.7589
                  186.64                       283.49852
                   186.9                       291.17931
                  187.16                       298.80264
                  187.42                       306.37169
                  187.68                        313.8912
                  187.94                       321.36715
                   188.2                       328.80644
                  188.46                       336.21661
                  188.72                       343.60562
                  188.98                       350.98183
                  189.24                       358.35402
                   189.5                       365.73166
                  189.76                       373.12518
                  190.02                       380.54637
                  190.28                        388.0087
                  190.54                       395.52759
                   190.8                       403.12058
                  191.06                       410.80739
                  191.32                       418.60977
                  191.58                       426.55143
                  191.84                       434.65774
                   192.1                       442.95566
                  192.36                       451.47352
                  192.62                         460.241
                  192.88                       469.28914
                  193.14                       478.65035
                   193.4                       488.35839
                  193.66                       498.44826
                  193.92                       508.95587
                  194.18                       519.91755
                  194.44                       531.36918
                   194.7                       543.34503
                  194.96                       555.87633
                  195.22                       568.98935
                  195.48                        582.7033
                  195.74                       597.02765
                     196                       611.95908
                  196.26                       627.47778
                  196.52                       643.54304
                  196.78                       660.08795
                  197.04                       677.01317
                   197.3                       694.17987
                  197.56                       711.40205
                  197.82                       728.43921
                  198.08                       744.99063
                  198.34                       760.69314
                   198.6                       775.12528
                  198.86                       787.82025
                  199.12                       798.29015
                  199.38                       806.06192
                  199.64                        810.7225
                   199.9                       811.96752
                  200.16                       809.64442
                  200.42                       803.78062
                  200.68                       794.58923
                  200.94                       782.45025
                   201.2                       767.87129
                  201.46                       751.43634
                  201.72                       733.75294
                  201.98                       715.40626
                  202.24                       696.92536
                   202.5                       678.76295
                  202.76                       661.28721
                  203.02                       644.78276
                  203.28                        629.4575
                  203.54                       615.45263
                   203.8                       602.85365
                  204.06                       591.70112
                  204.32                       582.00034
                  204.58                       573.72967
                  204.84                       566.84741
                   205.1                       561.29722
                  205.36                       557.01232
                  205.62                       553.91839
                  205.88                       551.93555
                  206.14                       550.97932
                   206.4                       550.96084
                  206.66                       551.78657
                  206.92                       553.35744
                  207.18                       555.56795
                  207.44                       558.30524
                   207.7                       561.44844
                  207.96                       564.86852
                  208.22                       568.42883
                  208.48                       571.98643
                  208.74                       575.39429
                     209                       578.50427
                  209.26                       581.17092
                  209.52                       583.25566
                  209.78                       584.63129
                  210.04                       585.18639
                   210.3                       584.82917
                  210.56                       583.49073
                  210.82                       581.12714
                  211.08                        577.7204
                  211.34                       573.27804
                   211.6                       567.83153
                  211.86                       561.43357
                  212.12                        554.1545
                  212.38                       546.07813
                  212.64                       537.29741
                   212.9                       527.91012
                  213.16                       518.01493
                  213.42                       507.70805
                  213.68                       497.08056
                  213.94                       486.21643
                   214.2                       475.19137
                  214.46                       464.07214
                  214.72                       452.91656
