        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
               99.279999                      -5.7225466
               99.540001                      -5.7206181
               99.800003                      -5.7229326
                  100.06                      -5.7294788
                  100.32                      -5.7402645
                  100.58                      -5.7553179
                  100.84                      -5.7746712
                   101.1                      -5.7983506
                  101.36                      -5.8263712
                  101.62                      -5.8587418
                  101.88                      -5.8954833
                  102.14                      -5.9366362
                   102.4                      -5.9822689
                  102.66                      -6.0324688
                  102.92                      -6.0873308
                  103.18                      -6.1469438
                  103.44                      -6.2113912
                   103.7                      -6.2807511
                  103.96                      -6.3551142
                  104.22                      -6.4345932
                  104.48                      -6.5193237
                  104.74                      -6.6094616
                     105                      -6.7051639
                  105.26                      -6.8065837
                  105.52                      -6.9138634
                  105.78                      -7.0271433
                  106.04                      -7.1465772
                   106.3                      -7.2723387
                  106.56                      -7.4046268
                  106.82                      -7.5436613
                  107.08                       -7.689672
                  107.34                      -7.8428832
                   107.6                      -8.0035208
                  107.86                      -8.1718153
                  108.12                      -8.3480245
                  108.38                      -8.5324398
                  108.64                      -8.7254017
                   108.9                      -8.9272937
                  109.16                      -9.1385338
                  109.42                      -9.3595728
                  109.68                      -9.5908923
                  109.94                      -9.8330201
                   110.2                      -10.086551
                  110.46                      -10.352163
                  110.72                      -10.630644
                  110.98                      -10.922878
                  111.24                      -11.229848
                   111.5                      -11.552621
                  111.76                      -11.892339
                  112.02                      -12.250219
                  112.28                      -12.627558
                  112.54                      -13.025724
                   112.8                      -13.446121
                  113.06                      -13.890112
                  113.32                      -14.358872
                  113.58                      -14.853161
                  113.84                      -15.372976
                   114.1                      -15.917052
                  114.36                      -16.482111
                  114.62                      -17.061777
                  114.88                      -17.645063
                  115.14                      -18.214453
                   115.4                      -18.743987
                  115.66                      -19.198429
                  115.92                      -19.535482
                  116.18                      -19.713004
                  116.44                      -19.700754
                   116.7                      -19.491425
                  116.96                      -19.103686
                  117.22                      -18.574897
                  117.48                      -17.948861
                  117.74                      -17.265714
                     118                      -16.557043
                  118.26                      -15.845255
                  118.52                      -15.145069
                  118.78                       -14.46552
                  119.04                      -13.811732
                   119.3                      -13.186295
                  119.56                      -12.590192
                  119.82                      -12.023446
                  120.08                      -11.485516
                  120.34                      -10.975555
                   120.6                      -10.492553
                  120.86                      -10.035431
                  121.12                      -9.6030966
                  121.38                      -9.1944734
                  121.64                      -8.8085264
                   121.9                      -8.4442775
                  122.16                      -8.1007982
                  122.42                      -7.7772124
                  122.68                      -7.4726854
                  122.94                      -7.1864109
                   123.2                      -6.9176085
                  123.46                      -6.6655245
                  123.72                        -6.42943
                  123.98                      -6.2086302
                  124.24                      -6.0024633
                   124.5                      -5.8102977
                  124.76                      -5.6315282
                  125.02                      -5.4655698
                  125.28                      -5.3118566
                  125.54                      -5.1698492
                   125.8                      -5.0390342
                  126.06                      -4.9189289
                  126.32                      -4.8090867
                  126.58                      -4.7090957
                  126.84                      -4.6185696
                   127.1                      -4.5371512
                  127.36                      -4.4645021
                  127.62                      -4.4003143
                  127.88                      -4.3443031
                  128.14                      -4.2962218
               128.39999                      -4.2558507
                  128.66                      -4.2230034
                  128.92                      -4.1975187
               129.17999                      -4.1792555
                  129.44                      -4.1680932
                   129.7                       -4.163929
               129.96001                      -4.1666864
                  130.22                      -4.1763129
                  130.48                      -4.1927819
               130.74001                        -4.21609
                     131                      -4.2462502
               131.25999                      -4.2832883
                  131.52                      -4.3272422
                  131.78                      -4.3781589
               132.03999                      -4.4361029
                   132.3                      -4.5011491
                  132.56                      -4.5733915
               132.82001                      -4.6529286
                  133.08                      -4.7398677
                  133.34                      -4.8343158
               133.60001                       -4.936374
                  133.86                      -5.0461457
                  134.12                      -5.1637281
                  134.38                      -5.2892212
                  134.64                      -5.4227196
               134.89999                      -5.5643162
                  135.16                      -5.7140845
                  135.42                      -5.8720861
               135.67999                      -6.0383618
                  135.94                      -6.2129331
                   136.2                      -6.3958055
               136.46001                      -6.5869719
                  136.72                      -6.7864116
                  136.98                      -6.9940878
               137.24001                      -7.2099481
                   137.5                      -7.4339204
               137.75999                      -7.6659165
                  138.02                      -7.9058438
                  138.28                      -8.1536033
               138.53999                      -8.4091088
                   138.8                      -8.6722923
                  139.06                      -8.9431092
               139.32001                      -9.2215487
                  139.58                      -9.5076426
                  139.84                      -9.8014768
               140.10001                       -10.10321
                  140.36                      -10.413097
                  140.62                      -10.731508
                  140.88                       -11.05896
                  141.14                      -11.396133
               141.39999                      -11.743904
                  141.66                      -12.103377
                  141.92                      -12.475917
               142.17999                      -12.863201
                  142.44                      -13.267273
                   142.7                       -13.69062
               142.96001                      -14.136264
                  143.22                      -14.607877
                  143.48                      -15.109939
               143.74001                      -15.647936
                     144                       -16.22865
               144.25999                      -16.860536
                  144.52                      -17.554294
                  144.78                      -18.323684
               145.03999                      -19.186797
                   145.3                      -20.168053
                  145.56                      -21.301468
               145.82001                       -22.63617
                  146.08                      -24.245873
                  146.34                      -26.244289
               146.60001                      -28.798458
                  146.86                      -32.010521
                  147.12                      -34.626857
                  147.38                      -32.968316
                  147.64                      -29.382752
               147.89999                       -26.32322
                  148.16                      -23.887593
                  148.42                      -21.900012
               148.67999                      -20.229413
                  148.94                      -18.791137
                   149.2                       -17.52981
               149.46001                      -16.407944
                  149.72                      -15.399242
                  149.98                       -14.48465
               150.24001                      -13.649952
                   150.5                       -12.88425
               150.75999                      -12.178995
                  151.02                      -11.527345
                  151.28                       -10.92373
               151.53999                      -10.363556
                   151.8                      -9.8429852
                  152.06                      -9.3587735
               152.32001                      -8.9081372
                  152.58                      -8.4886509
                  152.84                      -8.0981697
               153.10001                      -7.7347771
                  153.36                      -7.3967441
                  153.62                      -7.0825035
                  153.88                      -6.7906227
                  154.14                      -6.5197916
               154.39999                      -6.2687957
                  154.66                      -6.0365012
                  154.92                      -5.8218463
               155.17999                      -5.6238342
                  155.44                      -5.4415275
                   155.7                      -5.2740592
               155.96001                      -5.1206212
                  156.22                      -4.9804713
                  156.48                      -4.8529197
               156.74001                      -4.7373264
                     157                      -4.6330959
               157.25999                      -4.5396752
                  157.52                      -4.4565573
                  157.78                      -4.3832791
               158.03999                      -4.3194299
                   158.3                      -4.2646404
                  158.56                      -4.2185822
               158.82001                      -4.1809616
                  159.08                      -4.1515125
                  159.34                           -4.13
               159.60001                      -4.1162196
                  159.86                           -4.11
                  160.12                      -4.1112026
                  160.38                      -4.1197196
                  160.64                      -4.1354665
               160.89999                      -4.1583785
                  161.16                      -4.1884064
                  161.42                      -4.2255141
