        Frequency / MHz                Port 1 [1] (6)/arg,degrees
                     105                       55.871197
                  105.26                       57.063071
                  105.52                       57.749496
                  105.78                       57.969415
                  106.04                       57.867742
                   106.3                       57.633768
                  106.56                        57.38853
                  106.82                        57.09488
                  107.08                       56.561236
                  107.34                       55.544197
                   107.6                       53.896949
                  107.86                       51.684755
                  108.12                       49.170859
                  108.38                       46.624055
                  108.64                       44.066723
                   108.9                       41.182003
                  109.16                       37.474992
                  109.42                       32.621458
                  109.68                       26.822404
                  109.94                       20.805578
                   110.2                       15.271752
                  110.46                       10.315429
                  110.72                       5.4576945
                  110.98                      0.19115299
                  111.24                      -5.4414874
                   111.5                      -10.737909
                  111.76                      -14.898772
                  112.02                      -17.673436
                  112.28                      -19.439746
                  112.54                       -20.83945
                   112.8                      -22.343205
                  113.06                      -23.965121
                  113.32                      -25.292259
                  113.58                      -25.834674
                  113.84                      -25.402017
                   114.1                      -24.218064
                  114.36                       -22.76947
                  114.62                      -21.523278
                  114.88                      -20.650061
                  115.14                      -19.916066
                   115.4                      -18.860306
                  115.66                      -17.151854
                  115.92                      -14.853414
                  116.18                      -12.422137
                  116.44                      -10.472349
                   116.7                      -9.4232011
                  116.96                      -9.2161581
                  117.22                      -9.3278944
                  117.48                      -9.1610982
                  117.74                      -8.5368216
                     118                      -7.8880893
                  118.26                      -8.0439327
                  118.52                      -9.7286709
                  118.78                      -12.972981
                  119.04                       -16.87444
                   119.3                      -20.224093
                  119.56                      -22.544974
                  119.82                      -24.449445
                  120.08                      -27.156821
                  120.34                       -31.55744
                   120.6                      -37.232057
                  120.86                      -42.489606
                  121.12                      -45.871472
                  121.38                      -47.275768
                  121.64                      -47.727361
                   121.9                      -48.634746
                  122.16                      -50.851259
                  122.42                      -53.776283
                  122.68                      -55.556128
                  122.94                      -54.324957
                   123.2                      -48.636091
                  123.46                      -36.776908
                  123.72                      -16.866992
                  123.98                        8.923616
                  124.24                       31.970207
                   124.5                       47.726631
                  124.76                       57.478633
                  125.02                       62.664808
                  125.28                       62.687985
                  125.54                       52.541371
                   125.8                       19.652281
                  126.06                      -18.645034
                  126.32                      -35.841803
                  126.58                      -44.726002
                  126.84                      -52.090952
                   127.1                      -58.551884
                  127.36                      -62.975395
                  127.62                      -64.954171
                  127.88                      -65.030532
                  128.14                      -64.090116
                   128.4                      -62.952156
                  128.66                      -62.123487
                  128.92                      -61.656542
                  129.18                         -61.236
                  129.44                      -60.483473
                   129.7                      -59.244059
                  129.96                      -57.673492
                  130.22                      -56.124167
                  130.48                      -54.900912
                  130.74                      -54.013439
                     131                      -53.103646
                  131.26                      -51.607382
                  131.52                      -49.000625
                  131.78                      -44.965361
                  132.04                      -39.459052
                   132.3                      -32.720256
                  132.56                      -25.172854
                  132.82                      -17.216474
                  133.08                      -9.0629941
                  133.34                     -0.80416688
                   133.6                       7.3596151
                  133.86                       15.006026
                  134.12                       21.643755
                  134.38                       26.972206
                  134.64                       31.006161
                   134.9                       34.017205
                  135.16                       36.378034
                  135.42                       38.391123
                  135.68                       40.171564
                  135.94                        41.64147
                   136.2                       42.632009
                  136.46                       43.024184
                  136.72                       42.849976
                  136.98                       42.301069
                  137.24                       41.628773
                   137.5                       40.985876
                  137.76                       40.323721
                  138.02                       39.425915
                  138.28                       38.055331
                  138.54                       36.121847
                   138.8                       33.766574
                  139.06                       31.284534
