        Frequency / MHz                Port 1 [1] (6)/abs,linear
                  108.12                       407.74211
                  108.38                       436.45635
                  108.64                        467.5023
                   108.9                       503.29429
                  109.16                       543.58719
                  109.42                       583.52324
                  109.68                       614.86224
                  109.94                       632.13741
                   110.2                       637.97134
                  110.46                        639.6117
                  110.72                       640.96265
                  110.98                       638.75111
                  111.24                       625.57362
                   111.5                       598.02725
                  111.76                       561.46036
                  112.02                       525.10764
                  112.28                       494.95379
                  112.54                       471.52569
                   112.8                       451.44228
                  113.06                       430.46745
                  113.32                       406.75158
                  113.58                       382.01962
                  113.84                        359.7568
                   114.1                        342.6152
                  114.36                       331.11431
                  114.62                       323.66922
                  114.88                       317.53815
                  115.14                       310.50214
                   115.4                       302.40543
                  115.66                       295.21079
                  115.92                       291.55934
                  116.18                       293.14746
                  116.44                       299.76213
                   116.7                       309.12826
                  116.96                       317.91076
                  117.22                       323.98765
                  117.48                       328.38439
                  117.74                       334.70494
                     118                       346.55776
                  118.26                       364.96298
                  118.52                       386.56502
                  118.78                       403.91934
                  119.04                       410.52094
                   119.3                       407.51584
                  119.56                       402.67108
                  119.82                       402.87942
                  120.08                       408.61921
                  120.34                       412.22246
                   120.6                       402.28885
                  120.86                       375.65216
                  121.12                       341.48639
                  121.38                       310.62392
                  121.64                       287.61741
                   121.9                       270.35526
                  122.16                       251.97366
                  122.42                       225.76575
                  122.68                       191.69634
                  122.94                       155.53129
                   123.2                       122.69248
                  123.46                       96.539343
                  123.72                       80.735559
                  123.98                       80.604221
                  124.24                       99.108478
                   124.5                       135.74226
                  124.76                       193.64884
                  125.02                       286.24979
                  125.28                       449.54496
                  125.54                       770.56655
                   125.8                        1221.226
                  126.06                       1100.6224
                  126.32                       839.67417
                  126.58                       695.12079
                  126.84                        599.8287
                   127.1                       514.93442
                  127.36                       436.67558
                  127.62                       372.07856
                  127.88                       323.59037
                  128.14                       288.94786
                   128.4                       264.12104
                  128.66                       244.87816
                  128.92                       227.83347
                  129.18                       211.33713
                  129.44                       195.49684
                   129.7                       181.21829
                  129.96                       169.13223
                  130.22                       159.03696
                  130.48                       149.91839
                  130.74                       140.48248
                     131                       129.93771
                  131.26                       118.43705
                  131.52                       106.85112
                  131.78                       96.222998
                  132.04                       87.365604
                   132.3                       80.690657
                  132.56                       76.190475
                  132.82                       73.573866
                  133.08                       72.547977
                  133.34                       73.075817
                   133.6                       75.393706
                  133.86                       79.771775
                  134.12                        86.22848
                  134.38                       94.419292
                  134.64                       103.74479
                   134.9                       113.59749
                  135.16                        123.6394
                  135.42                        133.9655
                  135.68                       145.01845
                  135.94                       157.27849
                   136.2                       170.91872
                  136.46                       185.62373
                  136.72                        200.6903
                  136.98                       215.43379
                  137.24                       229.70912
                   137.5                       244.11977
                  137.76                       259.64564
                  138.02                       276.92026
                  138.28                       295.63741
                  138.54                       314.47818
                   138.8                       331.78663
                  139.06                       346.74695
                  139.32                       360.06289
                  139.58                       373.31796
                  139.84                       387.50263
                   140.1                       401.89052
                  140.36                       414.10524
                  140.62                        421.6247
                  140.88                       423.79346
                  141.14                       422.34502
                   141.4                       419.79615
                  141.66                       417.42053
                  141.92                       414.48979
                  142.18                       409.10368
                  142.44                       399.94691
                   142.7                       387.55526
                  142.96                         373.939
                  143.22                       361.09211
                  143.48                       349.82789
                  143.74                       339.62951
                     144                       329.33773
                  144.26                       318.14808
                  144.52                       306.24014
                  144.78                       294.60968
                  145.04                         284.354
                   145.3                       276.03024
                  145.56                       269.45981
                  145.82                       263.98454
                  146.08                       258.97845
                  146.34                       254.30319
                   146.6                       250.41184
                  146.86                       248.05689
                  147.12                       247.84442
                  147.38                       249.92504
                  147.64                       253.96883
                   147.9                       259.41883
                  148.16                       265.89126
                  148.42                       273.48604
                  148.68                       282.79198
                  148.94                       294.57494
                   149.2                       309.35128
                  149.46                       327.09208
                  149.72                       347.22506
                  149.98                       368.99597
                  150.24                       392.06082
                   150.5                        416.9209
                  150.76                       444.79186
                  151.02                       476.87636
                  151.28                       513.41349
                  151.54                       553.03537
                   151.8                       593.01733
                  152.06                       630.70022
                  152.32                       665.14999
                  152.58                       697.18194
                  152.84                       727.21928
                   153.1                       752.81487
                  153.36                       768.51633
                  153.62                       769.40258
                  153.88                       755.52027
                  154.14                       731.94913
                   154.4                       704.47236
                  154.66                       675.99778
                  154.92                       646.39469
                  155.18                       614.59093
                  155.44                       580.68569
                   155.7                       546.40441
                  155.96                       513.95051
                  156.22                       484.67682
                  156.48                       458.60834
                  156.74                       434.82138
                     157                       412.22736
                  157.26                       390.25643
                  157.52                       369.05194
                  157.78                       349.14874
                  158.04                       330.97808
                   158.3                       314.56081
                  158.56                       299.51453
                  158.82                       285.29755
                  159.08                        271.5126
                  159.34                       258.07887
                   159.6                       245.18055
                  159.86                       233.06514
                  160.12                       221.84849
                  160.38                       211.43852
                  160.64                       201.59655
                   160.9                       192.08036
                  161.16                       182.77447
                  161.42                       173.72817
                  161.68                       165.09037
                  161.94                       156.99828
                   162.2                       149.49324
                  162.46                        142.5067
                  162.72                       135.91555
                  162.98                        129.6291
                  163.24                       123.65316
                   163.5                       118.09367
                  163.76                       113.10281
                  164.02                       108.80439
                  164.28                       105.24228
                  164.54                       102.38045
                   164.8                       100.15332
                  165.06                       98.534026
                  165.32                       97.572924
                  165.58                       97.376384
                  165.84                       98.036487
                   166.1                       99.556431
                  166.36                       101.82136
                  166.62                       104.63644
                  166.88                       107.80985
                  167.14                       111.22536
                   167.4                       114.85285
                  167.66                        118.6872
                  167.92                        122.6584
                  168.18                       126.57936
                  168.44                       130.17806
                   168.7                        133.2074
                  168.96                       135.56815
                  169.22                       137.36157
                  169.48                       138.83638
                  169.74                       140.27474
                     170                       141.90098
                  170.26                       143.86613
                  170.52                       146.29823
                  170.78                       149.36177
                  171.04                       153.26727
                   171.3                       158.21175
                  171.56                       164.28101
                  171.82                        171.3721
                  172.08                       179.18771
                  172.34                       187.32253
                   172.6                       195.41199
                  172.86                       203.26015
                  173.12                       210.85283
                  173.38                       218.23325
                  173.64                       225.32475
                   173.9                       231.83727
                  174.16                       237.34566
                  174.42                       241.50681
                  174.68                        244.2572
                  174.94                       245.82209
                   175.2                       246.51882
                  175.46                       246.51382
                  175.72                        245.7233
                  175.98                       243.92749
                  176.24                       241.00591
                   176.5                       237.10598
                  176.76                       232.61013
                  177.02                        227.9361
                  177.28                       223.33223
                  177.54                        218.8097
                   177.8                       214.24006
                  178.06                       209.53645
                  178.32                       204.78779
                  178.58                       200.25579
                  178.84                        196.2493
                   179.1                       192.97488
                  179.36                       190.46361
                  179.62                       188.61226
                  179.88                       187.30453
                  180.14                        186.5311
                   180.4                       186.43003
                  180.66                       187.22367
                  180.92                       189.09915
                  181.18                       192.11247
                  181.44                       196.17475
                   181.7                       201.12782
                  181.96                       206.86391
                  182.22                       213.41595
                  182.48                        220.9587
                  182.74                       229.71757
                     183                       239.84292
                  183.26                       251.32904
                  183.52                       264.03201
                  183.78                       277.78806
                  184.04                       292.57313
                   184.3                       308.60253
                  184.56                       326.29101
                  184.82                        346.0817
                  185.08                        368.2431
                  185.34                       392.76396
                   185.6                       419.44052
                  185.86                       448.15458
                  186.12                       479.19477
                  186.38                       513.37555
                  186.64                       551.79328
                   186.9                       595.29332
                  187.16                       643.92231
                  187.42                       696.72574
                  187.68                       752.17569
                  187.94                       809.07143
                   188.2                       867.03602
                  188.46                       925.61105
                  188.72                       982.05053
                  188.98                        1029.603
                  189.24                       1059.0705
                   189.5                       1064.3084
                  189.76                       1046.6561
                  190.02                       1012.8619
                  190.28                       969.43669
                  190.54                       919.84531
                   190.8                       865.71301
                  191.06                        809.0598
                  191.32                       752.92674
                  191.58                       700.29224
                  191.84                       652.83673
                   192.1                       610.63046
                  192.36                       572.67816
                  192.62                       537.77962
                  192.88                       505.19994
                  193.14                       474.84964
                   193.4                       447.00549
                  193.66                       421.88065
                  193.92                        399.3538
                  194.18                       378.97098
                  194.44                       360.15357
                   194.7                       342.45702
                  194.96                       325.72036
                  195.22                       310.03002
                  195.48                       295.55066
                  195.74                       282.35017
                     196                       270.32085
                  196.26                       259.22315
                  196.52                       248.80945
                  196.78                       238.94567
                  197.04                       229.65613
                   197.3                       221.07128
                  197.56                       213.32165
                  197.82                        206.4477
                  198.08                       200.37543
                  198.34                       194.96613
