        Frequency / MHz                Port 1 [1]/arg,degrees
                  104.74                       29.304074
                     105                       28.876788
                  105.26                       28.366169
                  105.52                        27.74657
                  105.78                       26.962829
                  106.04                       25.967139
                   106.3                       24.753517
                  106.56                       23.364425
                  106.82                       21.861292
                  107.08                       20.277842
                  107.34                       18.591497
                   107.6                       16.736911
                  107.86                       14.654724
                  108.12                       12.341755
                  108.38                       9.8637745
                  108.64                       7.3158986
                   108.9                       4.7579414
                  109.16                       2.1769304
                  109.42                     -0.49126477
                  109.68                      -3.2966185
                  109.94                      -6.2161257
                   110.2                      -9.1500965
                  110.46                       -11.98098
                  110.72                      -14.648108
                  110.98                      -17.176925
                  111.24                      -19.641723
                   111.5                       -22.09399
                  111.76                      -24.511865
                  112.02                      -26.809324
                  112.28                      -28.897156
                  112.54                      -30.745767
                   112.8                      -32.401344
                  113.06                      -33.947323
                  113.32                      -35.442578
                  113.58                      -36.880663
                  113.84                      -38.198334
                   114.1                      -39.325474
                  114.36                      -40.237618
                  114.62                      -40.973062
                  114.88                      -41.605518
                  115.14                      -42.193702
                   115.4                      -42.742538
                  115.66                       -43.20226
                  115.92                      -43.505328
                  116.18                       -43.61379
                  116.44                      -43.543583
                   116.7                      -43.350728
                  116.96                      -43.090249
                  117.22                      -42.775379
                  117.48                      -42.364498
                  117.74                      -41.784949
                     118                      -40.976982
                  118.26                      -39.927264
                  118.52                      -38.669676
                  118.78                      -37.252886
                  119.04                      -35.695051
                   119.3                      -33.955389
                  119.56                      -31.943253
                  119.82                      -29.560623
                  120.08                      -26.750855
                  120.34                      -23.521733
                   120.6                      -19.926169
                  120.86                      -16.010589
                  121.12                      -11.766349
                  121.38                      -7.1252373
                  121.64                      -2.0143883
                   121.9                       3.5588855
                  122.16                       9.4538803
                  122.42                        15.42554
                  122.68                       21.226339
                  122.94                       26.707336
                   123.2                       31.842289
                  123.46                       36.659273
                  123.72                       41.127004
                  123.98                       45.061775
                  124.24                       48.084743
                   124.5                       49.594087
                  124.76                       48.688495
                  125.02                       44.088695
                  125.28                       34.604076
                  125.54                       21.343216
                   125.8                       9.3355508
                  126.06                       2.7807698
                  126.32                       1.7218514
                  126.58                       4.4131122
                  126.84                       9.0795882
                   127.1                       14.293065
                  127.36                       19.061043
                  127.62                       22.860586
                  127.88                       25.576476
                  128.14                       27.353824
                   128.4                       28.409438
                  128.66                       28.858611
                  128.92                       28.619429
                  129.18                       27.420161
                  129.44                       24.881924
                   129.7                       20.629571
                  129.96                       14.385574
                  130.22                       6.0008295
                  130.48                      -4.5580869
                  130.74                      -17.067747
                     131                      -30.626402
                  131.26                      -43.569105
                  131.52                      -54.391224
                  131.78                      -62.630067
                  132.04                      -68.673763
                   132.3                      -73.157389
                  132.56                      -76.607206
                  132.82                      -79.349969
                  133.08                      -81.550943
                  133.34                      -83.291407
                   133.6                       -84.63436
                  133.86                      -85.654799
                  134.12                      -86.436964
                  134.38                      -87.055663
                  134.64                      -87.559353
                   134.9                      -87.965563
                  135.16                      -88.269618
                  135.42                      -88.459821
                  135.68                      -88.529793
                  135.94                      -88.482285
                   136.2                      -88.324568
                  136.46                      -88.059509
                  136.72                      -87.676998
                  136.98                      -87.148496
                  137.24                       -86.42423
                   137.5                      -85.429644
                  137.76                      -84.055463
                  138.02                      -82.133116
                  138.28                      -79.380029
                  138.54                      -75.278058
                   138.8                      -68.789175
                  139.06                      -57.684108
                  139.32                      -37.530294
                  139.58                      -5.7852822
                  139.84                       24.086621
                   140.1                       41.904164
                  140.36                       51.691796
                  140.62                       57.439853
                  140.88                       61.079049
                  141.14                        63.52308
                   141.4                       65.233041
                  141.66                       66.454066
                  141.92                       67.321372
                  142.18                       67.914669
                  142.44                       68.288841
                   142.7                       68.489922
                  142.96                       68.559659
                  143.22                        68.53204
                  143.48                       68.427124
                  143.74                       68.248151
                     144                        67.98551
                  144.26                       67.626423
                  144.52                       67.165128
                  144.78                       66.607498
                  145.04                       65.967001
                   145.3                       65.254293
                  145.56                       64.467263
                  145.82                       63.588569
                  146.08                       62.592818
                  146.34                       61.458841
                   146.6                       60.178574
                  146.86                       58.755648
                  147.12                       57.193579
                  147.38                       55.481308
                  147.64                       53.586909
                   147.9                       51.465239
                  148.16                       49.075399
                  148.42                       46.395919
                  148.68                       43.425648
                  148.94                       40.168043
                   149.2                        36.61085
                  149.46                       32.720208
                  149.72                       28.459666
                  149.98                        23.82482
                  150.24                       18.867936
                   150.5                       13.689795
                  150.76                        8.402196
                  151.02                       3.0930913
                  151.28                      -2.1755648
                  151.54                      -7.3411074
                   151.8                       -12.31794
                  152.06                      -17.007389
                  152.32                      -21.333198
                  152.58                      -25.270284
                  152.84                      -28.842506
                   153.1                      -32.094121
                  153.36                      -35.058864
                  153.62                      -37.747686
                  153.88                      -40.159048
                  154.14                      -42.298883
                   154.4                      -44.192784
                  154.66                      -45.881934
                  154.92                      -47.407473
                  155.18                      -48.795477
                  155.44                      -50.052778
                   155.7                      -51.175394
                  155.96                      -52.162415
                  156.22                      -53.025194
                  156.48                      -53.786038
                  156.74                      -54.468491
                     157                      -55.086715
                  157.26                      -55.641425
                  157.52                      -56.124784
                  157.78                       -56.53032
                  158.04                      -56.860679
                   158.3                      -57.128105
                  158.56                      -57.347885
                  158.82                      -57.529726
                  159.08                      -57.673136
                  159.34                      -57.769807
                   159.6                      -57.811029
                  159.86                      -57.794785
                  160.12                      -57.727679
                  160.38                      -57.620645
                  160.64                      -57.481689
                   160.9                      -57.310729
                  161.16                      -57.100044
                  161.42                      -56.839835
                  161.68                      -56.524892
                  161.94                       -56.15775
                   162.2                      -55.746297
                  162.46                      -55.297619
                  162.72                      -54.812394
                  162.98                      -54.283695
                  163.24                      -53.700938
                   163.5                      -53.056189
                  163.76                      -52.348426
                  164.02                       -51.58287
                  164.28                      -50.765896
                  164.54                      -49.899054
                   164.8                       -48.97636
                  165.06                      -47.986745
                  165.32                      -46.920006
                  165.58                      -45.772144
                  165.84                      -44.546405
                   166.1                      -43.249282
                  166.36                       -41.88424
                  166.62                      -40.447572
                  166.88                      -38.929429
                  167.14                      -37.319496
                   167.4                      -35.613466
                  167.66                      -33.815807
                  167.92                      -31.936825
                  168.18                      -29.986018
                  168.44                      -27.966495
                   168.7                      -25.874671
                  168.96                      -23.705716
                  169.22                      -21.461035
                  169.48                      -19.152328
                  169.74                      -16.799091
                     170                       -14.42113
                  170.26                      -12.031413
                  170.52                      -9.6345194
                  170.78                      -7.2318051
                  171.04                      -4.8293345
                   171.3                      -2.4424135
                  171.56                    -0.093016675
                  171.82                        2.198253
                  172.08                       4.4198346
                  172.34                       6.5708683
                   172.6                       8.6556733
                  172.86                       10.675253
                  173.12                       12.622254
                  173.38                       14.483186
                  173.64                       16.246225
                   173.9                       17.908634
                  174.16                       19.478074
                  174.42                       20.966559
                  174.68                       22.381414
                  174.94                       23.720061
                   175.2                        24.97287
                  175.46                       26.132282
                  175.72                       27.201336
                  175.98                       28.194439
                  176.24                       29.128367
                   176.5                       30.008803
                  176.76                       30.822211
                  177.02                        31.54057
                  177.28                       32.138473
                  177.54                       32.613287
                   177.8                       32.995292
                  178.06                       33.338823
                  178.32                       33.696301
                  178.58                       34.088897
                  178.84                       34.491833
                   179.1                        34.84449
                  179.36                       35.080648
                  179.62                       35.162386
                  179.88                       35.098908
                  180.14                       34.939007
                   180.4                       34.740425
                  180.66                       34.534034
                  180.92                       34.305309
                  181.18                        34.00483
                  181.44                       33.580929
                   181.7                       33.014206
                  181.96                       32.332358
                  182.22                       31.594846
                  182.48                        30.85557
                  182.74                        30.12715
                     183                       29.370126
                  183.26                       28.513709
                  183.52                       27.495235
                  183.78                       26.295695
                  184.04                       24.951714
                   184.3                       23.537631
                  184.56                       22.129118
                  184.82                       20.770866
                  185.08                       19.465665
                  185.34                       18.185472
                   185.6                       16.891583
                  185.86                        15.55017
                  186.12                       14.138093
                  186.38                        12.64307
                  186.64                       11.064803
                   186.9                        9.418534
                  187.16                        7.735502
                  187.42                        6.053714
                  187.68                       4.4000261
                  187.94                       2.7744482
                   188.2                       1.1497825
                  188.46                     -0.50954317
                  188.72                      -2.2198917
                  188.98                      -3.9612756
                  189.24                      -5.6852589
                   189.5                      -7.3450086
                  189.76                      -8.9264432
                  190.02                       -10.45686
                  190.28                      -11.983656
                  190.54                      -13.537548
                   190.8                      -15.106544
                  191.06                      -16.640758
                  191.32                        -18.0862
                  191.58                      -19.422859
                  191.84                      -20.678403
                   192.1                      -21.907415
                  192.36                      -23.151043
                  192.62                      -24.405764
                  192.88                       -25.62442
                  193.14                      -26.749902
                   193.4                       -27.75679
                  193.66                      -28.669975
                  193.92                      -29.547071
                  194.18                      -30.437456
                  194.44                      -31.346714
                   194.7                      -32.232196
                  194.96                      -33.033946
                  195.22                      -33.718692
                  195.48                      -34.304515
                  195.74                       -34.84879
                     196                      -35.408272
                  196.26                      -35.998971
                  196.52                      -36.584297
                  196.78                      -37.101174
                  197.04                      -37.505868
                   197.3                      -37.806119
                  197.56                      -38.056768
                  197.82                      -38.322181
                  198.08                      -38.631058
                  198.34                      -38.955154
                   198.6                      -39.228471
                  198.86                      -39.394389
                  199.12                      -39.446798
                  199.38                       -39.43586
                  199.64                      -39.434363
                   199.9                      -39.487019
                  200.16                      -39.577389
                  200.42                      -39.637382
                  200.68                      -39.594754
                  200.94                      -39.425078
                   201.2                      -39.170989
                  201.46                       -38.91491
                  201.72                      -38.722533
                  201.98                      -38.594677
                  202.24                      -38.462872
                   202.5                      -38.235417
                  202.76                      -37.862729
                  203.02                      -37.375337
                  203.28                      -36.867164
                  203.54                      -36.433111
                   203.8                      -36.100708
                  204.06                      -35.804462
                  204.32                      -35.426804
                  204.58                      -34.880793
                  204.84                      -34.176314
                   205.1                      -33.422092
                  205.36                      -32.758019
                  205.62                      -32.257353
                  205.88                       -31.86507
                  206.14                      -31.424771
                   206.4                      -30.785732
                  206.66                      -29.917658
                  206.92                      -28.951304
                  207.18                      -28.110217
                  207.44                      -27.564284
                   207.7                      -27.293791
                  207.96                      -27.071631
                  208.22                      -26.606763
                  208.48                      -25.768406
                  208.74                      -24.743175
                     209                      -24.018516
