        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -2.8149998e-09
             0.038694985                   1.4218872e-06
              0.07738997                   1.5307178e-06
              0.11608496                   1.6446877e-06
              0.15477994                   1.7636969e-06
              0.19347493                   1.8875866e-06
              0.23216993                   2.0161431e-06
               0.2708649                   2.1490739e-06
              0.30955988                    2.286017e-06
              0.34825486                   2.4265196e-06
              0.38694987                   2.5700313e-06
              0.42564484                   2.7159017e-06
              0.46433985                   2.8633585e-06
              0.50303483                    3.011505e-06
              0.54172981                   3.1593045e-06
              0.58042485                    3.305566e-06
              0.61911976                   3.4489374e-06
              0.65781474                   3.5878841e-06
              0.69650972                    3.720678e-06
              0.73520476                   3.8453854e-06
              0.77389973                   3.9598444e-06
              0.81259471                    4.061656e-06
              0.85128969                   4.1481608e-06
              0.88998467                   4.2164252e-06
               0.9286797                   4.2632241e-06
              0.96737462                   4.2850206e-06
               1.0060697                   4.2779488e-06
               1.0447646                   4.2377956e-06
               1.0834596                   4.1599787e-06
               1.1221546                   4.0395348e-06
               1.1608497                   3.8710928e-06
               1.1995445                   3.6488609e-06
               1.2382395                    3.366607e-06
               1.2769345                   3.0176413e-06
               1.3156295                      2.5948e-06
               1.3543246                    2.090429e-06
               1.3930194                   1.4963717e-06
               1.4317145                   8.0395296e-07
               1.4704095                   3.9709218e-09
               1.5091045                   -9.133131e-07
               1.5477995                  -1.9581823e-06
               1.5864944                   -3.141467e-06
               1.6251894                  -4.4745457e-06
               1.6638844                  -5.9693443e-06
               1.7025794                  -7.6383276e-06
               1.7412744                  -9.4944917e-06
               1.7799693                  -1.1551347e-05
               1.8186643                  -1.3822897e-05
               1.8573594                  -1.6323616e-05
               1.8960544                  -1.9068415e-05
               1.9347492                  -2.2072603e-05
               1.9734443                  -2.5351845e-05
               2.0121393                  -2.8922099e-05
               2.0508342                  -3.2799566e-05
               2.0895293                  -3.7000616e-05
               2.1282244                  -4.1541698e-05
               2.1669192                  -4.6439272e-05
               2.2056141                  -5.1709685e-05
               2.2443092                  -5.7369067e-05
               2.2830043                  -6.3433217e-05
               2.3216994                  -6.9917442e-05
                2.360394                  -7.6836448e-05
               2.3990891                  -8.4204126e-05
               2.4377842                  -9.2033421e-05
               2.4764791                   -0.0001003361
               2.5151742                  -0.00010912259
                2.553869                  -0.00011840169
               2.5925641                   -0.0001281804
                2.631259                  -0.00013846363
               2.6699541                   -0.0001492539
               2.7086492                  -0.00016055112
                2.747344                  -0.00017235223
               2.7860389                  -0.00018465085
                2.824734                  -0.00019743705
               2.8634291                  -0.00021069686
               2.9021239                  -0.00022441195
                2.940819                  -0.00023855927
               2.9795139                  -0.00025311054
                3.018209                  -0.00026803199
               3.0569038                  -0.00028328373
               3.0955989                  -0.00029881945
                3.134294                  -0.00031458581
               3.1729889                  -0.00033052216
               3.2116838                  -0.00034655983
               3.2503788                  -0.00036262179
               3.2890739                  -0.00037862209
               3.3277688                  -0.00039446531
               3.3664637                   -0.0004100462
               3.4051588                  -0.00042524896
               3.4438539                  -0.00043994692
               3.4825487                  -0.00045400191
               3.5212438                  -0.00046726392
               3.5599387                  -0.00047957042
               3.5986338                  -0.00049074611
               3.6373286                  -0.00050060241
               3.6760237                  -0.00050893688
               3.7147188                   -0.0005155332
               3.7534137                  -0.00052016048
               3.7921088                  -0.00052257319
               3.8308036                  -0.00052251073
               3.8694985                   -0.0005196975
               3.9081938                  -0.00051384239
               3.9468887                  -0.00050463894
               3.9855833                  -0.00049176539
               4.0242786                  -0.00047488447
               4.0629735                  -0.00045364394
               4.1016684                  -0.00042767648
               4.1403637                  -0.00039660026
               4.1790586                   -0.0003600193
               4.2177539                   -0.0003175241
               4.2564487                  -0.00026869224
               4.2951431                  -0.00021308933
               4.3338385                   -0.0001502698
               4.3725333                  -7.9778161e-05
               4.4112282                  -1.1501442e-06
               4.4499235                   8.6085871e-05
               4.4886184                   0.00018240727
               4.5273132                   0.00028829544
               4.5660086                   0.00040423399
               4.6047034                   0.00053070643
               4.6433988                   0.00066819409
               4.6820931                   0.00081717351
                4.720788                   0.00097811385
               4.7594833                     0.001151474
               4.7981782                    0.0013376995
               4.8368731                    0.0015372192
               4.8755684                    0.0017504417
               4.9142632                    0.0019777524
               4.9529581                    0.0022195082
               4.9916534                    0.0024760347
               5.0303483                    0.0027476212
               5.0690436                    0.0030345167
                5.107738                    0.0033369251
               5.1464329                    0.0036549997
               5.1851282                    0.0039888388
               5.2238231                    0.0043384815
               5.2625179                    0.0047038994
               5.3012133                    0.0050849947
               5.3399081                    0.0054815928
                5.378603                    0.0058934363
