        Frequency / MHz                S1,1/arg,degrees
                  105.26                      -105.11833
                  105.52                      -108.40091
                  105.78                      -111.73563
                  106.04                      -115.12586
                   106.3                        -118.575
                  106.56                      -122.08648
                  106.82                      -125.66392
                  107.08                      -129.31096
                  107.34                      -133.03145
                   107.6                      -136.82964
                  107.86                      -140.70979
                  108.12                      -144.67682
                  108.38                      -148.73553
                  108.64                       -152.8914
                   108.9                      -157.14983
                  109.16                      -161.51629
                  109.42                      -165.99629
                  109.68                      -170.59503
                  109.94                       -175.3177
                   110.2                       179.83101
                  110.46                        174.8471
                  110.72                       169.72714
                  110.98                       164.46833
                  111.24                       159.06942
                   111.5                       153.52987
                  111.76                       147.85064
                  112.02                       142.03416
                  112.28                       136.08436
                  112.54                       130.00768
                   112.8                       123.81133
                  113.06                        117.5057
                  113.32                       111.10248
                  113.58                       104.61555
                  113.84                        98.06075
                   114.1                       91.455465
                  114.36                       84.818816
                  114.62                       78.170474
                  114.88                       71.531093
                  115.14                       64.921326
                   115.4                       58.361394
                  115.66                       51.870857
                  115.92                       45.467637
                  116.18                       39.168237
                  116.44                       32.986641
                   116.7                       26.935315
                  116.96                       21.023427
                  117.22                       15.258531
                  117.48                       9.6454264
                  117.74                       4.1871762
                     118                      -1.1153454
                  118.26                      -6.2624665
                  118.52                      -11.255936
                  118.78                      -16.098703
                  119.04                      -20.794269
                   119.3                      -25.346781
                  119.56                      -29.761159
                  119.82                      -34.042213
                  120.08                       -38.19573
                  120.34                      -42.227184
                   120.6                      -46.142902
                  120.86                      -49.949558
                  121.12                      -53.653708
                  121.38                      -57.262233
                  121.64                      -60.782019
                   121.9                      -64.220175
                  122.16                      -67.583249
                  122.42                      -70.877696
                  122.68                      -74.109413
                  122.94                      -77.283647
                   123.2                      -80.405864
                  123.46                      -83.480323
                  123.72                      -86.511507
                  123.98                      -89.503457
                  124.24                          -92.46
                   124.5                      -95.385179
                  124.76                      -98.282819
                  125.02                      -101.15718
                  125.28                       -104.0122
                  125.54                      -106.85159
                   125.8                      -109.67929
                  126.06                       -112.4989
                  126.32                      -115.31371
                  126.58                      -118.12686
                  126.84                      -120.94102
                   127.1                      -123.75888
                  127.36                      -126.58286
                  127.62                      -129.41548
                  127.88                      -132.25935
                  128.14                      -135.11743
               128.39999                      -137.99288
                  128.66                      -140.88899
                  128.92                      -143.81002
               129.17999                      -146.75978
                  129.44                      -149.74267
                   129.7                      -152.76292
               129.96001                      -155.82525
                  130.22                      -158.93348
                  130.48                       -162.0922
               130.74001                      -165.30533
                     131                      -168.57694
               131.25999                      -171.91116
                  131.52                      -175.31227
                  131.78                      -178.78463
               132.03999                       177.66695
                   132.3                       174.03788
                  132.56                       170.32291
               132.81999                       166.51724
                  133.08                       162.61616
                  133.34                       158.61564
               133.60001                       154.51206
                  133.86                       150.30335
                  134.12                       145.98821
                  134.38                       141.56727
                  134.64                       137.04273
               134.89999                       132.41831
                  135.16                       127.69991
                  135.42                       122.89473
               135.67999                       118.01175
                  135.94                        113.0609
                   136.2                       108.05344
               136.46001                       103.00129
                  136.72                       97.916679
                  136.98                       92.811521
               137.24001                        87.69795
                   137.5                       82.586892
               137.75999                       77.488402
                  138.02                        72.41155
                  138.28                       67.363439
               138.53999                        62.35019
                   138.8                       57.376061
                  139.06                       52.443903
               139.31999                       47.554359
                  139.58                       42.707329
                  139.84                       37.900842
               140.10001                       33.132058
                  140.36                       28.397045
                  140.62                       23.691318
                  140.88                       19.009743
                  141.14                       14.347292
               141.39999                       9.6989379
                  141.66                       5.0603104
                  141.92                       0.4274751
               142.17999                      -4.2027372
                  142.44                      -8.8322943
                   142.7                      -13.462288
               142.96001                       -18.09261
                  143.22                      -22.722385
                  143.48                       -27.34932
               143.74001                       -31.97057
