        Frequency / MHz                S1,1/abs,dB
                  100.58                       -13.94328
                  100.84                      -13.881885
                   101.1                        -13.8204
                  101.36                      -13.758833
                  101.62                      -13.697265
                  101.88                      -13.635838
                  102.14                      -13.574746
                   102.4                      -13.514213
                  102.66                       -13.45447
                  102.92                      -13.395739
                  103.18                       -13.33822
                  103.44                      -13.282085
                   103.7                      -13.227475
                  103.96                      -13.174513
                  104.22                      -13.123305
                  104.48                       -13.07396
                  104.74                      -13.026593
                     105                      -12.981335
                  105.26                      -12.938338
                  105.52                      -12.897771
                  105.78                      -12.859817
                  106.04                      -12.824659
                   106.3                      -12.792481
                  106.56                      -12.763449
                  106.82                      -12.737714
                  107.08                      -12.715403
                  107.34                      -12.696622
                   107.6                      -12.681458
                  107.86                       -12.66999
                  108.12                       -12.66229
                  108.38                      -12.658439
                  108.64                      -12.658528
                   108.9                      -12.662664
                  109.16                      -12.670973
                  109.42                      -12.683599
                  109.68                      -12.700697
                  109.94                      -12.722426
                   110.2                      -12.748943
                  110.46                      -12.780385
                  110.72                      -12.816859
                  110.98                      -12.858429
                  111.24                      -12.905102
                   111.5                      -12.956814
                  111.76                      -13.013421
                  112.02                      -13.074687
                  112.28                      -13.140279
                  112.54                      -13.209767
                   112.8                      -13.282625
                  113.06                      -13.358238
                  113.32                      -13.435921
                  113.58                      -13.514934
                  113.84                      -13.594504
                   114.1                      -13.673859
                  114.36                      -13.752251
                  114.62                      -13.828987
                  114.88                       -13.90345
                  115.14                      -13.975118
                   115.4                      -14.043583
                  115.66                      -14.108547
                  115.92                      -14.169832
                  116.18                      -14.227366
                  116.44                      -14.281182
                   116.7                        -14.3314
                  116.96                      -14.378216
                  117.22                      -14.421895
                  117.48                      -14.462756
                  117.74                      -14.501157
                     118                      -14.537491
                  118.26                      -14.572162
                  118.52                      -14.605578
                  118.78                      -14.638129
                  119.04                      -14.670178
                   119.3                       -14.70204
                  119.56                      -14.733973
                  119.82                      -14.766174
                  120.08                      -14.798778
                  120.34                      -14.831864
                   120.6                      -14.865471
                  120.86                      -14.899607
                  121.12                       -14.93428
                  121.38                      -14.969506
                  121.64                      -15.005334
                   121.9                      -15.041845
                  122.16                      -15.079163
                  122.42                      -15.117448
                  122.68                      -15.156883
                  122.94                      -15.197659
                   123.2                      -15.239969
                  123.46                       -15.28398
                  123.72                      -15.329833
                  123.98                      -15.377638
                  124.24                      -15.427475
                   124.5                      -15.479405
                  124.76                      -15.533478
                  125.02                      -15.589752
                  125.28                      -15.648301
                  125.54                      -15.709221
                   125.8                      -15.772639
                  126.06                      -15.838699
                  126.32                      -15.907556
                  126.58                       -15.97936
                  126.84                      -16.054245
                   127.1                      -16.132305
                  127.36                      -16.213588
                  127.62                      -16.298094
                  127.88                      -16.385769
                  128.14                       -16.47652
               128.39999                      -16.570218
                  128.66                      -16.666725
                  128.92                      -16.765892
               129.17999                      -16.867581
                  129.44                      -16.971661
                   129.7                      -17.078008
               129.96001                      -17.186488
                  130.22                       -17.29695
                  130.48                      -17.409191
               130.74001                      -17.522948
                     131                      -17.637867
               131.25999                      -17.753491
                  131.52                      -17.869257
                  131.78                      -17.984481
               132.03999                       -18.09837
                   132.3                      -18.210028
                  132.56                      -18.318467
               132.81999                      -18.422612
                  133.08                      -18.521315
                  133.34                      -18.613357
               133.60001                      -18.697444
                  133.86                       -18.77222
                  134.12                      -18.836254
                  134.38                      -18.888054
                  134.64                       -18.92608
               134.89999                      -18.948766
                  135.16                      -18.954565
                  135.42                      -18.941991
               135.67999                      -18.909685
                  135.94                      -18.856481
                   136.2                      -18.781471
               136.46001                      -18.684061
                  136.72                       -18.56402
                  136.98                      -18.421499
               137.24001                      -18.257042
                   137.5                      -18.071559
               137.75999                      -17.866287
                  138.02                      -17.642746
                  138.28                      -17.402659
               138.53999                      -17.147895
                   138.8                      -16.880409
                  139.06                      -16.602182
               139.31999                      -16.315186
                  139.58                      -16.021354
                  139.84                      -15.722568
               140.10001                      -15.420651
                  140.36                      -15.117379
                  140.62                      -14.814484
                  140.88                      -14.513668
                  141.14                      -14.216606
               141.39999                       -13.92496
                  141.66                      -13.640368
                  141.92                      -13.364444
               142.17999                      -13.098762
                  142.44                      -12.844848
                   142.7                      -12.604151
               142.96001                      -12.378034
                  143.22                      -12.167748
                  143.48                      -11.974424
               143.74001                      -11.799048
                     144                      -11.642456
               144.25999                      -11.505325
                  144.52                      -11.388162
                  144.78                      -11.291311
               145.03999                      -11.214938
                   145.3                      -11.159051
                  145.56                      -11.123494
               145.81999                      -11.107957
                  146.08                      -11.111988
                  146.34                      -11.135008
               146.60001                      -11.176323
                  146.86                      -11.235147
                  147.12                      -11.310621
                  147.38                      -11.401838
                  147.64                      -11.507867
               147.89999                      -11.627781
                  148.16                      -11.760677
                  148.42                      -11.905703
               148.67999                      -12.062074
                  148.94                      -12.229082
                   149.2                      -12.406109
               149.46001                      -12.592624
                  149.72                      -12.788178
                  149.98                      -12.992398
               150.24001                      -13.204967
                   150.5                      -13.425621
               150.75999                      -13.654119
                  151.02                      -13.890249
                  151.28                       -14.13381
               151.53999                      -14.384613
                   151.8                      -14.642486
                  152.06                      -14.907278
               152.31999                      -15.178862
                  152.58                      -15.457149
                  152.84                      -15.742086
               153.10001                      -16.033654
                  153.36                      -16.331863
                  153.62                      -16.636733
                  153.88                      -16.948273
                  154.14                      -17.266449
               154.39999                      -17.591151
                  154.66                      -17.922166
                  154.92                      -18.259132
               155.17999                      -18.601516
                  155.44                      -18.948577
                   155.7                      -19.299341
               155.96001                      -19.652568
                  156.22                      -20.006721
                  156.48                      -20.359927
               156.74001                      -20.709939
                     157                       -21.05408
               157.25999                      -21.389211
                  157.52                      -21.711685
                  157.78                      -22.017352
               158.03999                        -22.3016
                   158.3                      -22.559458
                  158.56                      -22.785794
               158.81999                      -22.975584
                  159.08                      -23.124261
                  159.34                      -23.228088
               159.60001                      -23.284506
                  159.86                      -23.292392
                  160.12                      -23.252184
                  160.38                       -23.16583
                  160.64                      -23.036585
               160.89999                      -22.868699
                  161.16                      -22.667055
                  161.42                        -22.4368
               161.67999                       -22.18303
                  161.94                      -21.910537
                   162.2                      -21.623646
               162.46001                      -21.326112
                  162.72                      -21.021085
                  162.98                      -20.711122
               163.24001                      -20.398241
                   163.5                      -20.083991
               163.75999                      -19.769541
                  164.02                       -19.45577
                  164.28                      -19.143355
               164.53999                       -18.83284
                   164.8                      -18.524692
                  165.06                      -18.219341
               165.31999                      -17.917185
                  165.58                      -17.618601
                  165.84                      -17.323916
               166.10001                      -17.033408
                  166.36                      -16.747274
                  166.62                      -16.465633
                  166.88                      -16.188527
                  167.14                      -15.915931
               167.39999                      -15.647787
                  167.66                      -15.384031
                  167.92                      -15.124627
               168.17999                      -14.869598
                  168.44                      -14.619049
                   168.7                      -14.373173
               168.96001                      -14.132251
                  169.22                      -13.896637
                  169.48                      -13.666734
               169.74001                      -13.442975
                     170                      -13.225805
               170.25999                      -13.015667
                  170.52                      -12.813007
                  170.78                      -12.618289
               171.03999                      -12.432027
                   171.3                      -12.254816
                  171.56                       -12.08738
               171.81999                      -11.930608
                  172.08                      -11.785583
                  172.34                        -11.6536
               172.60001                      -11.536165
                  172.86                      -11.434979
                  173.12                      -11.351898
                  173.38                      -11.288892
                  173.64                      -11.247984
               173.89999                      -11.231187
                  174.16                      -11.240449
                  174.42                      -11.277591
               174.67999                      -11.344256
                  174.94                       -11.44187
                   175.2                      -11.571595
               175.46001                      -11.734312
                  175.72                      -11.930589
                  175.98                       -12.16067
               176.24001                      -12.424459
                   176.5                      -12.721519
               176.75999                      -13.051069
                  177.02                      -13.411991
                  177.28                      -13.802837
               177.53999                      -14.221854
                   177.8                      -14.666998
                  178.06                      -15.135963
               178.31999                       -15.62621
                  178.58                      -16.134978
                  178.84                      -16.659299
               179.10001                      -17.195975
                  179.36                       -17.74154
                  179.62                      -18.292189
                  179.88                      -18.843662
                  180.14                      -19.391124
               180.39999                      -19.929031
                  180.66                      -20.451034
                  180.92                      -20.949966
               181.17999                      -21.417961
                  181.44                      -21.846751
                   181.7                      -22.228183
               181.96001                      -22.554903
                  182.22                      -22.821121
                  182.48                       -23.02332
               182.74001                      -23.160706
                     183                      -23.235311
               183.25999                      -23.251692
                  183.52                      -23.216347
                  183.78                      -23.136957
               184.03999                      -23.021648
                   184.3                      -22.878363
                  184.56                      -22.714428
               184.81999                      -22.536258
                  185.08                      -22.349261
                  185.34                      -22.157812
               185.60001                      -21.965323
                  185.86                       -21.77435
                  186.12                      -21.586734
                  186.38                      -21.403735
                  186.64                      -21.226179
