        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
                  108.12                       502.15595
                  108.38                       516.89842
                  108.64                       528.49988
                   108.9                       536.49135
                  109.16                       540.58425
                  109.42                       540.71102
                  109.68                       537.03176
                  109.94                       529.90558
                   110.2                       519.83548
                  110.46                       507.40185
                  110.72                       493.19964
                  110.98                       477.78942
                  111.24                       461.66645
                   111.5                       445.24628
                  111.76                       428.86321
                  112.02                       412.77672
                  112.28                       397.18206
                  112.54                       382.22223
                   112.8                       367.99956
                  113.06                       354.58597
                  113.32                       342.03178
                  113.58                        330.3727
                  113.84                       319.63534
                   114.1                       309.84129
                  114.36                       301.00994
                  114.62                       293.16041
                  114.88                       286.31247
                  115.14                       280.48689
                   115.4                       275.70499
                  115.66                       271.98766
                  115.92                        269.3536
                  116.18                       267.81708
                  116.44                       267.38506
                   116.7                       268.05386
                  116.96                       269.80539
                  117.22                       272.60311
                  117.48                       276.38761
                  117.74                       281.07201
                     118                       286.53731
                  118.26                        292.6281
                  118.52                        299.1492
                  118.78                       305.86441
                  119.04                       312.49848
                   119.3                         318.744
                  119.56                       324.27416
                  119.82                       328.76186
                  120.08                       331.90393
                  120.34                       333.44763
                   120.6                       333.21476
                  120.86                       331.11865
                  121.12                       327.17003
                  121.38                       321.47058
                  121.64                       314.19591
                   121.9                         305.572
                  122.16                       295.85011
                  122.42                       285.28422
                  122.68                       274.11389
                  122.94                        262.5531
                   123.2                       250.78482
                  123.46                       238.95988
                  123.72                         227.199
                  123.98                       215.59652
                  124.24                       204.22495
                   124.5                       193.13982
                  124.76                       182.38427
                  125.02                       171.99335
                  125.28                       161.99797
                  125.54                       152.42852
                   125.8                       143.31828
                  126.06                       134.70674
                  126.32                       126.64276
                  126.58                       119.18764
                  126.84                       112.41767
                   127.1                       106.42554
                  127.36                       101.31977
                  127.62                       97.220681
                  127.88                       94.251912
                  128.14                       92.527391
                   128.4                        92.13577
                  128.66                       93.126707
                  128.92                       95.504049
                  129.18                       99.228697
                  129.44                       104.22987
                   129.7                       110.42027
                  129.96                       117.71041
                  130.22                       126.01923
                  130.48                       135.28037
                  130.74                       145.44492
                     131                       156.48176
                  131.26                       168.37661
                  131.52                       181.13064
                  131.78                       194.75878
                  132.04                       209.28817
                   132.3                       224.75666
                  132.56                       241.21126
                  132.82                       258.70644
                  133.08                       277.30205
                  133.34                       297.06047
                   133.6                       318.04287
                  133.86                       340.30383
                  134.12                       363.88396
                  134.38                       388.79959
                  134.64                       415.02897
                   134.9                       442.49407
                  135.16                       471.03776
                  135.42                       500.39703
                  135.68                        530.1743
                  135.94                       559.81193
                   136.2                       588.57791
                  136.46                       615.57412
                  136.72                       639.77919
                  136.98                       660.13353
                  137.24                       675.66263
                   137.5                       685.61731
                  137.76                       689.59535
                  138.02                       687.60689
                  138.28                       680.06197
                  138.54                       667.68646
                   138.8                       651.39588
                  139.06                        632.1648
                  139.32                       610.92091
                  139.58                       588.47696
                  139.84                        565.4996
                   140.1                       542.50587
                  140.36                       519.87687
                  140.62                       497.87932
                  140.88                       476.68908
                  141.14                       456.41305
                   141.4                       437.10782
                  141.66                       418.79469
                  141.92                        401.4713
                  142.18                        385.1203
                  142.44                       369.71563
                   142.7                       355.22718
                  142.96                       341.62406
                  143.22                       328.87704
                  143.48                       316.96028
                  143.74                       305.85257
                     144                        295.5382
                  144.26                       286.00742
                  144.52                       277.25669
                  144.78                       269.28865
                  145.04                       262.11188
                   145.3                       255.74047
                  145.56                       250.19318
                  145.82                       245.49235
                  146.08                       241.66222
                  146.34                       238.72671
                   146.6                       236.70668
                  146.86                       235.61652
                  147.12                       235.46032
                  147.38                       236.22754
                  147.64                       237.88846
                   147.9                       240.38949
                  148.16                       243.64869
                  148.42                       247.55185
                  148.68                       251.94969
                  148.94                       256.65702
                   149.2                        261.4547
                  149.46                       266.09542
                  149.72                       270.31415
                  149.98                       273.84311
                  150.24                       276.43067
                   150.5                        277.8617
                  150.76                       277.97631
                  151.02                       276.68339
                  151.28                        273.9661
                  151.54                       269.87842
                   151.8                       264.53369
                  152.06                       258.08795
                  152.32                        250.7216
                  152.58                       242.62232
                  152.84                       233.97149
                   153.1                       224.93475
                  153.36                       215.65679
                  153.62                       206.25942
                  153.88                       196.84212
                  154.14                        187.4841
                   154.4                       178.24725
                  154.66                       169.17931
                  154.92                       160.31708
                  155.18                       151.68938
                  155.44                       143.31986
                   155.7                       135.22942
                  155.96                       127.43857
                  156.22                       119.96959
                  156.48                       112.84865
                  156.74                       106.10798
                     157                       99.787947
                  157.26                       93.939058
                  157.52                       88.623559
                  157.78                       83.916094
                  158.04                       79.902688
                   158.3                       76.677045
                  158.56                        74.33339
                  158.82                       72.955964
                  159.08                       72.606946
                  159.34                       73.316264
                   159.6                       75.077069
                  159.86                        77.84872
                  160.12                       81.565978
                  160.38                       86.150867
                  160.64                       91.523613
                   160.9                       97.610593
                  161.16                       104.34894
                  161.42                       111.68845
                  161.68                       119.59176
                  161.94                       128.03354
                   162.2                       136.99946
                  162.46                       146.48499
                  162.72                       156.49439
                  162.98                       167.03993
                  163.24                       178.14127
                   163.5                       189.82514
                  163.76                       202.12507
                  164.02                       215.08149
                  164.28                       228.74182
                  164.54                       243.16078
                   164.8                       258.40076
                  165.06                       274.53225
                  165.32                       291.63433
                  165.58                       309.79515
                  165.84                       329.11234
                   166.1                       349.69322
                  166.36                       371.65476
                  166.62                       395.12289
                  166.88                       420.23093
                  167.14                       447.11663
                   167.4                       475.91718
                  167.66                       506.76118
                  167.92                       539.75639
                  168.18                       574.97168
                  168.44                       612.41118
                   168.7                       651.97892
                  168.96                       693.43268
                  169.22                       736.32814
                  169.48                       779.95856
                  169.74                       823.30199
                     170                       864.99753
                  170.26                       903.37938
                  170.52                       936.59727
                  170.78                         962.833
                  171.04                        980.5848
                   171.3                       988.94568
                  171.56                       987.78058
                  171.82                       977.73468
                  172.08                       960.07334
                  172.34                       936.42062
                   172.6                       908.48803
                  172.86                       877.86343
                  173.12                       845.88725
                  173.38                       813.60801
                  173.64                        781.7923
                   173.9                       750.96343
                  174.16                       721.44979
                  174.42                       693.43153
                  174.68                       666.98048
                  174.94                       642.09162
                   175.2                       618.70685
                  175.46                       596.73207
                  175.72                       576.04932
                  175.98                       556.52521
                  176.24                       538.01709
                   176.5                        520.3779
                  176.76                       503.46055
                  177.02                       487.12231
                  177.28                       471.22947
                  177.54                       455.66227
                   177.8                        440.3197
                  178.06                       425.12391
                  178.32                       410.02326
                  178.58                        394.9936
                  178.84                        380.0373
                   179.1                       365.17989
                  179.36                       350.46468
                  179.62                       335.94631
                  179.88                       321.68396
                  180.14                       307.73521
                   180.4                       294.15129
                  180.66                       280.97392
                  180.92                       268.23375
                  181.18                       255.95019
                  181.44                       244.13224
                   181.7                       232.77987
                  181.96                       221.88577
                  182.22                       211.43707
                  182.48                       201.41702
                  182.74                       191.80636
                     183                       182.58459
                  183.26                       173.73089
                  183.52                       165.22484
                  183.78                       157.04693
                  184.04                       149.17891
                   184.3                         141.604
                  184.56                       134.30705
                  184.82                       127.27463
                  185.08                       120.49523
                  185.34                       113.95939
                   185.6                       107.66002
                  185.86                       101.59265
                  186.12                       95.755929
                  186.38                       90.152071
                  186.64                       84.787568
                   186.9                       79.673995
                  187.16                       74.828993
                  187.42                       70.277386
                  187.68                       66.052309
                  187.94                       62.196139
                   188.2                       58.760843
                  188.46                       55.807159
                  188.72                       53.401862
                  188.98                       51.612479
                  189.24                       50.499441
                   189.5                       50.106904
                  189.76                       50.454832
                  190.02                       51.535295
                  190.28                       53.314555
                  190.54                       55.740018
                   190.8                       58.749327
                  191.06                       62.278771
                  191.32                       66.269365
                  191.58                       70.670333
                  191.84                       75.440516
                   192.1                       80.548448
                  192.36                       85.971737
                  192.62                       91.696188
                  192.88                       97.714894
                  193.14                       104.02743
                   193.4                       110.63916
                  193.66                       117.56074
                  193.92                       124.80772
                  194.18                       132.40031
                  194.44                       140.36325
                   194.7                       148.72582
                  194.96                       157.52194
                  195.22                       166.79035
                  195.48                        176.5749
                  195.74                       186.92492
                     196                       197.89571
                  196.26                       209.54905
                  196.52                       221.95387
                  196.78                       235.18686
                  197.04                       249.33314
                   197.3                       264.48672
                  197.56                       280.75081
                  197.82                       298.23764
                  198.08                       317.06747
                  198.34                       337.36641
                   198.6                       359.26225
                  198.86                       382.87737
                  199.12                        408.3174
                  199.38                       435.65397
                  199.64                       464.89968
                   199.9                       495.97371
                  200.16                       528.65784
                  200.42                       562.54542
                  200.68                       596.99169
                  200.94                       631.08183
                   201.2                       663.64123
                  201.46                       693.31442
                  201.72                       718.72628
                  201.98                       738.70644
                  202.24                       752.51703
                   202.5                       760.00245
                  202.76                       761.60179
                  203.02                       758.22393
                  203.28                       751.04207
                  203.54                       741.28377
                   203.8                       730.07145
                  204.06                       718.33269
                  204.32                       706.77109
                  204.58                       695.87699
                  204.84                       685.95805
                   205.1                       677.17561
                  205.36                       669.57875
                  205.62                       663.13288
                  205.88                       657.74202
                  206.14                       653.26565
                   206.4                       649.53118
                  206.66                       646.34347
                  206.92                       643.49253
                  207.18                        640.7604
                  207.44                       637.92794
                   207.7                       634.78186
                  207.96                       631.12212
                  208.22                       626.76948
                  208.48                       621.57271
                  208.74                       615.41495
                     209                       608.21845
                  209.26                       599.94712
                  209.52                       590.60652
                  209.78                       580.24106
                  210.04                       568.92888
                   210.3                       556.77489
                  210.56                       543.90276
                  210.82                       530.44688
                  211.08                        516.5448
                  211.34                       502.33087
                   211.6                       487.93116
                  211.86                       473.45995
