        Frequency / MHz                Port 1 [1] (Mesh Pass=7)/arg,degrees
                  104.74                       26.843631
                     105                       28.284608
                  105.26                       29.602916
                  105.52                       30.757324
                  105.78                       31.714549
                  106.04                       32.475455
                   106.3                       33.078845
                  106.56                       33.578994
                  106.82                       34.010815
                  107.08                       34.366475
                  107.34                        34.60055
                   107.6                       34.661391
                  107.86                       34.528383
                  108.12                       34.229688
                  108.38                       33.826095
                  108.64                       33.369031
                   108.9                       32.861347
                  109.16                       32.250319
                  109.42                       31.460327
                  109.68                       30.444796
                  109.94                       29.222023
                   110.2                       27.866331
                  110.46                       26.454884
                  110.72                       25.006555
                  110.98                       23.460572
                  111.24                       21.714887
                   111.5                        19.70068
                  111.76                       17.441191
                  112.02                       15.046415
                  112.28                       12.637675
                  112.54                       10.256944
                   112.8                       7.8360357
                  113.06                       5.2538859
                  113.32                       2.4419908
                  113.58                     -0.54062852
                  113.84                        -3.52888
                   114.1                       -6.363159
                  114.36                      -9.0006011
                  114.62                      -11.532727
                  114.88                      -14.098616
                  115.14                      -16.761978
                   115.4                      -19.445084
                  115.66                       -21.97562
                  115.92                      -24.212643
                  116.18                      -26.146973
                  116.44                      -27.898786
                   116.7                      -29.622735
                  116.96                      -31.391938
                  117.22                      -33.142488
                  117.48                      -34.721548
                  117.74                      -36.003337
                     118                      -36.981268
                  118.26                      -37.770319
                  118.52                      -38.525204
                  118.78                      -39.331608
                  119.04                      -40.143226
                   119.3                      -40.812242
                  119.56                      -41.193813
                  119.82                      -41.245913
                  120.08                      -41.054048
                  120.34                      -40.767967
                   120.6                      -40.490381
                  120.86                      -40.187258
                  121.12                      -39.684388
                  121.38                      -38.758372
                  121.64                      -37.256633
                   121.9                      -35.161129
                  122.16                      -32.550093
                  122.42                      -29.464691
                  122.68                      -25.739626
                  122.94                      -20.900421
                   123.2                      -14.225179
                  123.46                      -5.0334403
                  123.72                       6.7611836
                  123.98                       20.087448
                  124.24                       32.993142
                   124.5                        43.86913
                  124.76                        52.10846
                  125.02                       57.695336
                  125.28                       60.580079
                  125.54                       60.224743
                   125.8                       55.185168
                  126.06                       42.972048
                  126.32                       22.707776
                  126.58                       1.1011973
                  126.84                       -14.39693
                   127.1                      -24.020297
                  127.36                      -30.103084
                  127.62                      -33.985685
                  127.88                      -36.236274
                  128.14                      -37.175609
                   128.4                      -37.119241
                  128.66                      -36.407212
                  128.92                      -35.349405
                  129.18                      -34.167118
                  129.44                      -32.972803
                   129.7                      -31.799319
                  129.96                      -30.655661
                  130.22                      -29.566734
                  130.48                      -28.568772
                  130.74                      -27.668573
                     131                      -26.805158
                  131.26                      -25.853587
                  131.52                       -24.67907
                  131.78                      -23.209409
                  132.04                      -21.479239
                   132.3                      -19.618679
                  132.56                      -17.792222
                  132.82                       -16.12108
                  133.08                      -14.632857
                  133.34                      -13.268212
                   133.6                       -11.93881
                  133.86                      -10.596936
                  134.12                      -9.2710829
                  134.38                        -8.04758
                  134.64                      -7.0146052
                   134.9                      -6.2073789
                  135.16                      -5.5905489
                  135.42                      -5.0884138
                  135.68                      -4.6408542
                  135.94                      -4.2453612
                   136.2                      -3.9569657
                  136.46                      -3.8483799
                  136.72                      -3.9590622
                  136.98                      -4.2680963
                  137.24                      -4.7093309
                   137.5                      -5.2177161
                  137.76                      -5.7730833
                  138.02                       -6.410062
                  138.28                      -7.1883738
                  138.54                      -8.1456639
                   138.8                      -9.2663453
                  139.06                      -10.488545
                  139.32                      -11.743818
                  139.58                      -12.999701
                  139.84                      -14.273712
                   140.1                      -15.610088
                  140.36                      -17.037866
                  140.62                      -18.541142
                  140.88                      -20.062691
                  141.14                      -21.537182
                   141.4                      -22.928151
                  141.66                      -24.241618
                  141.92                      -25.508626
                  142.18                      -26.751647
                  142.44                      -27.959567
                   142.7                      -29.088016
                  142.96                      -30.082717
                  143.22                      -30.907218
                  143.48                      -31.555145
                  143.74                      -32.040037
                     144                      -32.371497
                  144.26                      -32.534018
                  144.52                       -32.48109
                  144.78                      -32.145714
                  145.04                      -31.457268
                   145.3                      -30.351403
                  145.56                      -28.765175
                  145.82                      -26.618756
                  146.08                      -23.792172
                  146.34                      -20.108318
                   146.6                       -15.33352
                  146.86                      -9.2089262
                  147.12                      -1.5321001
                  147.38                       7.6967771
                  147.64                         18.1091
                   147.9                       28.941838
                  148.16                       39.289333
                  148.42                       48.473278
                  148.68                       56.211709
                  148.94                       62.533937
                   149.2                       67.618419
                  149.46                       71.678882
                  149.72                       74.913428
                  149.98                       77.491029
                  150.24                        79.55259
                   150.5                       81.214089
                  150.76                       82.567154
                  151.02                       83.677594
                  151.28                       84.585299
                  151.54                       85.308868
                   151.8                       85.855561
                  152.06                       86.233343
                  152.32                       86.459255
                  152.58                       86.558771
                  152.84                       86.554957
                   153.1                       86.452587
                  153.36                       86.226593
                  153.62                        85.82229
                  153.88                       85.167279
                  154.14                       84.185827
                   154.4                       82.799299
                  154.66                       80.892423
                  154.92                       78.222993
                  155.18                       74.234966
                  155.44                       67.646084
                   155.7                         55.4139
                  155.96                       31.064698
                  156.22                      -6.3994016
                  156.48                      -35.376976
                  156.74                      -50.626961
                     157                      -58.965852
                  157.26                       -64.02486
                  157.52                      -67.301022
                  157.78                      -69.493694
                  158.04                      -71.003784
                   158.3                      -72.097131
                  158.56                      -72.948971
                  158.82                      -73.655771
                  159.08                      -74.250376
                  159.34                      -74.729713
                   159.6                      -75.086757
                  159.86                      -75.332143
                  160.12                      -75.496866
                  160.38                      -75.619043
                  160.64                      -75.725838
                   160.9                      -75.822634
                  161.16                      -75.895789
                  161.42                      -75.926308
                  161.68                      -75.904848
                  161.94                       -75.83852
                   162.2                      -75.746152
                  162.46                      -75.646235
                  162.72                      -75.545845
                  162.98                      -75.437529
                  163.24                      -75.305661
                   163.5                      -75.137471
                  163.76                      -74.931243
                  164.02                      -74.696619
                  164.28                      -74.447456
                  164.54                      -74.192314
                   164.8                      -73.928846
                  165.06                      -73.645528
                  165.32                      -73.329189
                  165.58                      -72.973079
                  165.84                      -72.580194
                   166.1                      -72.159989
                  166.36                      -71.720954
                  166.62                      -71.264029
                  166.88                      -70.781105
                  167.14                      -70.259369
                   167.4                       -69.68841
                  167.66                        -69.0653
                  167.92                      -68.394456
                  168.18                      -67.682526
                  168.44                      -66.931762
                   168.7                      -66.136194
                  168.96                       -65.28304
                  169.22                      -64.358296
                  169.48                      -63.352742
                  169.74                      -62.264425
                     170                      -61.096036
                  170.26                      -59.848892
                  170.52                      -58.517461
                  170.78                      -57.088044
                  171.04                      -55.542561
                   171.3                      -53.865021
                  171.56                      -52.046494
                  171.82                      -50.085313
                  172.08                      -47.982358
                  172.34                      -45.734594
                   172.6                      -43.331501
                  172.86                      -40.757391
