        Time / ns                o1 [pw] (1)/real
----------------------------------------------------------------------
                       0                               0
             0.068387441                               0
              0.13677488                               0
              0.20516233                               0
              0.27354977                               0
              0.34193721                               0
              0.41032466                               0
              0.47871211                               0
              0.54709953                               0
              0.61548698                               0
              0.68387443                               0
              0.75226188                               0
              0.82064933                               0
              0.88903677                               0
              0.95742422                               0
               1.0258117                               0
               1.0941991                               0
               1.1625866                               0
                1.230974                               0
               1.2993615                               0
               1.3677489                               0
               1.4361362                               0
               1.5045238                               0
               1.5729111                               0
               1.6412987                               0
                1.709686                               0
               1.7780735                               0
               1.8464609                               0
               1.9148484                               0
               1.9832358                               0
               2.0516233                               0
               2.1200106                               0
               2.1883981                               0
               2.2567856                               0
               2.3251731                               0
               2.3935604                               0
               2.4619479                               0
               2.5303354                               0
               2.5987229                               0
               2.6671102                               0
               2.7354977                               0
               2.8038852                               0
               2.8722725                               0
                 2.94066                               0
               3.0090475                               0
                3.077435                               0
               3.1458223                               0
               3.2142098                               0
               3.2825973                               0
               3.3509846                               0
               3.4193721                               0
               3.4877596                               0
               3.5561471                               0
               3.6245344                               0
               3.6929219                               0
               3.7613094                               0
               3.8296969                               0
               3.8980842                               0
               3.9664717                               0
               4.0348592                               0
               4.1032467                   6.4870976e-37
               4.1716342                   5.5235441e-35
               4.2400212                   1.6590641e-33
               4.3084087                   3.4232729e-32
               4.3767962                   6.1457567e-31
               4.4451838                   9.9427081e-30
               4.5135713                   1.4566981e-28
               4.5819588                   1.9381856e-27
               4.6503463                   2.3479077e-26
               4.7187333                   2.5954668e-25
               4.7871208                   2.6232808e-24
               4.8555083                   2.4280522e-23
               4.9238958                    2.060576e-22
               4.9922833                   1.6048679e-21
               5.0606709                   1.1479522e-20
               5.1290584                   7.5460605e-20
               5.1974459                   4.5616317e-19
               5.2658329                   2.5378914e-18
               5.3342204                   1.3008021e-17
               5.4026079                   6.1498437e-17
               5.4709954                   2.6856956e-16
               5.5393829                   1.0851771e-15
               5.6077704                   4.0642237e-15
                5.676158                   1.4135842e-14
                5.744545                   4.5751021e-14
               5.8129325                   1.3807002e-13
                 5.88132                   3.8931716e-13
               5.9497075                   1.0277525e-12
                6.018095                   2.5451236e-12
               6.0864825                   5.9236808e-12
                 6.15487                   1.2981699e-11
               6.2232571                   2.6834212e-11
               6.2916446                   5.2407013e-11
               6.3600321                   9.6856079e-11
               6.4284196                   1.6965515e-10
               6.4968071                   2.8206831e-10
               6.5651946                   4.4577961e-10
               6.6335821                   6.7064682e-10
               6.7019691                   9.6186437e-10
               6.7703567                   1.3171636e-09
               6.8387442                   1.7248892e-09
               6.9071317                   2.1637148e-09
               6.9755192                   2.6043341e-09
               7.0439067                    3.012796e-09
               7.1122942                   3.3545127e-09
               7.1806812                    3.597656e-09
               7.2490687                   3.7149048e-09
               7.3174562                   3.6832217e-09
               7.3858438                   3.4822532e-09
               7.4542313                   3.0925777e-09
               7.5226188                   2.4950642e-09
               7.5910063                    1.671958e-09
               7.6593938                   6.0933469e-10
               7.7277808                  -7.0032774e-10
               7.7961683                  -2.2569773e-09
               7.8645558                  -4.0542889e-09
               7.9329433                  -6.0834955e-09
               8.0013304                  -8.3387146e-09
               8.0697184                  -1.0822006e-08
               8.1381054                  -1.3546443e-08
               8.2064934                  -1.6536132e-08
               8.2748804                  -1.9823238e-08
               8.3432684                  -2.3443059e-08
               8.4116554                   -2.742871e-08
               8.4800425                  -3.1806884e-08
               8.5484304                  -3.6595367e-08
               8.6168175                  -4.1802192e-08
               8.6852055                  -4.7425559e-08
               8.7535925                  -5.3453437e-08
               8.8219805                  -5.9862089e-08
               8.8903675                   -6.661336e-08
               8.9587545                  -7.3651087e-08
               9.0271425                  -8.0897244e-08
               9.0955296                  -8.8248441e-08
               9.1639175                  -9.5572986e-08
               9.2323046                  -1.0270846e-07
               9.3006926                  -1.0945949e-07
               9.3690796                   -1.155956e-07
               9.4374666                  -1.2084875e-07
               9.5058546                  -1.2491074e-07
               9.5742416                   -1.274304e-07
               9.6426296                   -1.280109e-07
               9.7110167                  -1.2620728e-07
               9.7794046                  -1.2152478e-07
               9.8477917                  -1.1341843e-07
               9.9161787                  -1.0129418e-07
               9.9845667                  -8.4511726e-08
               10.052954                  -6.2389311e-08
               10.121342                  -3.4209865e-08
               10.189729                   7.7144963e-10
