        Frequency / MHz                S1,1/arg,degrees
                  103.96                       121.18001
                  104.22                       109.88747
                  104.48                       100.21111
                  104.74                       91.827793
                     105                       84.474793
                  105.26                       77.951253
                  105.52                       72.104938
                  105.78                       66.817936
                  106.04                       61.995929
                   106.3                       57.560353
                  106.56                       53.444863
                  106.82                       49.592415
                  107.08                       45.955149
                  107.34                       42.494919
                   107.6                       39.182772
                  107.86                       36.000013
                  108.12                       32.937464
                  108.38                       29.994255
                  108.64                       27.176393
                   108.9                       24.493822
                  109.16                       21.958237
                  109.42                       19.579691
                  109.68                       17.363323
                  109.94                       15.306506
                   110.2                       13.397003
                  110.46                       11.611429
                  110.72                       9.9174315
                  110.98                       8.2757817
                  111.24                       6.6449519
                   111.5                       4.9868003
                  111.76                       3.2714939
                  112.02                       1.4805637
                  112.28                     -0.39014312
                  112.54                      -2.3312283
                   112.8                      -4.3205069
                  113.06                      -6.3266157
                  113.32                      -8.3117412
                  113.58                       -10.23567
                  113.84                      -12.061023
                   114.1                      -13.757316
                  114.36                      -15.306292
                  114.62                      -16.705882
                  114.88                      -17.972799
                  115.14                      -19.142236
                   115.4                      -20.264027
                  115.66                      -21.395433
                  115.92                      -22.590007
                  116.18                      -23.888728
                  116.44                      -25.310498
                   116.7                      -26.846799
                  116.96                      -28.458833
                  117.22                      -30.076878
                  117.48                      -31.600503
                  117.74                      -32.898018
                     118                      -33.809112
                  118.26                      -34.149747
                  118.52                      -33.730211
                  118.78                      -32.394442
                  119.04                      -30.090317
                   119.3                      -26.960345
                  119.56                      -23.390942
                  119.82                      -19.943499
                  120.08                      -17.164432
                  120.34                      -15.406723
                   120.6                      -14.775395
                  120.86                      -15.184662
                  121.12                      -16.443602
                  121.38                      -18.316384
                  121.64                       -20.54849
                   121.9                       -22.86398
                  122.16                      -24.945711
                  122.42                      -26.391635
                  122.68                      -26.652713
                  122.94                       -24.95478
                   123.2                      -20.299105
                  123.46                       -11.88322
                  123.72                     -0.41866598
                  123.98                       10.989717
                  124.24                       19.205833
                   124.5                       23.469403
                  124.76                       24.553598
                  125.02                       23.433448
                  125.28                       20.850543
                  125.54                       17.307915
                   125.8                       13.143357
                  126.06                       8.5910641
                  126.32                        3.821734
                  126.58                      -1.0327274
                  126.84                      -5.8647858
                   127.1                      -10.580567
                  127.36                      -15.096361
                  127.62                       -19.33512
                  127.88                      -23.228001
                  128.14                      -26.718829
               128.39999                      -29.771431
                  128.66                      -32.380235
                  128.92                      -34.581634
               129.17999                      -36.461955
                  129.44                      -38.155843
                   129.7                      -39.832681
               129.96001                       -41.66984
                  130.22                       -43.82654
                  130.48                      -46.422885
               130.74001                      -49.532861
                     131                      -53.189252
