        Frequency / MHz                Port 1 [1]/arg,degrees
                  104.48                       42.762315
                  104.74                       46.782525
                     105                       50.064411
                  105.26                       52.746315
                  105.52                       54.943932
                  105.78                       56.751139
                  106.04                       58.242063
                   106.3                       59.472848
                  106.56                       60.482759
                  106.82                        61.29483
                  107.08                       61.916392
                  107.34                       62.339818
                   107.6                       62.543696
                  107.86                       62.494594
                  108.12                       62.149592
                  108.38                       61.459925
                  108.64                       60.376167
                   108.9                       58.855395
                  109.16                       56.870137
                  109.42                       54.417547
                  109.68                       51.525146
                  109.94                       48.247869
                   110.2                       44.652118
                  110.46                       40.787408
                  110.72                       36.652892
                  110.98                       32.170164
                  111.24                       27.173626
                   111.5                       21.429773
                  111.76                       14.702181
                  112.02                       6.8812495
                  112.28                      -1.8400457
                  112.54                      -10.870374
                   112.8                      -19.380059
                  113.06                      -26.664513
                  113.32                      -32.394481
                  113.58                      -36.594174
                  113.84                      -39.484267
                   114.1                      -41.347824
                  114.36                      -42.460833
                  114.62                      -43.067032
                  114.88                      -43.371692
                  115.14                      -43.539676
                   115.4                      -43.691892
                  115.66                       -43.89976
                  115.92                      -44.180459
                  116.18                      -44.497097
                  116.44                      -44.767011
                   116.7                      -44.878237
                  116.96                      -44.710347
                  117.22                      -44.153986
                  117.48                      -43.124877
                  117.74                      -41.571593
                     118                      -39.479429
                  118.26                       -36.87353
                  118.52                       -33.82317
                  118.78                      -30.446585
                  119.04                      -26.913231
                   119.3                      -23.439144
                  119.56                      -20.272262
                  119.82                      -17.667762
                  120.08                      -15.856123
                  120.34                      -15.006291
                   120.6                      -15.184456
                  120.86                       -16.31198
                  121.12                      -18.138471
                  121.38                      -20.258352
                  121.64                      -22.186557
                   121.9                      -23.465906
                  122.16                      -23.749558
                  122.42                      -22.826436
                  122.68                      -20.604879
                  122.94                      -17.089688
                   123.2                       -12.37533
                  123.46                      -6.6555097
                  123.72                     -0.23068236
                  123.98                       6.5106985
                  124.24                       13.145522
                   124.5                       19.281425
                  124.76                       24.595468
                  125.02                       28.822039
                  125.28                       31.689001
                  125.54                       32.801828
                   125.8                       31.446805
                  126.06                       26.251037
                  126.32                       14.830022
                  126.58                      -4.7668732
                  126.84                      -27.727453
                   127.1                      -44.771474
                  127.36                      -54.336856
                  127.62                      -59.061927
                  127.88                      -61.038852
                  128.14                      -61.454485
                   128.4                      -60.989727
                  128.66                      -60.078049
                  128.92                      -59.030192
                  129.18                      -58.085695
                  129.44                      -57.424828
                   129.7                      -57.159968
                  129.96                       -57.32141
                  130.22                      -57.851383
                  130.48                      -58.615785
                  130.74                      -59.433778
                     131                      -60.114927
                  131.26                      -60.489417
                  131.52                      -60.422179
                  131.78                      -59.811019
                  132.04                      -58.574935
                   132.3                      -56.639539
                  132.56                      -53.924461
                  132.82                      -50.335973
                  133.08                      -45.768379
                  133.34                      -40.119792
                   133.6                      -33.329705
                  133.86                      -25.440982
                  134.12                      -16.668268
                  134.38                      -7.4219973
                  134.64                       1.7654396
                   134.9                       10.393539
                  135.16                       18.127381
                  135.42                       24.832958
                  135.68                        30.52934
                  135.94                       35.317476
                   136.2                       39.324863
                  136.46                       42.674126
                  136.72                       45.469296
                  136.98                       47.792022
                  137.24                       49.702488
                   137.5                       51.242219
                  137.76                       52.437493
                  138.02                       53.302853
                  138.28                       53.844616
                  138.54                       54.064411
                   138.8                       53.962817
                  139.06                       53.543069
                  139.32                       52.814597
                  139.58                        51.79582
                  139.84                       50.515337
                   140.1                       49.010561
                  140.36                       47.323206
                  140.62                       45.491917
                  140.88                       43.543418
                  141.14                       41.484342
                   141.4                       39.295937
                  141.66                       36.933191
                  141.92                       34.329136
                  142.18                       31.404624
                  142.44                       28.083802
                   142.7                       24.315052
