        Time / ns                i1 (Mesh Pass=3)/real
----------------------------------------------------------------------
                       0                  -4.8045194e-09
             0.068534993                   1.5053487e-06
              0.13706999                   1.7086053e-06
              0.20560499                   1.9273921e-06
              0.27413997                   2.1605126e-06
              0.34267497                   2.4060546e-06
              0.41120997                   2.6612531e-06
              0.47974497                   2.9223061e-06
              0.54827994                   3.1842023e-06
              0.61681497                   3.4405002e-06
              0.68534994                   3.6831166e-06
              0.75388497                   3.9020592e-06
              0.82241994                   4.0851783e-06
              0.89095497                    4.217874e-06
              0.95948994                   4.2827883e-06
               1.0280249                   4.2595098e-06
               1.0965599                    4.124237e-06
                1.165095                   3.8494491e-06
               1.2336299                   3.4036018e-06
               1.3021649                   2.7507933e-06
               1.3706999                    1.850478e-06
                1.439235                    6.572086e-07
               1.5077699                  -8.7959125e-07
               1.5763049                  -2.8157906e-06
               1.6448399                  -5.2126343e-06
               1.7133749                  -8.1367398e-06
               1.7819099                  -1.1659979e-05
               1.8504449                  -1.5859223e-05
               1.9189799                  -2.0815918e-05
               1.9875149                  -2.6615484e-05
               2.0560498                  -3.3346485e-05
               2.1245849                  -4.1099549e-05
               2.1931198                  -4.9966024e-05
               2.2616549                  -6.0036287e-05
               2.3301899                   -7.139775e-05
               2.3987248                  -8.4132436e-05
               2.4672599                  -9.8314202e-05
               2.5357947                  -0.00011400543
               2.6043298                  -0.00013125336
               2.6728649                  -0.00015008582
               2.7413998                  -0.00017050652
               2.8099349                  -0.00019248977
               2.8784699                  -0.00021597467
               2.9470048                  -0.00024085876
               3.0155399                  -0.00026699124
               3.0840747                  -0.00029416551
               3.1526098                  -0.00032211153
               3.2211449                  -0.00035048745
               3.2896798                  -0.00037887119
               3.3582149                  -0.00040675182
               3.4267497                   -0.0004335205
               3.4952848                  -0.00045846179
               3.5638199                  -0.00048074499
               3.6323547                  -0.00049941597
               3.7008898                   -0.0005133893
               3.7694247                  -0.00052144175
               3.8379598                  -0.00052220619
               3.9064949                  -0.00051416748
               3.9750297                  -0.00049565971
               4.0435648                  -0.00046486579
               4.1120996                  -0.00041981891
                4.180635                   -0.0003584075
               4.2491698                  -0.00027838268
               4.3177047                  -0.00017736979
               4.3862395                  -5.2883654e-05
               4.4547749                   9.7651784e-05
               4.5233097                   0.00027687897
               4.5918446                   0.00048747714
               4.6603799                    0.0007321274
               4.7289147                    0.0010134719
               4.7974496                    0.0013340667
               4.8659849                    0.0016963296
               4.9345198                    0.0021024798
               5.0030546                    0.0025544737
               5.0715895                    0.0030539318
               5.1401248                    0.0036020614
               5.2086596                    0.0041995742
               5.2771945                    0.0048465966
               5.3457298                    0.0055425758
               5.4142647                    0.0062861857
               5.4827995                    0.0070752231
               5.5513349                    0.0079065105
               5.6198697                    0.0087757902
               5.6884046                     0.009677629
               5.7569399                     0.010605312
               5.8254747                      0.01155076
               5.8940096                     0.012504433
               5.9625444                     0.013455261
               6.0310798                     0.014390569
               6.0996146                     0.015296036
               6.1681495                     0.016155649
               6.2366848                     0.016951684
               6.3052197                     0.017664725
               6.3737545                     0.018273672
               6.4422898                     0.018755812
               6.5108247                     0.019086894
               6.5793595                     0.019241251
               6.6478944                     0.019191943
               6.7164297                     0.018910944
               6.7849646                     0.018369371
               6.8534994                      0.01753773
               6.9220347                     0.016386226
               6.9905696                     0.014885097
               7.0591044                     0.013004988
               7.1276398                     0.010717368
               7.1961746                    0.0079949768
               7.2647095                    0.0048123123
               7.3332448                    0.0011461366
               7.4017797                   -0.0030239781
               7.4703145                   -0.0077150925
               7.5388494                    -0.012940321
               7.6073847                    -0.018708246
               7.6759195                    -0.025022332
               7.7444544                     -0.03188033
               7.8129897                    -0.039273724
               7.8815246                    -0.047187176
               7.9500594                    -0.055597998
               8.0185947                      -0.0644757
               8.0871296                    -0.073781572
               8.1556644                    -0.083468303
               8.2241993                     -0.09347973
               8.2927341                      -0.1037506
                 8.36127                     -0.11420652
               8.4298048                     -0.12476394
               8.4983397                     -0.13533022
               8.5668745                     -0.14580393
               8.6354094                     -0.15607522
               8.7039442                     -0.16602625
               8.7724791                     -0.17553189
               8.8410149                     -0.18446049
               8.9095497                     -0.19267477
               8.9780846                     -0.20003296
               9.0466194                     -0.20638989
               9.1151543                     -0.21159843
               9.1836891                     -0.21551092
               9.2522249                     -0.21798071
               9.3207598                     -0.21886392
               9.3892946                     -0.21802112
               9.4578295                     -0.21531929
               9.5263643                     -0.21063362
               9.5948992                     -0.20384951
                9.663434                      -0.1948645
               9.7319698                     -0.18359017
               9.8005047                     -0.16995414
               9.8690395                     -0.15390177
               9.9375744                       -0.135398
               10.006109                     -0.11442894
               10.074644                    -0.091003358
               10.143179                    -0.065153919
               10.211715                     -0.03693838
                10.28025                   -0.0064403852
               10.348784                     0.026229875
               10.417319                     0.060935322
               10.485854                     0.097511925
               10.554389                      0.13576896
               10.622925                      0.17548956
                10.69146                      0.21643159
               10.759995                      0.25832891
               10.828529                      0.30089289
               10.897064                      0.34381434
               10.965599                      0.38676572
               11.034134                      0.42940351
                11.10267                      0.47137126
               11.171205                      0.51230246
               11.239739                      0.55182397
               11.308274                      0.58955938
               11.376809                      0.62513298
               11.445344                      0.65817332
                11.51388                      0.68831736
               11.582415                      0.71521407
               11.650949                      0.73852903
               11.719484                      0.75794774
               11.788019                      0.77317977
               11.856554                      0.78396249
               11.925089                      0.79006433
               11.993625                      0.79128826
                12.06216                      0.78747463
               12.130694                      0.77850378
               12.199229                      0.76429844
               12.267764                      0.74482542
               12.336299                      0.72009706
               12.404834                      0.69017231
                12.47337                      0.65515679
               12.541904                       0.6152032
               12.610439                      0.57051045
               12.678974                      0.52132249
               12.747509                      0.46792713
               12.816044                      0.41065335
                12.88458                      0.34986913
               12.953115                      0.28597817
               13.021649                       0.2194165
               13.090184                      0.15064853
               13.158719                     0.080162816
               13.227254                    0.0084675616
               13.295789                    -0.063914262
               13.364325                     -0.13644984
               13.432859                     -0.20860174
               13.501394                     -0.27983305
               13.569929                     -0.34961268
               13.638464                     -0.41742054
               13.706999                     -0.48275265
               13.775535                     -0.54512596
               13.844069                      -0.6040833
               13.912604                     -0.65919745
               13.981139                     -0.71007562
               14.049674                     -0.75636274
               14.118209                     -0.79774517
               14.186744                     -0.83395314
                14.25528                     -0.86476338
               14.323814                     -0.89000064
               14.392349                     -0.90953934
               14.460884                     -0.92330396
               14.529419                     -0.93126935
               14.597954                     -0.93346047
                14.66649                     -0.92995143
               14.735024                     -0.92086387
               14.803559                     -0.90636545
               14.872094                     -0.88666725
               14.940629                     -0.86202091
               15.009164                     -0.83271551
               15.077699                     -0.79907423
               15.146235                     -0.76145011
               15.214769                     -0.72022241
               15.283304                      -0.6757921
               15.351839                     -0.62857735
               15.420374                     -0.57900935
               15.488909                     -0.52752757
               15.557444                     -0.47457531
               15.625979                     -0.42059532
               15.694514                     -0.36602554
               15.763049                     -0.31129488
               15.831584                     -0.25681943
               15.900119                     -0.20299879
               15.968654                     -0.15021273
               16.037189                    -0.098818205
               16.105724                    -0.049146641
               16.174259                   -0.0015016639
               16.242794                     0.043842811
               16.311329                     0.086644121
               16.379864                      0.12669195
               16.448399                      0.16380914
               16.516933                      0.19785193
               16.585468                      0.22870997
               16.654003                      0.25630599
                16.72254                        0.280595
               16.791075                       0.3015632
                16.85961                      0.31922677
               16.928144                      0.33363017
               16.996679                      0.34484425
               17.065214                      0.35296437
               17.133749                      0.35810807
               17.202284                      0.36041281
               17.270819                      0.36003348
               17.339354                      0.35713997
               17.407888                      0.35191461
               17.476423                       0.3445496
               17.544958                      0.33524469
               17.613495                      0.32420447
                17.68203                      0.31163639
               17.750565                      0.29774812
               17.819099                      0.28274578
               17.887634                      0.26683176
               17.956169                      0.25020307
               18.024704                      0.23304957
               18.093239                      0.21555264
               18.161774                      0.19788387
               18.230309                      0.18020399
               18.298843                      0.16266203
               18.367378                      0.14539458
               18.435913                      0.12852533
                18.50445                      0.11216479
               18.572985                     0.096410021
                18.64152                     0.081344761
               18.710054                     0.067039512
               18.778589                     0.053551875
               18.847124                     0.040926944
               18.915659                     0.029197855
               18.984194                     0.018386375
               19.052729                    0.0085036345
               19.121264                  -0.00044912772
               19.189798                   -0.0084797414
               19.258333                    -0.015604252
               19.326868                    -0.021846049
               19.395403                    -0.027234977
                19.46394                    -0.031806454
               19.532475                    -0.035600591
               19.601009                    -0.038661357
               19.669544                    -0.041035742
               19.738079                    -0.042772979
               19.806614                     -0.04392381
               19.875149                    -0.044539798
               19.943684                    -0.044672683
               20.012218                    -0.044373814
               20.080753                    -0.043693632
               20.149288                    -0.042681191
               20.217823                    -0.041383788
               20.286358                    -0.039846603
               20.354895                    -0.038112421
               20.423429                    -0.036221415
               20.491964                    -0.034210969
               20.560499                     -0.03211556
               20.629034                    -0.029966673
               20.697569                    -0.027792791
               20.766104                     -0.02561938
               20.834639                    -0.023468953
               20.903173                    -0.021361127
               20.971708                    -0.019312743
               21.040243                    -0.017337969
               21.108778                    -0.015448461
               21.177313                     -0.01365351
                21.24585                    -0.011960217
               21.314384                    -0.010373661
               21.382919                   -0.0088970913
               21.451454                   -0.0075320993
               21.519989                   -0.0062788092
               21.588524                   -0.0051360517
               21.657059                   -0.0041015409
               21.725594                   -0.0031720379
               21.794128                   -0.0023435131
               21.862663                   -0.0016112931
               21.931198                  -0.00097020075
               21.999733                  -0.00041468354
               22.068268                   6.1069848e-05
               22.136805                   0.00046302372
               22.205339                   0.00079720136
               22.273874                    0.0010696022
               22.342409                    0.0012861304
               22.410944                    0.0014525335
               22.479479                    0.0015743512
               22.548014                    0.0016568743
               22.616549                    0.0017051117
               22.685083                    0.0017237661
               22.753618                    0.0017172166
               22.822153                    0.0016895081
               22.890688                    0.0016443474
               22.959223                    0.0015851033
                23.02776                    0.0015148118
               23.096294                    0.0014361847
               23.164829                    0.0013516224
               23.233364                    0.0012632278
               23.301899                    0.0011728232
               23.370434                    0.0010819683
               23.438969                   0.00099197892
               23.507504                   0.00090394693
               23.576038                    0.0008187599
               23.644573                   0.00073712086
               23.713108                   0.00065956759
               23.781643                   0.00058649137
               23.850178                   0.00051815499
               23.918715                   0.00045470949
               23.987249                    0.0003962105
               24.055784                   0.00034263282
               24.124319                   0.00029388416
               24.192854                   0.00024981765
               24.261389                   0.00021024302
               24.329924                   0.00017493684
               24.398458                   0.00014365133
               24.466993                   0.00011612222
               24.535528                    9.207565e-05
               24.604063                   7.1233851e-05
               24.672598                   5.3320106e-05
               24.741133                   3.8062797e-05
               24.809668                   2.5198697e-05
               24.878204                   1.4475543e-05
               24.946739                   5.6540216e-06
               25.015274                  -1.4907602e-06
               25.083809                  -7.1683821e-06
               25.152344                  -1.1572528e-05
               25.220879                  -1.4880787e-05
               25.289413                  -1.7254777e-05
               25.357948                  -1.8840465e-05
               25.426483                  -1.9768702e-05
               25.495018                  -2.0155907e-05
               25.563553                  -2.0104872e-05
               25.632088                  -1.9705614e-05
               25.700623                  -1.9036324e-05
               25.769159                  -1.8164317e-05
               25.837694                  -1.7146964e-05
               25.906229                  -1.6032669e-05
               25.974764                  -1.4861781e-05
               26.043299                  -1.3667459e-05
               26.111834                  -1.2476523e-05
               26.180368                  -1.1310256e-05
               26.248903                  -1.0185107e-05
               26.317438                  -9.1133816e-06
               26.385973                  -8.1038515e-06
               26.454508                  -7.1623131e-06
               26.523043                   -6.292089e-06
               26.591578                  -5.4944662e-06
               26.660114                  -4.7690964e-06
               26.728649                  -4.1143398e-06
               26.797184                  -3.5275486e-06
               26.865719                  -3.0053416e-06
               26.934254                   -2.543813e-06
               27.002789                  -2.1387111e-06
               27.071323                  -1.7855895e-06
               27.139858                  -1.4799449e-06
               27.208393                  -1.2172999e-06
               27.276928                  -9.9328929e-07
               27.345463                  -8.0371814e-07
               27.413998                  -6.4460016e-07
               27.482533                  -5.1220957e-07
               27.551069                  -4.0307015e-07
               27.619604                  -3.1398631e-07
               27.688139                  -2.4205002e-07
               27.756674                  -1.8462029e-07
               27.825209                  -1.3933337e-07
               27.893744                  -1.0408263e-07
               27.962278                  -7.6997395e-08
               28.030813                  -5.6463559e-08
               28.099348                  -4.1059202e-08
               28.167883                  -2.9566001e-08
               28.236418                  -2.0963935e-08
               28.304953                  -1.4379307e-08
               28.373487                  -9.0975609e-09
               28.442024                  -4.5444475e-09
               28.510559                  -2.6479435e-10
               28.579094                   4.1013197e-09
               28.647629                   8.8099972e-09
               28.716164                    1.402381e-08
               28.784698                   1.9863682e-08
               28.853233                   2.6352357e-08
               28.921768                   3.3487698e-08
               28.990303                   4.1216676e-08
               29.058838                   4.9442633e-08
               29.127373                   5.8057221e-08
               29.195908                   6.6908463e-08
               29.264442                   7.5841207e-08
               29.332979                   8.4694115e-08
               29.401514                   9.3286424e-08
               29.470049                   1.0144804e-07
               29.538584                    1.090049e-07
               29.607119                   1.1578792e-07
               29.675653                   1.2164151e-07
               29.744188                     1.26424e-07
               29.812723                   1.3000644e-07
               29.881258                   1.3227347e-07
               29.949793                   1.3313014e-07
               30.018328                   1.3250624e-07
               30.086863                    1.303475e-07
               30.155397                   1.2662647e-07
               30.223932                    1.213339e-07
               30.292469                    1.144857e-07
               30.361004                   1.0611575e-07
               30.429539                   9.6290272e-08
               30.498074                   8.5087791e-08
               30.566608                   7.2611407e-08
               30.635143                   5.8978575e-08
               30.703678                   4.4332204e-08
               30.772213                   2.8818992e-08
               30.840748                   1.2608684e-08
               30.909283                  -4.1146033e-09
               30.977818                  -2.1168413e-08
               31.046352                  -3.8356973e-08
               31.114887                  -5.5484168e-08
               31.183424                  -7.2346786e-08
               31.251959                  -8.8743292e-08
               31.320494                  -1.0448501e-07
               31.389029                  -1.1937452e-07
               31.457563                  -1.3323512e-07
               31.526098                  -1.4589811e-07
               31.594633                  -1.5720343e-07
               31.663168                  -1.6700655e-07
               31.731703                  -1.7519007e-07
               31.800238                  -1.8163909e-07
               31.868773                   -1.862664e-07
               31.937307                  -1.8901302e-07
               32.005844                  -1.8982487e-07
               32.074379                  -1.8868413e-07
               32.142914                  -1.8559695e-07
               32.211449                  -1.8057574e-07
               32.279984                  -1.7367272e-07
               32.348518                  -1.6494428e-07
               32.417053                  -1.5448379e-07
               32.485588                  -1.4239689e-07
               32.554123                  -1.2880412e-07
               32.622658                  -1.1384834e-07
               32.691193                  -9.7686325e-08
               32.759727                  -8.0479531e-08
               32.828262                  -6.2411523e-08
               32.896797                  -4.3667363e-08
               32.965332                  -2.4434316e-08
               33.033867                  -4.9237037e-09
               33.102402                   1.4681237e-08
               33.170937                    3.418295e-08
               33.239471                   5.3379324e-08
               33.308006                   7.2084816e-08
               33.376541                   9.0117297e-08
                33.44508                   1.0730897e-07
               33.513615                   1.2349291e-07
                33.58215                   1.3852343e-07
               33.650684                    1.522635e-07
               33.719219                   1.6459614e-07
               33.787754                    1.754242e-07
               33.856289                   1.8465009e-07
               33.924824                   1.9220987e-07
               33.993359                   1.9806477e-07
               34.061893                   2.0216865e-07
               34.130428                   2.0451328e-07
               34.198963                   2.0510177e-07
               34.267498                   2.0395316e-07
               34.336033                    2.011076e-07
               34.404568                   1.9661169e-07
               34.473103                   1.9053893e-07
               34.541637                   1.8296372e-07
               34.610172                   1.7398126e-07
               34.678707                   1.6368871e-07
               34.747242                   1.5220188e-07
               34.815777                   1.3964267e-07
               34.884312                   1.2612969e-07
               34.952847                   1.1179907e-07
               35.021381                   9.6778649e-08
               35.089916                   8.1208704e-08
               35.158451                   6.5220235e-08
                35.22699                   4.8955183e-08
               35.295525                   3.2529723e-08
               35.364059                   1.6091935e-08
               35.432594                   -2.451872e-10
               35.501129                   -1.635388e-08
               35.569664                  -3.2133212e-08
               35.638199                  -4.7465111e-08
               35.706734                    -6.22532e-08
               35.775269                  -7.6403332e-08
               35.843803                  -8.9838466e-08
               35.912338                   -1.024766e-07
               35.980873                  -1.1425345e-07
               36.049408                  -1.2511065e-07
               36.117943                   -1.350007e-07
               36.186478                  -1.4387216e-07
               36.255013                   -1.517005e-07
               36.323547                  -1.5845544e-07
               36.392082                  -1.6412507e-07
