        Frequency / MHz                Port 1 [1]/abs,linear
                  108.12                       305.66757
                  108.38                       334.29879
                  108.64                       365.96009
                   108.9                       400.67127
                  109.16                        438.2353
                  109.42                       478.21473
                  109.68                       519.98928
                  109.94                       562.92567
                   110.2                       606.63268
                  110.46                       651.19191
                  110.72                       697.20574
                  110.98                       745.52623
                  111.24                       796.57754
                   111.5                       849.20854
                  111.76                       899.14473
                  112.02                       937.78279
                  112.28                       953.45002
                  112.54                       937.16424
                   112.8                       889.66233
                  113.06                       821.68306
                  113.32                       746.81927
                  113.58                       675.09741
                  113.84                       611.53795
                   114.1                        557.5883
                  114.36                       512.82598
                  114.62                       476.05062
                  114.88                       445.82263
                  115.14                       420.68583
                   115.4                       399.25242
                  115.66                        380.2522
                  115.92                       362.59297
                  116.18                       345.43874
                  116.44                        328.2807
                   116.7                       310.96365
                  116.96                       293.64522
                  117.22                       276.69918
                  117.48                       260.60089
                  117.74                       245.83352
                     118                       232.83382
                  118.26                       221.97355
                  118.52                        213.5609
                  118.78                       207.84468
                  119.04                       205.00864
                   119.3                       205.14852
                  119.56                       208.22795
                  119.82                       214.01065
                  120.08                        221.9681
                  120.34                       231.17481
                   120.6                       240.24113
                  120.86                       247.39343
                  121.12                       250.82682
                  121.38                       249.30486
                  121.64                       242.68629
                   121.9                        231.9745
                  122.16                       218.85634
                  122.42                       205.11158
                  122.68                         192.248
                  122.94                       181.42097
                   123.2                       173.51248
                  123.46                       169.24333
                  123.72                       169.25881
                  123.98                       174.18773
                  124.24                       184.71134
                   124.5                       201.68896
                  124.76                        226.3792
                  125.02                       260.79695
                  125.28                       308.28145
                  125.54                       374.40388
                   125.8                       468.20982
                  126.06                       602.14689
                  126.32                       779.13107
                  126.58                       932.69755
                  126.84                       916.82119
                   127.1                        767.1043
                  127.36                       618.54018
                  127.62                       508.55923
                  127.88                       430.93653
                  128.14                       375.64962
                   128.4                       335.55758
                  128.66                       306.02686
                  128.92                        283.9712
                  129.18                       267.17616
                  129.44                       253.89798
                   129.7                       242.66161
                  129.96                       232.20901
                  130.22                       221.55262
                  130.48                       210.06664
                  130.74                       197.53373
                     131                       184.09447
                  131.26                       170.11411
                  131.52                       156.03034
                  131.78                       142.24151
                  132.04                       129.05567
                   132.3                       116.68838
                  132.56                       105.28668
                  132.82                       94.961209
                  133.08                       85.816518
                  133.34                       77.974377
                   133.6                       71.585616
                  133.86                       66.823841
                  134.12                       63.854504
                  134.38                       62.782847
                  134.64                        63.60487
                   134.9                       66.195404
                  135.16                       70.344174
                  135.42                       75.814763
                  135.68                        82.39357
                  135.94                       89.915201
                   136.2                       98.268584
                  136.46                       107.39293
                  136.72                       117.26997
                  136.98                       127.91558
                  137.24                       139.37144
                   137.5                       151.69686
                  137.76                       164.96004
                  138.02                       179.22839
                  138.28                       194.55745
                  138.54                       210.97853
                   138.8                       228.48567
                  139.06                       247.02425
                  139.32                       266.48498
                  139.58                       286.70835
                  139.84                       307.50424
                   140.1                       328.68817
                  140.36                       350.12849
                  140.62                       371.79158
                  140.88                       393.76747
                  141.14                       416.26088
                   141.4                       439.54072
                  141.66                       463.84926
                  141.92                       489.27668
                  142.18                       515.60997
                  142.44                       542.17497
                   142.7                       567.71714
                  142.96                       590.40841
                  143.22                       608.08957
                  143.48                       618.78856
                  143.74                       621.36343
                     144                        615.9319
                  144.26                       603.81002
                  144.52                       587.00713
                  144.78                       567.59827
                  145.04                       547.27225
                   145.3                       527.14894
                  145.56                       507.80028
                  145.82                       489.37217
                  146.08                       471.73448
                  146.34                       454.62356
                   146.6                       437.76255
                  146.86                       420.95081
                  147.12                        404.1159
                  147.38                       387.32544
                  147.64                       370.76407
                   147.9                       354.68899
                  148.16                       339.38026
                  148.42                       325.09914
                  148.68                       312.06104
                  148.94                        300.4232
                   149.2                       290.28358
                  149.46                       281.68652
                  149.72                       274.63163
                  149.98                        269.0838
                  150.24                        264.9835
                   150.5                       262.25714
                  150.76                        260.8277
                  151.02                       260.62538
                  151.28                       261.59796
                  151.54                       263.72001
                   151.8                        266.9999
                  152.06                       271.48391
                  152.32                       277.25652
                  152.58                       284.43691
                  152.84                       293.17143
                   153.1                       303.62236
                  153.36                       315.95244
                  153.62                       330.30429
                  153.88                       346.77299
                  154.14                       365.36971
                   154.4                       385.97508
                  154.66                       408.28419
                  154.92                       431.75226
                  155.18                       455.56036
                  155.44                       478.63106
                   155.7                       499.72342
                  155.96                         517.613
                  156.22                       531.31579
                  156.48                       540.27182
                  156.74                       544.40646
                     157                       544.04701
                  157.26                       539.74713
                  157.52                       532.10565
                  157.78                       521.64664
                  158.04                       508.78232
                   158.3                       493.84168
                  158.56                       477.12978
                  158.82                       458.98192
                  159.08                       439.78889
                  159.34                       419.98695
                   159.6                       400.02203
                  159.86                       380.30552
                  160.12                       361.17746
                  160.38                       342.88565
                  160.64                       325.58136
                   160.9                       309.32765
                  161.16                       294.11499
                  161.42                       279.87981
                  161.68                       266.52306
                  161.94                       253.92735
                   162.2                       241.97191
                  162.46                       230.54466
                  162.72                       219.55109
                  162.98                       208.91941
                  163.24                       198.60204
                   163.5                       188.57366
                  163.76                       178.82685
                  164.02                       169.36645
                  164.28                       160.20364
                  164.54                       151.35097
                   164.8                       142.81856
                  165.06                       134.61193
                  165.32                       126.73123
                  165.58                       119.17168
                  165.84                         111.925
                   166.1                       104.98167
                  166.36                       98.333671
                  166.62                       91.977759
                  166.88                       85.919163
                  167.14                       80.175634
                   167.4                       74.781859
                  167.66                       69.794089
                  167.92                        65.29453
                  168.18                       61.394303
                  168.44                       58.232609
                   168.7                       55.968527
                  168.96                       54.762279
                  169.22                       54.747029
                  169.48                       56.000307
                  169.74                       58.529108
                     170                       62.276766
                  170.26                       67.146176
                  170.52                       73.025952
                  170.78                       79.809343
                  171.04                       87.403249
                   171.3                       95.729637
                  171.56                       104.72274
                  171.82                       114.32477
                  172.08                       124.48186
                  172.34                       135.14138
                   172.6                        146.2513
                  172.86                       157.76193
                  173.12                       169.62987
                  173.38                       181.82331
                  173.64                       194.32739
                   173.9                       207.14749
                  174.16                       220.30879
                  174.42                       233.85066
                  174.68                       247.81552
                  174.94                       262.23276
                   175.2                       277.09922
                  175.46                       292.35859
                  175.72                         307.883
                  175.98                       323.46117
                  176.24                       338.79837
                   176.5                       353.53286
                  176.76                       367.27072
                  177.02                       379.63498
                  177.28                       390.31768
                  177.54                       399.11921
                   177.8                       405.96158
                  178.06                       410.87135
                  178.32                       413.93983
                  178.58                       415.27614
                  178.84                       414.96961
                   179.1                       413.07267
                  179.36                       409.60761
                  179.62                       404.59268
                  179.88                       398.07709
                  180.14                       390.17233
                   180.4                       381.06844
                  180.66                       371.03008
                  180.92                       360.37405
                  181.18                       349.43631
                  181.44                       338.53798
                   181.7                       327.95817
                  181.96                       317.91748
                  182.22                       308.57223
                  182.48                        300.0173
                  182.74                       292.29487
                     183                       285.40634
                  183.26                       279.32579
                  183.52                       274.01338
                  183.78                       269.42779
                  184.04                       265.53684
                   184.3                       262.32552
                  184.56                        259.8008
                  184.82                       257.99325
                  185.08                       256.95529
                  185.34                        256.7569
                   185.6                       257.47954
                  185.86                        259.2091
                  186.12                       262.02893
                  186.38                       266.01349
                  186.64                       271.22314
                   186.9                       277.70031
                  187.16                       285.46718
                  187.42                       294.52507
                  187.68                       304.85566
                  187.94                       316.42451
                   188.2                       329.18707
                  188.46                       343.09754
                  188.72                       358.12021
                  188.98                       374.24228
                  189.24                       391.48619
                   189.5                       409.91891
                  189.76                       429.65477
                  190.02                       450.84906
                  190.28                       473.67954
                  190.54                       498.31365
                   190.8                       524.85954
                  191.06                       553.29956
                  191.32                       583.40753
                  191.58                       614.65728
                  191.84                       646.14253
                   192.1                       676.54526
                  192.36                       704.20241
                  192.62                       727.30946
                  192.88                       744.24617
                  193.14                       753.92726
                   193.4                       756.02936
                  193.66                       750.98793
                  193.92                       739.77935
                  194.18                        723.6097
                  194.44                       703.64643
                   194.7                       680.86801
                  194.96                       656.03242
                  195.22                       629.72262
                  195.48                       602.41902
                  195.74                       574.56051
                     196                        546.5756
                  196.26                       518.88213
                  196.52                       491.86659
                  196.78                       465.85738
                  197.04                       441.10385
                   197.3                       417.76676
                  197.56                       395.92034
                  197.82                       375.56317
                  198.08                       356.63371
                  198.34                       339.02763
                   198.6                       322.61463
                  198.86                       307.25357
                  199.12                       292.80548
                  199.38                        279.1439
                  199.64                       266.16227
                   199.9                       253.77827
                  200.16                       241.93506
                  200.42                       230.59982
                  200.68                       219.76016
                  200.94                       209.41942
                   201.2                       199.59167
                  201.46                       190.29719
                  201.72                       181.55879
                  201.98                        173.3993
                  202.24                       165.84002
                   202.5                           158.9
                  202.76                       152.59586
                  203.02                       146.94193
                  203.28                       141.95049
                  203.54                       137.63207
                   203.8                       133.99565
                  204.06                       131.04875
                  204.32                       128.79748
                  204.58                       127.24648
                  204.84                       126.39868
                   205.1                       126.25492
                  205.36                       126.81336
                  205.62                       128.06847
                  205.88                       130.00981
                  206.14                       132.62046
                   206.4                       135.87515
                  206.66                       139.73838
                  206.92                       144.16247
                  207.18                       149.08614
                  207.44                       154.43376
                   207.7                       160.11573
                  207.96                       166.03049
                  208.22                       172.06846
                  208.48                       178.11777
                  208.74                       184.07144
                     209                       189.83488
                  209.26                       195.33235
                  209.52                       200.51079
                  209.78                       205.33996
                  210.04                       209.80835
                   210.3                       213.91583
                  210.56                       217.66404
